SA3_NAME16	AustCitizen	Sex	persons
Queanbeyan	0	F	3405
Queanbeyan	0	M	3653
Queanbeyan	1	F	28717
Queanbeyan	1	M	29011
Snowy Mountains	0	F	1278
Snowy Mountains	0	M	1479
Snowy Mountains	1	F	8768
Snowy Mountains	1	M	9195
South Coast	0	F	3926
South Coast	0	M	3833
South Coast	1	F	35175
South Coast	1	M	33799
Goulburn - Mulwaree	0	F	1925
Goulburn - Mulwaree	0	M	2507
Goulburn - Mulwaree	1	F	17147
Goulburn - Mulwaree	1	M	16828
Young - Yass	0	F	1696
Young - Yass	0	M	1694
Young - Yass	1	F	17673
Young - Yass	1	M	17093
Gosford	0	F	9757
Gosford	0	M	9021
Gosford	1	F	82295
Gosford	1	M	77354
Wyong	0	F	8490
Wyong	0	M	7747
Wyong	1	F	78077
Wyong	1	M	73853
Bathurst	0	F	2372
Bathurst	0	M	3399
Bathurst	1	F	21998
Bathurst	1	M	21376
Lachlan Valley	0	F	2904
Lachlan Valley	0	M	2949
Lachlan Valley	1	F	24551
Lachlan Valley	1	M	24279
Lithgow - Mudgee	0	F	2446
Lithgow - Mudgee	0	M	2771
Lithgow - Mudgee	1	F	21285
Lithgow - Mudgee	1	M	21365
Orange	0	F	2938
Orange	0	M	2837
Orange	1	F	28267
Orange	1	M	27220
Clarence Valley	0	F	2477
Clarence Valley	0	M	3266
Clarence Valley	1	F	24369
Clarence Valley	1	M	23557
Coffs Harbour	0	F	5831
Coffs Harbour	0	M	5396
Coffs Harbour	1	F	41956
Coffs Harbour	1	M	39283
Bourke - Cobar - Coonamble	0	F	2178
Bourke - Cobar - Coonamble	0	M	2074
Bourke - Cobar - Coonamble	1	F	8576
Bourke - Cobar - Coonamble	1	M	8776
Broken Hill and Far West	0	F	1202
Broken Hill and Far West	0	M	1159
Broken Hill and Far West	1	F	8926
Broken Hill and Far West	1	M	8594
Dubbo	0	F	5356
Dubbo	0	M	6106
Dubbo	1	F	32012
Dubbo	1	M	30606
Lower Hunter	0	F	3628
Lower Hunter	0	M	5291
Lower Hunter	1	F	44775
Lower Hunter	1	M	44236
Maitland	0	F	3204
Maitland	0	M	3067
Maitland	1	F	41417
Maitland	1	M	39334
Port Stephens	0	F	3347
Port Stephens	0	M	3285
Port Stephens	1	F	35365
Port Stephens	1	M	34416
Upper Hunter	0	F	1523
Upper Hunter	0	M	1878
Upper Hunter	1	F	13550
Upper Hunter	1	M	13638
Dapto - Port Kembla	0	F	3916
