SA3_NAME21	AgeStudent	students
Queanbeyan	0-4	1186
Queanbeyan	5-14	7854
Queanbeyan	15-19	2738
Queanbeyan	20-24	1200
Queanbeyan	25+	3019
Snowy Mountains	0-4	304
Snowy Mountains	5-14	2236
Snowy Mountains	15-19	774
Snowy Mountains	20-24	267
Snowy Mountains	25+	733
South Coast	0-4	901
South Coast	5-14	7159
South Coast	15-19	2478
South Coast	20-24	550
South Coast	25+	1928
Goulburn - Mulwaree	0-4	628
Goulburn - Mulwaree	5-14	4206
Goulburn - Mulwaree	15-19	1443
Goulburn - Mulwaree	20-24	458
Goulburn - Mulwaree	25+	1199
Young - Yass	0-4	639
Young - Yass	5-14	4866
Young - Yass	15-19	1706
Young - Yass	20-24	464
Young - Yass	25+	1120
Gosford	0-4	3265
Gosford	5-14	20601
Gosford	15-19	7915
Gosford	20-24	3425
Gosford	25+	6248
Wyong	0-4	3190
Wyong	5-14	19706
Wyong	15-19	7074
Wyong	20-24	2721
Wyong	25+	5223
Bathurst	0-4	868
Bathurst	5-14	5917
Bathurst	15-19	2289
Bathurst	20-24	1004
Bathurst	25+	1658
Lachlan Valley	0-4	893
Lachlan Valley	5-14	6453
Lachlan Valley	15-19	1990
Lachlan Valley	20-24	538
Lachlan Valley	25+	1176
Lithgow - Mudgee	0-4	704
Lithgow - Mudgee	5-14	5612
Lithgow - Mudgee	15-19	1702
Lithgow - Mudgee	20-24	465
Lithgow - Mudgee	25+	1313
Orange	0-4	1185
Orange	5-14	8370
Orange	15-19	2742
Orange	20-24	899
Orange	25+	2221
Clarence Valley	0-4	759
Clarence Valley	5-14	5502
Clarence Valley	15-19	1748
Clarence Valley	20-24	417
Clarence Valley	25+	1382
Coffs Harbour	0-4	1451
Coffs Harbour	5-14	10736
Coffs Harbour	15-19	3634
Coffs Harbour	20-24	1140
Coffs Harbour	25+	3362
Bourke - Cobar - Coonamble	0-4	336
Bourke - Cobar - Coonamble	5-14	2258
Bourke - Cobar - Coonamble	15-19	639
Bourke - Cobar - Coonamble	20-24	168
Bourke - Cobar - Coonamble	25+	465
Broken Hill and Far West	0-4	288
Broken Hill and Far West	5-14	2007
Broken Hill and Far West	15-19	578
Broken Hill and Far West	20-24	136
Broken Hill and Far West	25+	637
Dubbo	0-4	1450
Dubbo	5-14	8895
Dubbo	15-19	2669
Dubbo	20-24	766
Dubbo	25+	2130
Lower Hunter	0-4	1880
Lower Hunter	5-14	12533
Lower Hunter	15-19	3855
Lower Hunter	20-24	1305
Lower Hunter	25+	2803
Maitland	0-4	1904
Maitland	5-14	11940
Maitland	15-19	3853
Maitland	20-24	1698
Maitland	25+	3288
Port Stephens	0-4	1104
Port Stephens	5-14	8410
Port Stephens	15-19	3002
Port Stephens	20-24	991
Port Stephens	25+	2037
Upper Hunter	0-4	527
Upper Hunter	5-14	3983
Upper Hunter	15-19	1296
Upper Hunter	20-24	330
Upper Hunter	25+	830
Dapto - Port Kembla	0-4	1571
Dapto - Port Kembla	5-14	9624
Dapto - Port Kembla	15-19	3579
Dapto - Port Kembla	20-24	1524
Dapto - Port Kembla	25+	2447
Kiama - Shellharbour	0-4	1960
Kiama - Shellharbour	5-14	11921
Kiama - Shellharbour	15-19	4525
Kiama - Shellharbour	20-24	1749
Kiama - Shellharbour	25+	3046
Wollongong	0-4	2430
Wollongong	5-14	14648
Wollongong	15-19	6721
Wollongong	20-24	5731
Wollongong	25+	6648
Great Lakes	0-4	373
Great Lakes	5-14	2950
Great Lakes	15-19	973
Great Lakes	20-24	220
Great Lakes	25+	684
Kempsey - Nambucca	0-4	718
Kempsey - Nambucca	5-14	5087
Kempsey - Nambucca	15-19	1740
Kempsey - Nambucca	20-24	405
Kempsey - Nambucca	25+	1247
Lord Howe Island	0-4	4
Lord Howe Island	5-14	46
Lord Howe Island	25+	10
Port Macquarie	0-4	1251
Port Macquarie	5-14	9410
Port Macquarie	15-19	3629
Port Macquarie	20-24	1324
Port Macquarie	25+	2854
Taree - Gloucester	0-4	776
Taree - Gloucester	5-14	5925
Taree - Gloucester	15-19	1939
Taree - Gloucester	20-24	468
Taree - Gloucester	25+	1386
Albury	0-4	1204
Albury	5-14	7941
Albury	15-19	2931
Albury	20-24	1189
Albury	25+	2453
Lower Murray	0-4	236
Lower Murray	5-14	1374
Lower Murray	15-19	425
Lower Murray	20-24	122
Lower Murray	25+	280
Upper Murray exc. Albury	0-4	602
Upper Murray exc. Albury	5-14	4491
Upper Murray exc. Albury	15-19	1553
Upper Murray exc. Albury	20-24	351
Upper Murray exc. Albury	25+	868
Armidale	0-4	631
Armidale	5-14	4198
Armidale	15-19	1854
Armidale	20-24	1132
