SA3_NAME16	AustCitizen	persons
Queanbeyan	0	7067
Queanbeyan	1	57726
Snowy Mountains	0	2754
Snowy Mountains	1	17963
South Coast	0	7760
South Coast	1	68976
Goulburn - Mulwaree	0	4429
Goulburn - Mulwaree	1	33974
Young - Yass	0	3390
Young - Yass	1	34769
Gosford	0	18777
Gosford	1	159650
Wyong	0	16240
Wyong	1	151931
Bathurst	0	5767
Bathurst	1	43379
Lachlan Valley	0	5848
Lachlan Valley	1	48836
Lithgow - Mudgee	0	5211
Lithgow - Mudgee	1	42659
Orange	0	5772
Orange	1	55494
Clarence Valley	0	5737
Clarence Valley	1	47928
Coffs Harbour	0	11220
Coffs Harbour	1	81242
Bourke - Cobar - Coonamble	0	4254
Bourke - Cobar - Coonamble	1	17353
Broken Hill and Far West	0	2359
Broken Hill and Far West	1	17517
Dubbo	0	11466
Dubbo	1	62618
Lower Hunter	0	8915
Lower Hunter	1	89012
Maitland	0	6267
Maitland	1	80752
Port Stephens	0	6628
Port Stephens	1	69786
Upper Hunter	0	3401
Upper Hunter	1	27183
Dapto - Port Kembla	0	7591
Dapto - Port Kembla	1	72228
Illawarra Catchment Reserve	0	0
Illawarra Catchment Reserve	1	9
Kiama - Shellharbour	0	8526
Kiama - Shellharbour	1	90728
Wollongong	0	16497
Wollongong	1	118265
Great Lakes	0	3243
Great Lakes	1	30068
Kempsey - Nambucca	0	5848
Kempsey - Nambucca	1	45306
Lord Howe Island	0	69
Lord Howe Island	1	376
Port Macquarie	0	7125
Port Macquarie	1	79655
Taree - Gloucester	0	5304
Taree - Gloucester	1	52041
Albury	0	7332
Albury	1	59712
Lower Murray	0	2145
Lower Murray	1	10911
Upper Murray exc. Albury	0	4749
Upper Murray exc. Albury	1	38704
Armidale	0	6076
Armidale	1	31461
Inverell - Tenterfield	0	4699
Inverell - Tenterfield	1	34032
Moree - Narrabri	0	4529
Moree - Narrabri	1	20184
Tamworth - Gunnedah	0	9914
Tamworth - Gunnedah	1	74665
Lake Macquarie - East	0	8733
Lake Macquarie - East	1	117763
Lake Macquarie - West	0	6392
Lake Macquarie - West	1	78630
Newcastle	0	19329
Newcastle	1	159671
Richmond Valley - Coastal	0	11945
Richmond Valley - Coastal	1	75827
Richmond Valley - Hinterland	0	7883
