SA3_NAME16	Age	HoursHousekeeping	Sex	adults
Queanbeyan	15-19		F	82
Queanbeyan	15-19		M	94
Queanbeyan	15-19	0	F	460
Queanbeyan	15-19	0	M	676
Queanbeyan	15-19	<5	F	912
Queanbeyan	15-19	<5	M	926
Queanbeyan	15-19	5-14	F	195
Queanbeyan	15-19	5-14	M	125
Queanbeyan	15-19	15-29	F	21
Queanbeyan	15-19	15-29	M	13
Queanbeyan	15-19	30+	F	3
Queanbeyan	15-19	30+	M	4
Queanbeyan	20-24		F	90
Queanbeyan	20-24		M	90
Queanbeyan	20-24	0	F	359
Queanbeyan	20-24	0	M	675
Queanbeyan	20-24	<5	F	629
Queanbeyan	20-24	<5	M	706
Queanbeyan	20-24	5-14	F	454
Queanbeyan	20-24	5-14	M	279
Queanbeyan	20-24	15-29	F	79
Queanbeyan	20-24	15-29	M	31
Queanbeyan	20-24	30+	F	50
Queanbeyan	20-24	30+	M	13
Queanbeyan	25-34		F	285
Queanbeyan	25-34		M	322
Queanbeyan	25-34	0	F	688
Queanbeyan	25-34	0	M	1196
Queanbeyan	25-34	<5	F	815
Queanbeyan	25-34	<5	M	1336
Queanbeyan	25-34	5-14	F	1720
Queanbeyan	25-34	5-14	M	1421
Queanbeyan	25-34	15-29	F	696
Queanbeyan	25-34	15-29	M	295
Queanbeyan	25-34	30+	F	643
Queanbeyan	25-34	30+	M	92
Queanbeyan	35-44		F	235
Queanbeyan	35-44		M	259
Queanbeyan	35-44	0	F	451
Queanbeyan	35-44	0	M	749
Queanbeyan	35-44	<5	F	500
Queanbeyan	35-44	<5	M	1135
Queanbeyan	35-44	5-14	F	1752
Queanbeyan	35-44	5-14	M	1754
Queanbeyan	35-44	15-29	F	975
Queanbeyan	35-44	15-29	M	475
Queanbeyan	35-44	30+	F	727
Queanbeyan	35-44	30+	M	199
Queanbeyan	45-54		F	202
Queanbeyan	45-54		M	231
Queanbeyan	45-54	0	F	453
Queanbeyan	45-54	0	M	768
Queanbeyan	45-54	<5	F	601
Queanbeyan	45-54	<5	M	1210
Queanbeyan	45-54	5-14	F	1983
Queanbeyan	45-54	5-14	M	1812
Queanbeyan	45-54	15-29	F	994
Queanbeyan	45-54	15-29	M	501
Queanbeyan	45-54	30+	F	498
Queanbeyan	45-54	30+	M	157
Queanbeyan	55-64		F	213
Queanbeyan	55-64		M	279
Queanbeyan	55-64	0	F	512
Queanbeyan	55-64	0	M	802
Queanbeyan	55-64	<5	F	455
Queanbeyan	55-64	<5	M	1005
Queanbeyan	55-64	5-14	F	1507
Queanbeyan	55-64	5-14	M	1522
Queanbeyan	55-64	15-29	F	824
Queanbeyan	55-64	15-29	M	456
Queanbeyan	55-64	30+	F	506
Queanbeyan	55-64	30+	M	189
Queanbeyan	65-74		F	154
Queanbeyan	65-74		M	173
Queanbeyan	65-74	0	F	543
Queanbeyan	65-74	0	M	652
Queanbeyan	65-74	<5	F	226
Queanbeyan	65-74	<5	M	514
Queanbeyan	65-74	5-14	F	673
Queanbeyan	65-74	5-14	M	868
Queanbeyan	65-74	15-29	F	596
Queanbeyan	65-74	15-29	M	357
Queanbeyan	65-74	30+	F	468
Queanbeyan	65-74	30+	M	210
Queanbeyan	75-84		F	100
Queanbeyan	75-84		M	75
Queanbeyan	75-84	0	F	411
Queanbeyan	75-84	0	M	348
Queanbeyan	75-84	<5	F	111
Queanbeyan	75-84	<5	M	204
Queanbeyan	75-84	5-14	F	274
Queanbeyan	75-84	5-14	M	318
Queanbeyan	75-84	15-29	F	221
Queanbeyan	75-84	15-29	M	161
Queanbeyan	75-84	30+	F	218
Queanbeyan	75-84	30+	M	109
Queanbeyan	85+		F	53
Queanbeyan	85+		M	31
Queanbeyan	85+	0	F	218
Queanbeyan	85+	0	M	140
Queanbeyan	85+	<5	F	57
Queanbeyan	85+	<5	M	57
Queanbeyan	85+	5-14	F	76
Queanbeyan	85+	5-14	M	53
Queanbeyan	85+	15-29	F	38
Queanbeyan	85+	15-29	M	29
Queanbeyan	85+	30+	F	26
Queanbeyan	85+	30+	M	14
Snowy Mountains	15-19		F	50
Snowy Mountains	15-19		M	43
Snowy Mountains	15-19	0	F	145
Snowy Mountains	15-19	0	M	220
Snowy Mountains	15-19	<5	F	280
Snowy Mountains	15-19	<5	M	257
Snowy Mountains	15-19	5-14	F	69
Snowy Mountains	15-19	5-14	M	58
Snowy Mountains	15-19	15-29	F	11
Snowy Mountains	15-19	30+	F	6
Snowy Mountains	20-24		F	47
Snowy Mountains	20-24		M	58
Snowy Mountains	20-24	0	F	118
Snowy Mountains	20-24	0	M	201
Snowy Mountains	20-24	<5	F	168
Snowy Mountains	20-24	<5	M	205
Snowy Mountains	20-24	5-14	F	154
Snowy Mountains	20-24	5-14	M	105
Snowy Mountains	20-24	15-29	F	29
Snowy Mountains	20-24	15-29	M	10
Snowy Mountains	20-24	30+	F	20
Snowy Mountains	20-24	30+	M	10
Snowy Mountains	25-34		F	120
Snowy Mountains	25-34		M	202
Snowy Mountains	25-34	0	F	201
Snowy Mountains	25-34	0	M	341
Snowy Mountains	25-34	<5	F	238
Snowy Mountains	25-34	<5	M	438
Snowy Mountains	25-34	5-14	F	395
Snowy Mountains	25-34	5-14	M	347
Snowy Mountains	25-34	15-29	F	151
Snowy Mountains	25-34	15-29	M	70
Snowy Mountains	25-34	30+	F	177
Snowy Mountains	25-34	30+	M	25
Snowy Mountains	35-44		F	78
Snowy Mountains	35-44		M	164
Snowy Mountains	35-44	0	F	109
Snowy Mountains	35-44	0	M	176
Snowy Mountains	35-44	<5	F	124
Snowy Mountains	35-44	<5	M	281
Snowy Mountains	35-44	5-14	F	393
Snowy Mountains	35-44	5-14	M	362
Snowy Mountains	35-44	15-29	F	257
Snowy Mountains	35-44	15-29	M	122
Snowy Mountains	35-44	30+	F	197
Snowy Mountains	35-44	30+	M	62
Snowy Mountains	45-54		F	98
Snowy Mountains	45-54		M	145
Snowy Mountains	45-54	0	F	117
Snowy Mountains	45-54	0	M	229
Snowy Mountains	45-54	<5	F	155
Snowy Mountains	45-54	<5	M	380
Snowy Mountains	45-54	5-14	F	600
Snowy Mountains	45-54	5-14	M	492
Snowy Mountains	45-54	15-29	F	306
Snowy Mountains	45-54	15-29	M	136
Snowy Mountains	45-54	30+	F	154
Snowy Mountains	45-54	30+	M	69
Snowy Mountains	55-64		F	106
Snowy Mountains	55-64		M	126
Snowy Mountains	55-64	0	F	181
Snowy Mountains	55-64	0	M	311
Snowy Mountains	55-64	<5	F	171
Snowy Mountains	55-64	<5	M	381
Snowy Mountains	55-64	5-14	F	513
Snowy Mountains	55-64	5-14	M	516
Snowy Mountains	55-64	15-29	F	314
Snowy Mountains	55-64	15-29	M	150
Snowy Mountains	55-64	30+	F	189
Snowy Mountains	55-64	30+	M	75
Snowy Mountains	65-74		F	87
Snowy Mountains	65-74		M	95
Snowy Mountains	65-74	0	F	225
Snowy Mountains	65-74	0	M	330
Snowy Mountains	65-74	<5	F	98
Snowy Mountains	65-74	<5	M	238
Snowy Mountains	65-74	5-14	F	270
Snowy Mountains	65-74	5-14	M	336
Snowy Mountains	65-74	15-29	F	219
Snowy Mountains	65-74	15-29	M	153
Snowy Mountains	65-74	30+	F	212
Snowy Mountains	65-74	30+	M	93
Snowy Mountains	75-84		F	65
Snowy Mountains	75-84		M	65
Snowy Mountains	75-84	0	F	181
Snowy Mountains	75-84	0	M	199
Snowy Mountains	75-84	<5	F	55
Snowy Mountains	75-84	<5	M	127
Snowy Mountains	75-84	5-14	F	130
Snowy Mountains	75-84	5-14	M	160
Snowy Mountains	75-84	15-29	F	110
Snowy Mountains	75-84	15-29	M	64
Snowy Mountains	75-84	30+	F	108
Snowy Mountains	75-84	30+	M	44
Snowy Mountains	85+		F	38
Snowy Mountains	85+		M	19
Snowy Mountains	85+	0	F	145
Snowy Mountains	85+	0	M	101
Snowy Mountains	85+	<5	F	31
Snowy Mountains	85+	<5	M	22
Snowy Mountains	85+	5-14	F	35
