SA3_NAME21	OnlyEnglishSpokenHome	persons
Queanbeyan	0	8600
Queanbeyan	1	52829
Snowy Mountains	0	1304
Snowy Mountains	1	17767
South Coast	0	2823
South Coast	1	68436
Goulburn - Mulwaree	0	2142
Goulburn - Mulwaree	1	33251
Young - Yass	0	1760
Young - Yass	1	34006
Gosford	0	14989
Gosford	1	154918
Wyong	0	9656
Wyong	1	149094
Bathurst	0	2631
Bathurst	1	42787
Lachlan Valley	0	1673
Lachlan Valley	1	48339
Lithgow - Mudgee	0	1786
Lithgow - Mudgee	1	42275
Orange	0	3453
Orange	1	54301
Clarence Valley	0	1480
Clarence Valley	1	47651
Coffs Harbour	0	7721
Coffs Harbour	1	78955
Bourke - Cobar - Coonamble	0	841
Bourke - Cobar - Coonamble	1	17195
Broken Hill and Far West	0	634
Broken Hill and Far West	1	17328
Dubbo	0	4535
Dubbo	1	61432
Lower Hunter	0	2680
Lower Hunter	1	88837
Maitland	0	4852
Maitland	1	78794
Port Stephens	0	3053
Port Stephens	1	69354
Upper Hunter	0	1247
Upper Hunter	1	27126
Dapto - Port Kembla	0	12803
Dapto - Port Kembla	1	63454
Illawarra Catchment Reserve	0	4
Illawarra Catchment Reserve	1	4
Kiama - Shellharbour	0	8501
Kiama - Shellharbour	1	86070
Wollongong	0	21055
Wollongong	1	107740
Great Lakes	0	1060
Great Lakes	1	29921
Kempsey - Nambucca	0	1558
Kempsey - Nambucca	1	44929
Lord Howe Island	0	32
Lord Howe Island	1	382
Port Macquarie	0	3464
Port Macquarie	1	79264
Taree - Gloucester	0	1791
Taree - Gloucester	1	51600
Albury	0	5053
Albury	1	57977
Lower Murray	0	696
Lower Murray	1	10742
Upper Murray exc. Albury	0	1205
Upper Murray exc. Albury	1	38706
Armidale	0	3191
Armidale	1	30825
Inverell - Tenterfield	0	1130
Inverell - Tenterfield	1	33837
Moree - Narrabri	0	775
Moree - Narrabri	1	20033
Tamworth - Gunnedah	0	4266
Tamworth - Gunnedah	1	73756
Lake Macquarie - East	0	6665
Lake Macquarie - East	1	115177
Lake Macquarie - West	0	4395
Lake Macquarie - West	1	77069
Newcastle	0	18269
Newcastle	1	152308
Richmond Valley - Coastal	0	5782
Richmond Valley - Coastal	1	75259
Richmond Valley - Hinterland	0	3069
Richmond Valley - Hinterland	1	62889
Tweed Valley	0	4862
Tweed Valley	1	85814
Griffith - Murrumbidgee (West)	0	7957
Griffith - Murrumbidgee (West)	1	37347
Tumut - Tumbarumba	0	653
Tumut - Tumbarumba	1	13011
Wagga Wagga	0	7088
Wagga Wagga	1	85428
Shoalhaven	0	5292
Shoalhaven	1	95761
Southern Highlands	0	3682
Southern Highlands	1	46357
Baulkham Hills	0	65021
Baulkham Hills	1	85517
Dural - Wisemans Ferry	0	4726
Dural - Wisemans Ferry	1	22263
Hawkesbury	0	1250
Hawkesbury	1	22868
Rouse Hill - McGraths Hill	0	19075
Rouse Hill - McGraths Hill	1	35840
Blacktown	0	68099
Blacktown	1	66077
Blacktown - North	0	69860
Blacktown - North	1	66222
Mount Druitt	0	48621
Mount Druitt	1	57541
Botany	0	26429
Botany	1	28760
Marrickville - Sydenham - Petersham	0	14839
Marrickville - Sydenham - Petersham	1	37362
Sydney Inner City	0	74707
Sydney Inner City	1	127659
Eastern Suburbs - North	0	23444
Eastern Suburbs - North	1	96686
Eastern Suburbs - South	0	37324
Eastern Suburbs - South	1	88766
Bankstown	0	105238
Bankstown	1	68355
Canterbury	0	89504
Canterbury	1	41001
Hurstville	0	70087
Hurstville	1	55531
Kogarah - Rockdale	0	80411
Kogarah - Rockdale	1	56462
Canada Bay	0	33376
Canada Bay	1	49689
Leichhardt	0	8487
Leichhardt	1	45526
Strathfield - Burwood - Ashfield	0	84073
Strathfield - Burwood - Ashfield	1	69534
Chatswood - Lane Cove	0	43300
