SA3_NAME21	Age	NeedsAssistance	Sex	persons
Queanbeyan	0-4		F	121
Queanbeyan	0-4		M	95
Queanbeyan	0-4	0	F	2010
Queanbeyan	0-4	0	M	2048
Queanbeyan	0-4	1	F	15
Queanbeyan	0-4	1	M	36
Queanbeyan	5-14		F	209
Queanbeyan	5-14		M	212
Queanbeyan	5-14	0	F	3617
Queanbeyan	5-14	0	M	3958
Queanbeyan	5-14	1	F	101
Queanbeyan	5-14	1	M	219
Queanbeyan	15-19		F	72
Queanbeyan	15-19		M	84
Queanbeyan	15-19	0	F	1558
Queanbeyan	15-19	0	M	1687
Queanbeyan	15-19	1	F	47
Queanbeyan	15-19	1	M	65
Queanbeyan	20-24		F	82
Queanbeyan	20-24		M	88
Queanbeyan	20-24	0	F	1546
Queanbeyan	20-24	0	M	1655
Queanbeyan	20-24	1	F	30
Queanbeyan	20-24	1	M	50
Queanbeyan	25-34		F	251
Queanbeyan	25-34		M	294
Queanbeyan	25-34	0	F	4504
Queanbeyan	25-34	0	M	4284
Queanbeyan	25-34	1	F	91
Queanbeyan	25-34	1	M	82
Queanbeyan	35-44		F	226
Queanbeyan	35-44		M	232
Queanbeyan	35-44	0	F	4304
Queanbeyan	35-44	0	M	4259
Queanbeyan	35-44	1	F	115
Queanbeyan	35-44	1	M	73
Queanbeyan	45-54		F	196
Queanbeyan	45-54		M	229
Queanbeyan	45-54	0	F	4374
Queanbeyan	45-54	0	M	4328
Queanbeyan	45-54	1	F	168
Queanbeyan	45-54	1	M	120
Queanbeyan	55-64		F	197
Queanbeyan	55-64		M	254
Queanbeyan	55-64	0	F	3656
Queanbeyan	55-64	0	M	3863
Queanbeyan	55-64	1	F	172
Queanbeyan	55-64	1	M	147
Queanbeyan	65-74		F	141
Queanbeyan	65-74		M	168
Queanbeyan	65-74	0	F	2333
Queanbeyan	65-74	0	M	2419
Queanbeyan	65-74	1	F	195
Queanbeyan	65-74	1	M	190
Queanbeyan	75-84		F	88
Queanbeyan	75-84		M	64
Queanbeyan	75-84	0	F	942
Queanbeyan	75-84	0	M	929
Queanbeyan	75-84	1	F	311
Queanbeyan	75-84	1	M	226
Queanbeyan	85+		F	39
Queanbeyan	85+		M	24
Queanbeyan	85+	0	F	164
Queanbeyan	85+	0	M	156
Queanbeyan	85+	1	F	257
Queanbeyan	85+	1	M	136
Snowy Mountains	0-4		F	22
Snowy Mountains	0-4		M	18
Snowy Mountains	0-4	0	F	447
Snowy Mountains	0-4	0	M	440
Snowy Mountains	0-4	1	M	4
Snowy Mountains	5-14		F	73
Snowy Mountains	5-14		M	102
Snowy Mountains	5-14	0	F	1017
Snowy Mountains	5-14	0	M	1145
Snowy Mountains	5-14	1	F	16
Snowy Mountains	5-14	1	M	67
Snowy Mountains	15-19		F	42
Snowy Mountains	15-19		M	40
Snowy Mountains	15-19	0	F	505
Snowy Mountains	15-19	0	M	529
Snowy Mountains	15-19	1	F	9
Snowy Mountains	15-19	1	M	23
Snowy Mountains	20-24		F	47
Snowy Mountains	20-24		M	52
Snowy Mountains	20-24	0	F	481
Snowy Mountains	20-24	0	M	518
Snowy Mountains	20-24	1	F	8
Snowy Mountains	20-24	1	M	16
Snowy Mountains	25-34		F	122
Snowy Mountains	25-34		M	194
Snowy Mountains	25-34	0	F	1135
Snowy Mountains	25-34	0	M	1213
Snowy Mountains	25-34	1	F	22
Snowy Mountains	25-34	1	M	22
Snowy Mountains	35-44		F	78
