SA3_NAME21	PrivateDwelling	persons
Queanbeyan	0	3772
Queanbeyan	1	60695
Snowy Mountains	0	7627
Snowy Mountains	1	18780
South Coast	0	8275
South Coast	1	69406
Goulburn - Mulwaree	0	4280
Goulburn - Mulwaree	1	34593
Young - Yass	0	3046
Young - Yass	1	35104
Gosford	0	10154
Gosford	1	168162
Wyong	0	9701
Wyong	1	157734
Bathurst	0	5319
Bathurst	1	44006
Lachlan Valley	0	6028
Lachlan Valley	1	49004
Lithgow - Mudgee	0	4754
Lithgow - Mudgee	1	43563
Orange	0	5148
Orange	1	56464
Clarence Valley	0	6336
Clarence Valley	1	48148
Coffs Harbour	0	8040
Coffs Harbour	1	85463
Bourke - Cobar - Coonamble	0	5260
Bourke - Cobar - Coonamble	1	17624
Broken Hill and Far West	0	2853
Broken Hill and Far West	1	17660
Dubbo	0	9174
Dubbo	1	64973
Lower Hunter	0	7737
Lower Hunter	1	90351
Maitland	0	3422
Maitland	1	83086
Port Stephens	0	4540
Port Stephens	1	71175
Upper Hunter	0	2916
Upper Hunter	1	28034
Dapto - Port Kembla	0	3648
Dapto - Port Kembla	1	75763
Illawarra Catchment Reserve	1	6
Kiama - Shellharbour	0	4704
Kiama - Shellharbour	1	93986
Wollongong	0	7794
Wollongong	1	126279
Great Lakes	0	3400
Great Lakes	1	30457
Kempsey - Nambucca	0	6189
Kempsey - Nambucca	1	45908
Lord Howe Island	0	102
Lord Howe Island	1	356
Port Macquarie	0	6065
Port Macquarie	1	81267
Taree - Gloucester	0	4744
Taree - Gloucester	1	52815
Albury	0	5121
Albury	1	61534
Lower Murray	0	2300
Lower Murray	1	11069
Upper Murray exc. Albury	0	4203
Upper Murray exc. Albury	1	38427
Armidale	0	4759
Armidale	1	32568
Inverell - Tenterfield	0	4761
Inverell - Tenterfield	1	34198
Moree - Narrabri	0	4976
Moree - Narrabri	1	20554
Tamworth - Gunnedah	0	8043
Tamworth - Gunnedah	1	77128
Lake Macquarie - East	0	5009
Lake Macquarie - East	1	120251
Lake Macquarie - West	0	4087
Lake Macquarie - West	1	79734
Newcastle	0	12062
Newcastle	1	165611
Richmond Valley - Coastal	0	8813
Richmond Valley - Coastal	1	79621
Richmond Valley - Hinterland	0	6981
Richmond Valley - Hinterland	1	65319
Tweed Valley	0	8852
Tweed Valley	1	89273
Griffith - Murrumbidgee (West)	0	5595
Griffith - Murrumbidgee (West)	1	44219
Tumut - Tumbarumba	0	1675
Tumut - Tumbarumba	1	13290
Wagga Wagga	0	10360
Wagga Wagga	1	89784
Shoalhaven	0	9819
Shoalhaven	1	99032
Southern Highlands	0	3683
Southern Highlands	1	49393
Baulkham Hills	0	4797
Baulkham Hills	1	149630
Dural - Wisemans Ferry	0	1091
Dural - Wisemans Ferry	1	26718
Hawkesbury	0	889
Hawkesbury	1	24006
Rouse Hill - McGraths Hill	0	1375
Rouse Hill - McGraths Hill	1	55127
Blacktown	0	7845
Blacktown	1	134559
Blacktown - North	0	5523
Blacktown - North	1	137099
Mount Druitt	0	8422
Mount Druitt	1	107095
Botany	0	3888
Botany	1	55327
Marrickville - Sydenham - Petersham	0	3144
Marrickville - Sydenham - Petersham	1	50653
Sydney Inner City	0	29317
Sydney Inner City	1	192169
Eastern Suburbs - North	0	7961
Eastern Suburbs - North	1	115819
Eastern Suburbs - South	0	10632
Eastern Suburbs - South	1	122286
Bankstown	0	11572
Bankstown	1	173901
Canterbury	0	8668
Canterbury	1	131523
Hurstville	0	5403
Hurstville	1	125598
Kogarah - Rockdale	0	8643
Kogarah - Rockdale	1	137166
Canada Bay	0	4055
Canada Bay	1	82577
Leichhardt	0	2933
Leichhardt	1	52582
Strathfield - Burwood - Ashfield	0	8845
Strathfield - Burwood - Ashfield	1	151788
Chatswood - Lane Cove	0	5876
Chatswood - Lane Cove	1	111297
Hornsby	0	2746
Hornsby	1	84288
Ku-ring-gai	0	3849
Ku-ring-gai	1	119622
North Sydney - Mosman	0	4422
North Sydney - Mosman	1	88234
Manly	0	1704
Manly	1	40604
Pittwater	0	2818
Pittwater	1	60101
Warringah	0	5650
Warringah	1	149734
Camden	0	2146
Camden	1	71170
Campbelltown (NSW)	0	10011
Campbelltown (NSW)	1	167441
Wollondilly	0	2119
Wollondilly	1	43437
Blue Mountains	0	3362
Blue Mountains	1	74351
Blue Mountains - South	1	7
Penrith	0	8081
Penrith	1	151186
Richmond - Windsor	0	3696
Richmond - Windsor	1	34346
St Marys	0	3589
St Marys	1	52995
Auburn	0	7015
Auburn	1	96347
Carlingford	0	2855
Carlingford	1	70675
Merrylands - Guildford	0	12544
Merrylands - Guildford	1	150637
Parramatta	0	10219
Parramatta	1	142689
Pennant Hills - Epping	0	1299
Pennant Hills - Epping	1	53042
Ryde - Hunters Hill	0	7842
