SA3_NAME21	Landlord	Rent.min	occupied_private_dwellings_being_rented
Queanbeyan		5250	5
Queanbeyan		14437	3
Queanbeyan		18375	3
Queanbeyan	(Other)	3937	3
Queanbeyan	(Other)	5250	13
Queanbeyan	(Other)	7875	4
Queanbeyan	(Other)	10500	12
Queanbeyan	(Other)	11812	100
Queanbeyan	(Other)	14437	160
Queanbeyan	(Other)	18375	180
Queanbeyan	(Other)	23625	34
Queanbeyan	(Other)	28875	13
Queanbeyan	(Other)	34125	13
Queanbeyan	(Other)	39375	9
Queanbeyan	Co-op/church group etc	52	3
Queanbeyan	Co-op/church group etc	3937	4
Queanbeyan	Co-op/church group etc	5250	13
Queanbeyan	Co-op/church group etc	7875	58
Queanbeyan	Co-op/church group etc	10500	30
Queanbeyan	Co-op/church group etc	11812	29
Queanbeyan	Co-op/church group etc	14437	16
Queanbeyan	Co-op/church group etc	18375	12
Queanbeyan	Person not in same household	52	9
Queanbeyan	Person not in same household	3937	6
Queanbeyan	Person not in same household	5250	35
Queanbeyan	Person not in same household	7875	74
Queanbeyan	Person not in same household	10500	80
Queanbeyan	Person not in same household	11812	125
Queanbeyan	Person not in same household	14437	192
Queanbeyan	Person not in same household	18375	277
Queanbeyan	Person not in same household	23625	209
Queanbeyan	Person not in same household	28875	90
Queanbeyan	Person not in same household	34125	38
Queanbeyan	Person not in same household	39375	22
Queanbeyan	Person not in same household	49875	3
Queanbeyan	Real estate agent	52	3
Queanbeyan	Real estate agent	5250	20
Queanbeyan	Real estate agent	7875	52
Queanbeyan	Real estate agent	10500	153
Queanbeyan	Real estate agent	11812	434
Queanbeyan	Real estate agent	14437	618
Queanbeyan	Real estate agent	18375	804
Queanbeyan	Real estate agent	23625	717
Queanbeyan	Real estate agent	28875	337
Queanbeyan	Real estate agent	34125	241
Queanbeyan	Real estate agent	39375	100
Queanbeyan	Real estate agent	44625	18
Queanbeyan	Real estate agent	49875	13
Queanbeyan	State or territory housing authority	52	13
Queanbeyan	State or territory housing authority	3937	29
Queanbeyan	State or territory housing authority	5250	158
