SA3_NAME16	OnlyEnglishSpokenHome	Sex	persons
Queanbeyan	0	F	4290
Queanbeyan	0	M	4304
Queanbeyan	1	F	26187
Queanbeyan	1	M	26641
Snowy Mountains	0	F	681
Snowy Mountains	0	M	625
Snowy Mountains	1	F	8676
Snowy Mountains	1	M	9089
South Coast	0	F	1558
South Coast	0	M	1267
South Coast	1	F	34833
South Coast	1	M	33609
Goulburn - Mulwaree	0	F	1063
Goulburn - Mulwaree	0	M	1073
Goulburn - Mulwaree	1	F	16749
Goulburn - Mulwaree	1	M	16501
Young - Yass	0	F	888
Young - Yass	0	M	876
Young - Yass	1	F	17334
Young - Yass	1	M	16675
Gosford	0	F	8071
Gosford	0	M	6919
Gosford	1	F	79553
Gosford	1	M	75363
Wyong	0	F	5210
Wyong	0	M	4442
Wyong	1	F	76446
Wyong	1	M	72651
Bathurst	0	F	1333
Bathurst	0	M	1296
Bathurst	1	F	21692
Bathurst	1	M	21098
Lachlan Valley	0	F	851
Lachlan Valley	0	M	826
Lachlan Valley	1	F	24318
Lachlan Valley	1	M	24021
Lithgow - Mudgee	0	F	915
Lithgow - Mudgee	0	M	881
Lithgow - Mudgee	1	F	21135
Lithgow - Mudgee	1	M	21141
Orange	0	F	1773
Orange	0	M	1682
Orange	1	F	27671
Orange	1	M	26624
Clarence Valley	0	F	843
Clarence Valley	0	M	643
Clarence Valley	1	F	24196
Clarence Valley	1	M	23463
Coffs Harbour	0	F	4087
Coffs Harbour	0	M	3638
Coffs Harbour	1	F	40773
Coffs Harbour	1	M	38180
Bourke - Cobar - Coonamble	0	F	423
Bourke - Cobar - Coonamble	0	M	417
Bourke - Cobar - Coonamble	1	F	8535
Bourke - Cobar - Coonamble	1	M	8666
Broken Hill and Far West	0	F	354
Broken Hill and Far West	0	M	277
Broken Hill and Far West	1	F	8825
Broken Hill and Far West	1	M	8504
Dubbo	0	F	2291
Dubbo	0	M	2242
Dubbo	1	F	31410
Dubbo	1	M	30023
Lower Hunter	0	F	1444
Lower Hunter	0	M	1233
Lower Hunter	1	F	44630
Lower Hunter	1	M	44204
Maitland	0	F	2596
Maitland	0	M	2257
Maitland	1	F	40372
Maitland	1	M	38418
Port Stephens	0	F	1621
Port Stephens	0	M	1435
Port Stephens	1	F	35132
Port Stephens	1	M	34224
Upper Hunter	0	F	631
Upper Hunter	0	M	614
Upper Hunter	1	F	13507
Upper Hunter	1	M	13628
Dapto - Port Kembla	0	F	6739
Dapto - Port Kembla	0	M	6063
Dapto - Port Kembla	1	F	32031
Dapto - Port Kembla	1	M	31428
Illawarra Catchment Reserve	1	M	4
Kiama - Shellharbour	0	F	4586
Kiama - Shellharbour	0	M	3915
Kiama - Shellharbour	1	F	43920
Kiama - Shellharbour	1	M	42153
Wollongong	0	F	10846
Wollongong	0	M	10212
Wollongong	1	F	54472
Wollongong	1	M	53267
Great Lakes	0	F	553
Great Lakes	0	M	501
Great Lakes	1	F	15400
Great Lakes	1	M	14523
Kempsey - Nambucca	0	F	854
Kempsey - Nambucca	0	M	704
Kempsey - Nambucca	1	F	22911
Kempsey - Nambucca	1	M	22017
Lord Howe Island	0	F	14
Lord Howe Island	0	M	20
Lord Howe Island	1	F	197
Lord Howe Island	1	M	186
Port Macquarie	0	F	1888
Port Macquarie	0	M	1577
Port Macquarie	1	F	41282
Port Macquarie	1	M	37980
Taree - Gloucester	0	F	1019
Taree - Gloucester	0	M	774
Taree - Gloucester	1	F	26365
Taree - Gloucester	1	M	25234
Albury	0	F	2557
Albury	0	M	2491
Albury	1	F	29880
Albury	1	M	28093
Lower Murray	0	F	332
Lower Murray	0	M	366
Lower Murray	1	F	5235
Lower Murray	1	M	5503
Upper Murray exc. Albury	0	F	644
Upper Murray exc. Albury	0	M	561
Upper Murray exc. Albury	1	F	19537
Upper Murray exc. Albury	1	M	19173
Armidale	0	F	1656
Armidale	0	M	1538
Armidale	1	F	15893
Armidale	1	M	14933
Inverell - Tenterfield	0	F	596
Inverell - Tenterfield	0	M	539
Inverell - Tenterfield	1	F	17240
Inverell - Tenterfield	1	M	16599
Moree - Narrabri	0	F	392
Moree - Narrabri	0	M	377
Moree - Narrabri	1	F	9999
Moree - Narrabri	1	M	10029
Tamworth - Gunnedah	0	F	2110
Tamworth - Gunnedah	0	M	2159
Tamworth - Gunnedah	1	F	37572
Tamworth - Gunnedah	1	M	36184
Lake Macquarie - East	0	F	3620
Lake Macquarie - East	0	M	3047
Lake Macquarie - East	1	F	58903
Lake Macquarie - East	1	M	56271
Lake Macquarie - West	0	F	2352
Lake Macquarie - West	0	M	2045
Lake Macquarie - West	1	F	39379
Lake Macquarie - West	1	M	37687
Newcastle	0	F	9306
Newcastle	0	M	8957
Newcastle	1	F	77600
Newcastle	1	M	74703
Richmond Valley - Coastal	0	F	3177
Richmond Valley - Coastal	0	M	2604
Richmond Valley - Coastal	1	F	38868
Richmond Valley - Coastal	1	M	36388
Richmond Valley - Hinterland	0	F	1686
Richmond Valley - Hinterland	0	M	1380
Richmond Valley - Hinterland	1	F	31915
Richmond Valley - Hinterland	1	M	30971
Tweed Valley	0	F	2722
Tweed Valley	0	M	2141
Tweed Valley	1	F	44468
Tweed Valley	1	M	41348
Griffith - Murrumbidgee (West)	0	F	3926
Griffith - Murrumbidgee (West)	0	M	4027
Griffith - Murrumbidgee (West)	1	F	18735
Griffith - Murrumbidgee (West)	1	M	18611
Tumut - Tumbarumba	0	F	336
Tumut - Tumbarumba	0	M	319
Tumut - Tumbarumba	1	F	6518
Tumut - Tumbarumba	1	M	6488
Wagga Wagga	0	F	3462
Wagga Wagga	0	M	3630
Wagga Wagga	1	F	43889
Wagga Wagga	1	M	41538
Shoalhaven	0	F	2832
Shoalhaven	0	M	2461
Shoalhaven	1	F	48684
Shoalhaven	1	M	47082
Southern Highlands	0	F	1946
Southern Highlands	0	M	1735
Southern Highlands	1	F	24090
Southern Highlands	1	M	22267
Baulkham Hills	0	F	33858
Baulkham Hills	0	M	31159
Baulkham Hills	1	F	42799
Baulkham Hills	1	M	42716
Dural - Wisemans Ferry	0	F	2409
Dural - Wisemans Ferry	0	M	2314
Dural - Wisemans Ferry	1	F	10992
Dural - Wisemans Ferry	1	M	11271
Hawkesbury	0	F	645
Hawkesbury	0	M	606
Hawkesbury	1	F	11248
Hawkesbury	1	M	11620
Rouse Hill - McGraths Hill	0	F	9869
Rouse Hill - McGraths Hill	0	M	9208
Rouse Hill - McGraths Hill	1	F	17783
Rouse Hill - McGraths Hill	1	M	18055
Blacktown	0	F	34309
Blacktown	0	M	33795
Blacktown	1	F	32461
Blacktown	1	M	33619
Blacktown - North	0	F	35566
Blacktown - North	0	M	34294
Blacktown - North	1	F	32957
Blacktown - North	1	M	33262
Mount Druitt	0	F	25085
Mount Druitt	0	M	23533
Mount Druitt	1	F	28899
Mount Druitt	1	M	28646
Botany	0	F	13684
Botany	0	M	12742
Botany	1	F	13897
Botany	1	M	14863
Marrickville - Sydenham - Petersham	0	F	7835
Marrickville - Sydenham - Petersham	0	M	7006
Marrickville - Sydenham - Petersham	1	F	18561
Marrickville - Sydenham - Petersham	1	M	18806
Sydney Inner City	0	F	39021
Sydney Inner City	0	M	35692
Sydney Inner City	1	F	57967
Sydney Inner City	1	M	69688
Eastern Suburbs - North	0	F	12905
Eastern Suburbs - North	0	M	10536
Eastern Suburbs - North	1	F	49899
Eastern Suburbs - North	1	M	46789
Eastern Suburbs - South	0	F	20042
Eastern Suburbs - South	0	M	17282
Eastern Suburbs - South	1	F	45202
Eastern Suburbs - South	1	M	43559
Bankstown	0	F	53894
Bankstown	0	M	51339
Bankstown	1	F	33855
Bankstown	1	M	34504
Canterbury	0	F	44074
Canterbury	0	M	45436
Canterbury	1	F	19696
Canterbury	1	M	21305
Hurstville	0	F	36330
Hurstville	0	M	33758
Hurstville	1	F	27360
Hurstville	1	M	28177
Kogarah - Rockdale	0	F	41522
Kogarah - Rockdale	0	M	38890
Kogarah - Rockdale	1	F	27450
Kogarah - Rockdale	1	M	29004
Canada Bay	0	F	18128
Canada Bay	0	M	15250
Canada Bay	1	F	25086
Canada Bay	1	M	24604
Leichhardt	0	F	4743
Leichhardt	0	M	3746
Leichhardt	1	F	23470
Leichhardt	1	M	22057
Strathfield - Burwood - Ashfield	0	F	43417
Strathfield - Burwood - Ashfield	0	M	40659
Strathfield - Burwood - Ashfield	1	F	34400
Strathfield - Burwood - Ashfield	1	M	35134
Chatswood - Lane Cove	0	F	23782
Chatswood - Lane Cove	0	M	19520
Chatswood - Lane Cove	1	F	34570
Chatswood - Lane Cove	1	M	35419
Hornsby	0	F	16508
Hornsby	0	M	14578
Hornsby	1	F	26590
Hornsby	1	M	27243
Ku-ring-gai	0	F	22505
Ku-ring-gai	0	M	18997
Ku-ring-gai	1	F	40222
Ku-ring-gai	1	M	39491
North Sydney - Mosman	0	F	11286
North Sydney - Mosman	0	M	8728
North Sydney - Mosman	1	F	37198
North Sydney - Mosman	1	M	33705
Manly	0	F	3410
Manly	0	M	2709
Manly	1	F	18068
Manly	1	M	17497
Pittwater	0	F	2985
Pittwater	0	M	2502
Pittwater	1	F	28199
Pittwater	1	M	27269
Warringah	0	F	15682
Warringah	0	M	13769
Warringah	1	F	61614
Warringah	1	M	60712
Camden	0	F	5001
Camden	0	M	4422
Camden	1	F	31604
Camden	1	M	30399
Campbelltown (NSW)	0	F	32752
Campbelltown (NSW)	0	M	30820
Campbelltown (NSW)	1	F	51851
Campbelltown (NSW)	1	M	51142
Wollondilly	0	F	1288
Wollondilly	0	M	1202
Wollondilly	1	F	20452
Wollondilly	1	M	20570
Blue Mountains	0	F	2793
Blue Mountains	0	M	2259
Blue Mountains	1	F	36021
Blue Mountains	1	M	34251
Blue Mountains - South	1	M	4
Penrith	0	F	14097
Penrith	0	M	12752
Penrith	1	F	62811
Penrith	1	M	61565
Richmond - Windsor	0	F	1685
Richmond - Windsor	0	M	1606
Richmond - Windsor	1	F	16080
Richmond - Windsor	1	M	15452
St Marys	0	F	7763
St Marys	0	M	7335
St Marys	1	F	18547
St Marys	1	M	18985
Auburn	0	F	35851
Auburn	0	M	38267
Auburn	1	F	9744
Auburn	1	M	11373
Carlingford	0	F	20857
Carlingford	0	M	19492
Carlingford	1	F	14780
Carlingford	1	M	15676
Merrylands - Guildford	0	F	48225
Merrylands - Guildford	0	M	48791
Merrylands - Guildford	1	F	25332
Merrylands - Guildford	1	M	26395
Parramatta	0	F	42805
Parramatta	0	M	43764
Parramatta	1	F	27798
Parramatta	1	M	28617
Pennant Hills - Epping	0	F	14790
Pennant Hills - Epping	0	M	12983
Pennant Hills - Epping	1	F	12748
Pennant Hills - Epping	1	M	12728
Ryde - Hunters Hill	0	F	36817
Ryde - Hunters Hill	0	M	32967
Ryde - Hunters Hill	1	F	35192
Ryde - Hunters Hill	1	M	35832
Bringelly - Green Valley	0	F	36064
Bringelly - Green Valley	0	M	34128
Bringelly - Green Valley	1	F	31897
Bringelly - Green Valley	1	M	32912
Fairfield	0	F	70508
Fairfield	0	M	65359
Fairfield	1	F	21946
Fairfield	1	M	24385
Liverpool	0	F	37023
Liverpool	0	M	35100
Liverpool	1	F	26668
Liverpool	1	M	27789
Cronulla - Miranda - Caringbah	0	F	9340
Cronulla - Miranda - Caringbah	0	M	7863
Cronulla - Miranda - Caringbah	1	F	48749
Cronulla - Miranda - Caringbah	1	M	47424
Sutherland - Menai - Heathcote	0	F	7764
Sutherland - Menai - Heathcote	0	M	6710
Sutherland - Menai - Heathcote	1	F	47521
Sutherland - Menai - Heathcote	1	M	46538
No usual address (NSW)	0	F	579
No usual address (NSW)	0	M	576
No usual address (NSW)	1	F	2889
No usual address (NSW)	1	M	3530
Ballarat	0	F	4096
Ballarat	0	M	3941
Ballarat	1	F	53291
Ballarat	1	M	49281
Creswick - Daylesford - Ballan	0	F	686
Creswick - Daylesford - Ballan	0	M	649
Creswick - Daylesford - Ballan	1	F	13716
Creswick - Daylesford - Ballan	1	M	13707
Maryborough - Pyrenees	0	F	372
Maryborough - Pyrenees	0	M	335
Maryborough - Pyrenees	1	F	11817
Maryborough - Pyrenees	1	M	11868
Bendigo	0	F	3853
Bendigo	0	M	3559
Bendigo	1	F	46934
Bendigo	1	M	43241
Heathcote - Castlemaine - Kyneton	0	F	997
Heathcote - Castlemaine - Kyneton	0	M	929
Heathcote - Castlemaine - Kyneton	1	F	23567
Heathcote - Castlemaine - Kyneton	1	M	23012
Loddon - Elmore	0	F	190
Loddon - Elmore	0	M	149
Loddon - Elmore	1	F	5262
Loddon - Elmore	1	M	5368
Barwon - West	0	F	346
Barwon - West	0	M	323
Barwon - West	1	F	10200
Barwon - West	1	M	10442
Geelong	0	F	14494
