SA3_NAME21	BornAust	Sex	persons
Queanbeyan	0	F	5902
Queanbeyan	0	M	5905
Queanbeyan	1	F	24622
Queanbeyan	1	M	25085
Snowy Mountains	0	F	1460
Snowy Mountains	0	M	1400
Snowy Mountains	1	F	7860
Snowy Mountains	1	M	8472
South Coast	0	F	5299
South Coast	0	M	4671
South Coast	1	F	30760
South Coast	1	M	29891
Goulburn - Mulwaree	0	F	1933
Goulburn - Mulwaree	0	M	2013
Goulburn - Mulwaree	1	F	15859
Goulburn - Mulwaree	1	M	15924
Young - Yass	0	F	1819
Young - Yass	0	M	1656
Young - Yass	1	F	16298
Young - Yass	1	M	15773
Gosford	0	F	17697
Gosford	0	M	16095
Gosford	1	F	70099
Gosford	1	M	66359
Wyong	0	F	11639
Wyong	0	M	10252
Wyong	1	F	70248
Wyong	1	M	67017
Bathurst	0	F	2421
Bathurst	0	M	2514
Bathurst	1	F	20514
Bathurst	1	M	20698
Lachlan Valley	0	F	1613
Lachlan Valley	0	M	1488
Lachlan Valley	1	F	23305
Lachlan Valley	1	M	23166
Lithgow - Mudgee	0	F	2206
Lithgow - Mudgee	0	M	2069
Lithgow - Mudgee	1	F	19680
Lithgow - Mudgee	1	M	20086
Orange	0	F	2944
Orange	0	M	2748
Orange	1	F	26368
Orange	1	M	25447
Clarence Valley	0	F	2345
Clarence Valley	0	M	2073
Clarence Valley	1	F	22562
Clarence Valley	1	M	22721
Coffs Harbour	0	F	7454
Coffs Harbour	0	M	6509
Coffs Harbour	1	F	37365
Coffs Harbour	1	M	35292
Bourke - Cobar - Coonamble	0	F	678
Bourke - Cobar - Coonamble	0	M	619
Bourke - Cobar - Coonamble	1	F	8153
Bourke - Cobar - Coonamble	1	M	8368
Broken Hill and Far West	0	F	544
Broken Hill and Far West	0	M	456
Broken Hill and Far West	1	F	8580
Broken Hill and Far West	1	M	8312
Dubbo	0	F	3083
Dubbo	0	M	3102
Dubbo	1	F	30550
Dubbo	1	M	29776
Lower Hunter	0	F	3630
