SA3_NAME21	CoupleFamily	HasChild	HasChildUnder15	MortgageRepayment.min	families_in_occupied_private_dwellings_being_purchased
Queanbeyan		1	1	0	5
Queanbeyan		1	1	7200	5
Queanbeyan		1	1	12000	3
Queanbeyan		1	1	14400	11
Queanbeyan		1	1	16800	4
Queanbeyan		1	1	19200	8
Queanbeyan		1	1	21600	3
Queanbeyan		1	1	24000	3
Queanbeyan		1	1	31200	3
Queanbeyan		1	1	36000	3
Queanbeyan		1	1	48000	3
Queanbeyan	0	1	0	0	16
Queanbeyan	0	1	0	1800	3
Queanbeyan	0	1	0	3600	13
Queanbeyan	0	1	0	5400	7
Queanbeyan	0	1	0	7200	15
Queanbeyan	0	1	0	9600	22
Queanbeyan	0	1	0	12000	31
Queanbeyan	0	1	0	14400	35
Queanbeyan	0	1	0	16800	33
Queanbeyan	0	1	0	19200	28
Queanbeyan	0	1	0	21600	23
Queanbeyan	0	1	0	24000	24
Queanbeyan	0	1	0	26400	18
Queanbeyan	0	1	0	28800	8
Queanbeyan	0	1	0	31200	20
Queanbeyan	0	1	0	36000	36
Queanbeyan	0	1	0	48000	8
Queanbeyan	0	1	0	60000	12
Queanbeyan	0	1	1	0	11
Queanbeyan	0	1	1	1800	3
Queanbeyan	0	1	1	3600	3
Queanbeyan	0	1	1	5400	3
Queanbeyan	0	1	1	7200	15
Queanbeyan	0	1	1	9600	16
Queanbeyan	0	1	1	12000	25
Queanbeyan	0	1	1	14400	23
Queanbeyan	0	1	1	16800	25
Queanbeyan	0	1	1	19200	50
Queanbeyan	0	1	1	21600	34
Queanbeyan	0	1	1	24000	60
Queanbeyan	0	1	1	26400	34
Queanbeyan	0	1	1	28800	17
Queanbeyan	0	1	1	31200	39
Queanbeyan	0	1	1	36000	42
Queanbeyan	0	1	1	48000	12
Queanbeyan	0	1	1	60000	9
Queanbeyan	1	0	0	0	98
Queanbeyan	1	0	0	1800	24
Queanbeyan	1	0	0	3600	42
Queanbeyan	1	0	0	5400	43
Queanbeyan	1	0	0	7200	48
Queanbeyan	1	0	0	9600	89
Queanbeyan	1	0	0	12000	135
Queanbeyan	1	0	0	14400	126
Queanbeyan	1	0	0	16800	123
Queanbeyan	1	0	0	19200	196
Queanbeyan	1	0	0	21600	176
Queanbeyan	1	0	0	24000	284
Queanbeyan	1	0	0	26400	152
Queanbeyan	1	0	0	28800	140
Queanbeyan	1	0	0	31200	290
Queanbeyan	1	0	0	36000	393
Queanbeyan	1	0	0	48000	136
Queanbeyan	1	0	0	60000	101
Queanbeyan	1	1	0	0	43
Queanbeyan	1	1	0	1800	16
Queanbeyan	1	1	0	3600	17
Queanbeyan	1	1	0	5400	27
Queanbeyan	1	1	0	7200	26
Queanbeyan	1	1	0	9600	43
Queanbeyan	1	1	0	12000	51
Queanbeyan	1	1	0	14400	62
Queanbeyan	1	1	0	16800	73
Queanbeyan	1	1	0	19200	83
Queanbeyan	1	1	0	21600	57
Queanbeyan	1	1	0	24000	122
Queanbeyan	1	1	0	26400	70
Queanbeyan	1	1	0	28800	57
Queanbeyan	1	1	0	31200	154
Queanbeyan	1	1	0	36000	237
Queanbeyan	1	1	0	48000	91
Queanbeyan	1	1	0	60000	74
Queanbeyan	1	1	1	0	48
Queanbeyan	1	1	1	1800	8
Queanbeyan	1	1	1	3600	18
Queanbeyan	1	1	1	5400	16
Queanbeyan	1	1	1	7200	52
Queanbeyan	1	1	1	9600	58
Queanbeyan	1	1	1	12000	70
Queanbeyan	1	1	1	14400	146
Queanbeyan	1	1	1	16800	186
Queanbeyan	1	1	1	19200	243
Queanbeyan	1	1	1	21600	244
Queanbeyan	1	1	1	24000	417
Queanbeyan	1	1	1	26400	287
Queanbeyan	1	1	1	28800	228
Queanbeyan	1	1	1	31200	564
Queanbeyan	1	1	1	36000	773
Queanbeyan	1	1	1	48000	216
Queanbeyan	1	1	1	60000	149
Snowy Mountains	0	1	0	0	7
Snowy Mountains	0	1	0	1800	5
Snowy Mountains	0	1	0	3600	3
Snowy Mountains	0	1	0	5400	3
Snowy Mountains	0	1	0	7200	7
Snowy Mountains	0	1	0	9600	11
Snowy Mountains	0	1	0	12000	19
Snowy Mountains	0	1	0	14400	14
Snowy Mountains	0	1	0	16800	11
Snowy Mountains	0	1	0	19200	6
Snowy Mountains	0	1	0	21600	6
Snowy Mountains	0	1	0	24000	7
Snowy Mountains	0	1	0	31200	4
Snowy Mountains	0	1	0	36000	4
Snowy Mountains	0	1	0	60000	4
Snowy Mountains	0	1	1	1800	4
Snowy Mountains	0	1	1	3600	3
Snowy Mountains	0	1	1	7200	10
