SA3_NAME16	medianTotalFamilyIncome
Queanbeyan	145132
Snowy Mountains	107484
South Coast	76232
Goulburn - Mulwaree	99580
Young - Yass	108004
Gosford	109356
Wyong	93912
Bathurst	104468
Lachlan Valley	83460
Lithgow - Mudgee	94588
Orange	110032
Clarence Valley	72748
Coffs Harbour	85852
Bourke - Cobar - Coonamble	89284
Broken Hill and Far West	82316
Dubbo	95940
Lower Hunter	100932
Maitland	109824
Port Stephens	85592
Upper Hunter	102440
Dapto - Port Kembla	98748
Illawarra Catchment Reserve	168948
Kiama - Shellharbour	105560
Wollongong	120588
Great Lakes	69004
Kempsey - Nambucca	69212
Lord Howe Island	100984
Port Macquarie	81952
Taree - Gloucester	70772
Albury	98644
Lower Murray	90740
Upper Murray exc. Albury	82732
Armidale	94120
Inverell - Tenterfield	70304
Moree - Narrabri	100984
Tamworth - Gunnedah	94536
Lake Macquarie - East	110344
Lake Macquarie - West	100360
Newcastle	116480
Richmond Valley - Coastal	96304
Richmond Valley - Hinterland	81692
Tweed Valley	86476
Griffith - Murrumbidgee (West)	98592
Tumut - Tumbarumba	87672
Wagga Wagga	100256
Shoalhaven	79820
Southern Highlands	108940
Baulkham Hills	154128
Dural - Wisemans Ferry	143624
Hawkesbury	123500
Rouse Hill - McGraths Hill	157924
Blacktown	108316
Blacktown - North	145184
Mount Druitt	94744
Botany	123916
Marrickville - Sydenham - Petersham	154128
Sydney Inner City	159380
Eastern Suburbs - North	209144
Eastern Suburbs - South	156468
Bankstown	95212
Canterbury	89492
Hurstville	111748
Kogarah - Rockdale	113724
Canada Bay	150748
Leichhardt	206648
Strathfield - Burwood - Ashfield	123292
Chatswood - Lane Cove	175396
Hornsby	138892
Ku-ring-gai	179192
North Sydney - Mosman	201864
Manly	223444
Pittwater	155220
Warringah	155532
Camden	131456
Campbelltown (NSW)	100412
Wollondilly	119392
Blue Mountains	116220
Blue Mountains - South	
Penrith	118144
Richmond - Windsor	110032
St Marys	102700
Auburn	94640
Carlingford	115596
Merrylands - Guildford	88140
Parramatta	120692
Pennant Hills - Epping	144716
Ryde - Hunters Hill	134680
Bringelly - Green Valley	112736
Fairfield	77688
Liverpool	104676
Cronulla - Miranda - Caringbah	141908
Sutherland - Menai - Heathcote	144716
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Ballarat	98020
Creswick - Daylesford - Ballan	97084
Maryborough - Pyrenees	72072
Bendigo	96564
Heathcote - Castlemaine - Kyneton	102284
Loddon - Elmore	78520
Barwon - West	114088
Geelong	106912
Surf Coast - Bellarine Peninsula	113152
Upper Goulburn Valley	90324
Wangaratta - Benalla	88764
Wodonga - Alpine	98488
Baw Baw	97552
Gippsland - East	73684
Gippsland - South West	80652
Latrobe Valley	87204
Wellington	86476
Brunswick - Coburg	139256
Darebin - South	155688
Essendon	148304
Melbourne City	123136
Port Phillip	158652
Stonnington - West	168064
Yarra	163124
Boroondara	165672
Manningham - West	110864
Whitehorse - West	118820
Bayside	174772
Glen Eira	145132
Kingston	132236
Stonnington - East	176436
Banyule	131092
Darebin - North	110292
Nillumbik - Kinglake	141284
Whittlesea - Wallan	103324
Keilor	123032
Macedon Ranges	128336
Moreland - North	112060
Sunbury	116324
Tullamarine - Broadmeadows	91884
Knox	114088
Manningham - East	148408
Maroondah	119912
Whitehorse - East	120848
Yarra Ranges	114556
Cardinia	109044
Casey - North	106964
Casey - South	106028
Dandenong	86840
Monash	114920
Brimbank	85904
Hobsons Bay	130000
Maribyrnong	129688
Melton - Bacchus Marsh	106964
Wyndham	110396
Frankston	109096
Mornington Peninsula	106808
Grampians	86684
Mildura	88400
Murray River - Swan Hill	82264
Campaspe	84864
Moira	78260
Shepparton	91416
Glenelg - Southern Grampians	85280
Colac - Corangamite	88400
Warrnambool	98800
Migratory - Offshore - Shipping (Vic.)	
No usual address (Vic.)	
Capalaba	115128
Cleveland - Stradbroke	109304
Wynnum - Manly	127920
Bald Hills - Everton Park	130624
Chermside	128908
Nundah	128076
Sandgate	111124
Carindale	145080
Holland Park - Yeronga	140348
Mt Gravatt	115752
Nathan	128804
Rocklea - Acacia Ridge	106496
Sunnybank	95212
Centenary	134576
Kenmore - Brookfield - Moggill	161876
Sherwood - Indooroopilly	142064
The Gap - Enoggera	141232
Brisbane Inner	131924
Brisbane Inner - East	168636
Brisbane Inner - North	154700
Brisbane Inner - West	174460
Cairns - North	111956
Cairns - South	95524
Innisfail - Cassowary Coast	75192
Port Douglas - Daintree	87776
Tablelands (East) - Kuranda	79456
Darling Downs (West) - Maranoa	93496
Darling Downs - East	83616
Granite Belt	73684
Central Highlands (Qld)	124384
Rockhampton	100204
Biloela	111176
Gladstone	106496
Broadbeach - Burleigh	113048
Coolangatta	107536
Gold Coast - North	89700
Gold Coast Hinterland	102700
Mudgeeraba - Tallebudgera	116584
Nerang	104364
Ormeau - Oxenford	109668
Robina	102492
Southport	91156
Surfers Paradise	99840
Forest Lake - Oxley	93496
Ipswich Hinterland	85332
Ipswich Inner	98592
Springfield - Redbank	105300
Beaudesert	76492
Beenleigh	87828
Browns Plains	90012
Jimboomba	111436
Loganlea - Carbrook	99684
Springwood - Kingston	86996
Bowen Basin - North	123188
Mackay	115180
Whitsunday	99112
Bribie - Beachmere	67288
Caboolture	85176
Caboolture Hinterland	89284
Narangba - Burpengary	100672
Redcliffe	92300
The Hills District	136552
North Lakes	107692
Strathpine	98332
Far North	74152
Outback - North	121056
Outback - South	94900
Buderim	107068
Caloundra	99216
Maroochy	99060
Noosa	99892
Sunshine Coast Hinterland	96512
Nambour	95836
Noosa Hinterland	90584
Toowoomba	98384
Charters Towers - Ayr - Ingham	86788
Townsville	108264
Bundaberg	74932
Burnett	67808
Gympie - Cooloola	70668
