SA3_NAME16	medianTotalFamilyIncome
Hervey Bay	69108
Maryborough	64636
Migratory - Offshore - Shipping (Qld)	143000
No usual address (Qld)	
Adelaide City	115440
Adelaide Hills	116688
Burnside	139672
Campbelltown (SA)	107276
Norwood - Payneham - St Peters	121576
Prospect - Walkerville	132236
Unley	140244
Gawler - Two Wells	98540
Playford	77272
Port Adelaide - East	99684
Salisbury	82732
Tea Tree Gully	105560
Holdfast Bay	122044
Marion	105872
Mitcham	130936
Onkaparinga	92716
Charles Sturt	107484
Port Adelaide - West	94380
West Torrens	110240
Barossa	97448
Lower North	76596
Mid North	74516
Yorke Peninsula	68016
Eyre Peninsula and South West	86944
Outback - North and East	89804
Fleurieu - Kangaroo Island	71188
Limestone Coast	90168
Murray and Mallee	74100
Migratory - Offshore - Shipping (SA)	
No usual address (SA)	
Augusta - Margaret River - Busselton	97084
Bunbury	102024
Manjimup	83876
Mandurah	86528
Cottesloe - Claremont	205140
Perth City	153140
Bayswater - Bassendean	116272
Mundaring	115388
Swan	110032
Joondalup	131508
Stirling	120276
Wanneroo	111644
Armadale	107172
Belmont - Victoria Park	117468
Canning	110500
Gosnells	100360
Kalamunda	115180
Serpentine - Jarrahdale	116532
South Perth	143572
Cockburn	121680
Fremantle	140088
Kwinana	103792
Melville	138008
Rockingham	108004
Albany	89596
Wheat Belt - North	91468
Wheat Belt - South	96616
Kimberley	101400
East Pilbara	164528
West Pilbara	178152
Esperance	104728
Gascoyne	103896
Goldfields	138476
Mid West	99216
Migratory - Offshore - Shipping (WA)	71500
No usual address (WA)	
Brighton	83824
Hobart - North East	103792
Hobart - North West	83668
Hobart - South and West	107744
Hobart Inner	120796
Sorell - Dodges Ferry	90064
Launceston	90324
Meander Valley - West Tamar	78884
North East	74152
Central Highlands (Tas.)	81224
Huon - Bruny Island	79092
South East Coast	64896
Burnie - Ulverstone	80080
Devonport	79196
West Coast	82004
Migratory - Offshore - Shipping (Tas.)	
No usual address (Tas.)	
Darwin City	137072
Darwin Suburbs	124852
Litchfield	138840
Palmerston	127660
Alice Springs	108628
Barkly	56368
Daly - Tiwi - West Arnhem	40144
East Arnhem	59436
Katherine	68432
Migratory - Offshore - Shipping (NT)	
No usual address (NT)	
Belconnen	136656
Canberra East	104520
Gungahlin	147108
North Canberra	165100
South Canberra	193752
Tuggeranong	140868
Weston Creek	156936
Woden Valley	161512
Molonglo	163956
Uriarra - Namadgi	157352
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	
Christmas Island	138268
Cocos (Keeling) Islands	87256
Jervis Bay	87724
Norfolk Island	84760
Migratory - Offshore - Shipping (OT)	
No usual address (OT)	
