SA3_NAME16	medianTotalPersonalIncome
Queanbeyan	60060
Snowy Mountains	42900
South Coast	32812
Goulburn - Mulwaree	38688
Young - Yass	41912
Gosford	39624
Wyong	35984
Bathurst	41236
Lachlan Valley	34476
Lithgow - Mudgee	34684
Orange	43212
Clarence Valley	30108
Coffs Harbour	35152
Bourke - Cobar - Coonamble	36764
Broken Hill and Far West	33280
Dubbo	40508
Lower Hunter	37804
Maitland	42224
Port Stephens	34164
Upper Hunter	39520
Dapto - Port Kembla	35048
Illawarra Catchment Reserve	90948
Kiama - Shellharbour	39000
Wollongong	41912
Great Lakes	29172
Kempsey - Nambucca	28028
Lord Howe Island	49972
Port Macquarie	33644
Taree - Gloucester	29536
Albury	40040
Lower Murray	37232
Upper Murray exc. Albury	34060
Armidale	37180
Inverell - Tenterfield	28808
Moree - Narrabri	41808
Tamworth - Gunnedah	38792
Lake Macquarie - East	40612
Lake Macquarie - West	37804
Newcastle	43836
Richmond Valley - Coastal	38532
Richmond Valley - Hinterland	33332
Tweed Valley	34216
Griffith - Murrumbidgee (West)	41288
Tumut - Tumbarumba	35672
Wagga Wagga	40612
Shoalhaven	32968
Southern Highlands	41288
Baulkham Hills	51064
Dural - Wisemans Ferry	47060
Hawkesbury	46228
Rouse Hill - McGraths Hill	57668
Blacktown	40248
Blacktown - North	55744
Mount Druitt	35360
Botany	49348
Marrickville - Sydenham - Petersham	60268
Sydney Inner City	64688
Eastern Suburbs - North	78884
Eastern Suburbs - South	58292
Bankstown	31980
Canterbury	32968
Hurstville	39676
Kogarah - Rockdale	43368
Canada Bay	58448
Leichhardt	77064
Strathfield - Burwood - Ashfield	46332
Chatswood - Lane Cove	65260
Hornsby	50076
Ku-ring-gai	58084
North Sydney - Mosman	81328
Manly	75400
Pittwater	54756
Warringah	55068
Camden	50024
Campbelltown (NSW)	38272
Wollondilly	44408
Blue Mountains	42484
Blue Mountains - South	46800
Penrith	46904
Richmond - Windsor	42536
St Marys	41028
Auburn	37544
Carlingford	41028
Merrylands - Guildford	30940
Parramatta	47476
Pennant Hills - Epping	51584
Ryde - Hunters Hill	50856
Bringelly - Green Valley	39832
Fairfield	25324
Liverpool	37700
Cronulla - Miranda - Caringbah	53404
Sutherland - Menai - Heathcote	52364
Migratory - Offshore - Shipping (NSW)	85748
No usual address (NSW)	
Ballarat	38740
Creswick - Daylesford - Ballan	36764
Maryborough - Pyrenees	28496
Bendigo	38688
Heathcote - Castlemaine - Kyneton	37908
Loddon - Elmore	31304
Barwon - West	42692
Geelong	39884
Surf Coast - Bellarine Peninsula	43316
Upper Goulburn Valley	36244
Wangaratta - Benalla	36660
Wodonga - Alpine	40508
Baw Baw	37752
Gippsland - East	31304
Gippsland - South West	33124
Latrobe Valley	34008
Wellington	34216
Brunswick - Coburg	53560
Darebin - South	57616
Essendon	55068
Melbourne City	49868
Port Phillip	67028
Stonnington - West	71292
Yarra	68744
Boroondara	55692
Manningham - West	38064
Whitehorse - West	39780
Bayside	57096
Glen Eira	52832
Kingston	48880
Stonnington - East	60164
Banyule	47580
Darebin - North	40352
Nillumbik - Kinglake	49400
Whittlesea - Wallan	38844
Keilor	42120
Macedon Ranges	46852
Moreland - North	41808
Sunbury	45240
Tullamarine - Broadmeadows	32604
Knox	41392
Manningham - East	45084
Maroondah	44252
Whitehorse - East	41704
Yarra Ranges	42068
Cardinia	43160
Casey - North	38896
Casey - South	41808
Dandenong	32968
Monash	38844
Brimbank	31408
Hobsons Bay	48360
Maribyrnong	50180
Melton - Bacchus Marsh	40768
Wyndham	43524
Frankston	41860
Mornington Peninsula	39572
Grampians	36348
Mildura	36088
Murray River - Swan Hill	34476
Campaspe	34736
Moira	32708
Shepparton	37024
Glenelg - Southern Grampians	34684
Colac - Corangamite	36348
Warrnambool	39572
Migratory - Offshore - Shipping (Vic.)	114400
No usual address (Vic.)	
Capalaba	43524
Cleveland - Stradbroke	39520
Wynnum - Manly	49348
Bald Hills - Everton Park	50700
Chermside	49868
Nundah	52260
Sandgate	42692
Carindale	54392
Holland Park - Yeronga	53508
Mt Gravatt	42276
Nathan	47008
Rocklea - Acacia Ridge	41444
Sunnybank	35880
Centenary	48880
Kenmore - Brookfield - Moggill	54340
Sherwood - Indooroopilly	45812
The Gap - Enoggera	53248
Brisbane Inner	53976
Brisbane Inner - East	64220
Brisbane Inner - North	60892
Brisbane Inner - West	59540
Cairns - North	45968
Cairns - South	40508
Innisfail - Cassowary Coast	32084
Port Douglas - Daintree	38428
Tablelands (East) - Kuranda	33280
Darling Downs (West) - Maranoa	40196
Darling Downs - East	34788
Granite Belt	30940
Central Highlands (Qld)	50908
Rockhampton	39572
Biloela	44512
Gladstone	39416
Broadbeach - Burleigh	45500
Coolangatta	41704
Gold Coast - North	36140
Gold Coast Hinterland	38324
Mudgeeraba - Tallebudgera	42016
Nerang	40196
Ormeau - Oxenford	43888
Robina	40352
Southport	35932
Surfers Paradise	41340
Forest Lake - Oxley	35932
Ipswich Hinterland	33696
Ipswich Inner	39832
Springfield - Redbank	43680
Beaudesert	31460
Beenleigh	37232
Browns Plains	38064
Jimboomba	43784
Loganlea - Carbrook	39156
Springwood - Kingston	34580
Bowen Basin - North	50752
Mackay	45032
Whitsunday	43784
Bribie - Beachmere	28340
Caboolture	35568
Caboolture Hinterland	36036
Narangba - Burpengary	38792
Redcliffe	35828
The Hills District	51428
North Lakes	45032
Strathpine	39832
Far North	31096
Outback - North	52260
Outback - South	43160
Buderim	40508
Caloundra	39156
Maroochy	40872
Noosa	40144
Sunshine Coast Hinterland	37492
Nambour	37284
Noosa Hinterland	35048
Toowoomba	39416
Charters Towers - Ayr - Ingham	34580
Townsville	44928
Bundaberg	31356
Burnett	27352
Gympie - Cooloola	28808
Hervey Bay	28964
Maryborough	25948
Migratory - Offshore - Shipping (Qld)	62192
No usual address (Qld)	
Adelaide City	40560
Adelaide Hills	44512
Burnside	50440
Campbelltown (SA)	39520
Norwood - Payneham - St Peters	45656
Prospect - Walkerville	50544
Unley	51116
Gawler - Two Wells	38376
Playford	32760
Port Adelaide - East	38480
Salisbury	33540
Tea Tree Gully	40508
Holdfast Bay	46228
Marion	40352
Mitcham	46332
Onkaparinga	36972
Charles Sturt	40612
Port Adelaide - West	36036
West Torrens	41756
Barossa	38376
Lower North	32344
Mid North	29900
Yorke Peninsula	28496
Eyre Peninsula and South West	36088
Outback - North and East	37908
Fleurieu - Kangaroo Island	30472
Limestone Coast	37752
Murray and Mallee	31980
Migratory - Offshore - Shipping (SA)	94224
No usual address (SA)	
Augusta - Margaret River - Busselton	39572
Bunbury	38740
Manjimup	34060
Mandurah	32760
Cottesloe - Claremont	58344
Perth City	60060
Bayswater - Bassendean	45136
Mundaring	41912
Swan	43888
Joondalup	47164
Stirling	47008
Wanneroo	42432
Armadale	42380
Belmont - Victoria Park	49296
Canning	39520
Gosnells	37804
Kalamunda	43420
Serpentine - Jarrahdale	47268
South Perth	52468
Cockburn	47788
Fremantle	51376
Kwinana	42224
Melville	47268
Rockingham	40872
Albany	36868
Wheat Belt - North	36868
Wheat Belt - South	40248
Kimberley	44928
East Pilbara	83408
West Pilbara	84136
Esperance	42484
Gascoyne	44304
Goldfields	60008
Mid West	39832
Migratory - Offshore - Shipping (WA)	110396
No usual address (WA)	
Brighton	36556
Hobart - North East	42744
Hobart - North West	35360
Hobart - South and West	42328
Hobart Inner	46072
Sorell - Dodges Ferry	37960
Launceston	36972
Meander Valley - West Tamar	31928
North East	30992
Central Highlands (Tas.)	33072
Huon - Bruny Island	32032
South East Coast	29484
Burnie - Ulverstone	32760
Devonport	33176
West Coast	33384
Migratory - Offshore - Shipping (Tas.)	116948
No usual address (Tas.)	
Darwin City	65520
Darwin Suburbs	53612
Litchfield	58084
Palmerston	59020
Alice Springs	47112
Barkly	25220
Daly - Tiwi - West Arnhem	15340
East Arnhem	18772
Katherine	29120
Migratory - Offshore - Shipping (NT)	76856
No usual address (NT)	
Belconnen	57304
Canberra East	46436
Gungahlin	62296
North Canberra	64532
South Canberra	83200
Tuggeranong	59280
Weston Creek	62920
Woden Valley	65780
Molonglo	75972
Uriarra - Namadgi	69680
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	
Christmas Island	64116
Cocos (Keeling) Islands	38532
Jervis Bay	30420
Norfolk Island	38272
Migratory - Offshore - Shipping (OT)	
No usual address (OT)	
