SA3_NAME16	medianTotalHouseholdIncome
Queanbeyan	119080
Snowy Mountains	81224
South Coast	61516
Goulburn - Mulwaree	75348
Young - Yass	82992
Gosford	83980
Wyong	73944
Bathurst	81536
Lachlan Valley	63284
Lithgow - Mudgee	69264
Orange	86580
Clarence Valley	58552
Coffs Harbour	69472
Bourke - Cobar - Coonamble	67028
Broken Hill and Far West	60632
Dubbo	76076
Lower Hunter	83408
Maitland	93184
Port Stephens	69576
Upper Hunter	79092
Dapto - Port Kembla	77688
Illawarra Catchment Reserve	168948
Kiama - Shellharbour	87828
Wollongong	93392
Great Lakes	52728
Kempsey - Nambucca	53924
Lord Howe Island	88348
Port Macquarie	65728
Taree - Gloucester	56784
Albury	74256
Lower Murray	70252
Upper Murray exc. Albury	62816
Armidale	71916
Inverell - Tenterfield	53040
Moree - Narrabri	79196
Tamworth - Gunnedah	73424
Lake Macquarie - East	86060
Lake Macquarie - West	81224
Newcastle	90480
Richmond Valley - Coastal	75972
Richmond Valley - Hinterland	63648
Tweed Valley	67392
Griffith - Murrumbidgee (West)	79820
Tumut - Tumbarumba	68016
Wagga Wagga	77272
Shoalhaven	64896
Southern Highlands	86996
Baulkham Hills	142064
Dural - Wisemans Ferry	132132
Hawkesbury	115960
Rouse Hill - McGraths Hill	154128
Blacktown	98124
Blacktown - North	141544
Mount Druitt	85124
Botany	107328
Marrickville - Sydenham - Petersham	118352
Sydney Inner City	115544
Eastern Suburbs - North	155168
Eastern Suburbs - South	119860
Bankstown	82940
Canterbury	79248
Hurstville	99112
Kogarah - Rockdale	99996
Canada Bay	123760
Leichhardt	151788
Strathfield - Burwood - Ashfield	106392
Chatswood - Lane Cove	137436
Hornsby	119340
Ku-ring-gai	157924
North Sydney - Mosman	136084
Manly	170144
Pittwater	130624
Warringah	128492
Camden	121368
Campbelltown (NSW)	88504
Wollondilly	108836
Blue Mountains	91312
Blue Mountains - South	46800
Penrith	102492
Richmond - Windsor	91884
St Marys	89648
Auburn	93496
Carlingford	103844
Merrylands - Guildford	78052
Parramatta	107120
Pennant Hills - Epping	126672
Ryde - Hunters Hill	111072
Bringelly - Green Valley	109460
Fairfield	73372
Liverpool	92040
Cronulla - Miranda - Caringbah	113776
Sutherland - Menai - Heathcote	124644
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Ballarat	74932
Creswick - Daylesford - Ballan	75608
