SA3_NAME16	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
Queanbeyan	15-19		F	85
Queanbeyan	15-19		M	99
Queanbeyan	15-19	0	F	1504
Queanbeyan	15-19	0	M	1670
Queanbeyan	15-19	1	F	85
Queanbeyan	15-19	1	M	72
Queanbeyan	20-24		F	97
Queanbeyan	20-24		M	92
Queanbeyan	20-24	0	F	1452
Queanbeyan	20-24	0	M	1618
Queanbeyan	20-24	1	F	119
Queanbeyan	20-24	1	M	87
Queanbeyan	25-34		F	294
Queanbeyan	25-34		M	329
Queanbeyan	25-34	0	F	4135
Queanbeyan	25-34	0	M	4097
Queanbeyan	25-34	1	F	422
Queanbeyan	25-34	1	M	232
Queanbeyan	35-44		F	245
Queanbeyan	35-44		M	257
Queanbeyan	35-44	0	F	3738
Queanbeyan	35-44	0	M	3826
Queanbeyan	35-44	1	F	653
Queanbeyan	35-44	1	M	489
Queanbeyan	45-54		F	203
Queanbeyan	45-54		M	231
Queanbeyan	45-54	0	F	3632
Queanbeyan	45-54	0	M	3834
Queanbeyan	45-54	1	F	900
Queanbeyan	45-54	1	M	607
Queanbeyan	55-64		F	215
Queanbeyan	55-64		M	287
Queanbeyan	55-64	0	F	2922
Queanbeyan	55-64	0	M	3321
Queanbeyan	55-64	1	F	883
Queanbeyan	55-64	1	M	650
Queanbeyan	65-74		F	151
Queanbeyan	65-74		M	176
Queanbeyan	65-74	0	F	2062
Queanbeyan	65-74	0	M	2260
Queanbeyan	65-74	1	F	458
Queanbeyan	65-74	1	M	342
Queanbeyan	75-84		F	100
Queanbeyan	75-84		M	64
Queanbeyan	75-84	0	F	1038
Queanbeyan	75-84	0	M	1020
Queanbeyan	75-84	1	F	199
Queanbeyan	75-84	1	M	127
Queanbeyan	85+		F	57
Queanbeyan	85+		M	37
Queanbeyan	85+	0	F	388
Queanbeyan	85+	0	M	242
Queanbeyan	85+	1	F	25
Queanbeyan	85+	1	M	40
Snowy Mountains	15-19		F	51
Snowy Mountains	15-19		M	47
Snowy Mountains	15-19	0	F	495
Snowy Mountains	15-19	0	M	513
Snowy Mountains	15-19	1	F	18
Snowy Mountains	15-19	1	M	28
Snowy Mountains	20-24		F	48
Snowy Mountains	20-24		M	58
Snowy Mountains	20-24	0	F	460
Snowy Mountains	20-24	0	M	503
Snowy Mountains	20-24	1	F	23
Snowy Mountains	20-24	1	M	23
Snowy Mountains	25-34		F	122
