SA3_NAME16	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	persons_in_families
Queanbeyan					465
Queanbeyan	0	0	0	1	1799
Queanbeyan	0	0	1	0	407
Queanbeyan	0	0	1	1	259
Queanbeyan	0	1	0	0	2501
Queanbeyan	0	1	0	1	282
Queanbeyan	0	1	1	0	466
Queanbeyan	0	1	1	1	124
Queanbeyan	1	0	0	1	4627
Queanbeyan	1	0	1	0	2160
Queanbeyan	1	0	1	1	1709
Queanbeyan	1	1	0	0	18295
Queanbeyan	1	1	0	1	973
Queanbeyan	1	1	1	0	3412
Queanbeyan	1	1	1	1	745
Snowy Mountains					102
Snowy Mountains	0	0	0	1	557
Snowy Mountains	0	0	1	0	162
Snowy Mountains	0	0	1	1	76
Snowy Mountains	0	1	0	0	713
Snowy Mountains	0	1	0	1	53
Snowy Mountains	0	1	1	0	141
Snowy Mountains	0	1	1	1	44
Snowy Mountains	1	0	0	1	1088
Snowy Mountains	1	0	1	0	467
Snowy Mountains	1	0	1	1	308
Snowy Mountains	1	1	0	0	4272
Snowy Mountains	1	1	0	1	247
Snowy Mountains	1	1	1	0	952
Snowy Mountains	1	1	1	1	162
South Coast					437
South Coast	0	0	0	1	2626
South Coast	0	0	1	0	481
South Coast	0	0	1	1	246
South Coast	0	1	0	0	3270
South Coast	0	1	0	1	446
South Coast	0	1	1	0	780
South Coast	0	1	1	1	238
South Coast	1	0	0	1	4240
South Coast	1	0	1	0	1249
South Coast	1	0	1	1	937
South Coast	1	1	0	0	12571
South Coast	1	1	0	1	1259
South Coast	1	1	1	0	2868
South Coast	1	1	1	1	545
Goulburn - Mulwaree					265
Goulburn - Mulwaree	0	0	0	1	1317
Goulburn - Mulwaree	0	0	1	0	263
Goulburn - Mulwaree	0	0	1	1	152
Goulburn - Mulwaree	0	1	0	0	1873
Goulburn - Mulwaree	0	1	0	1	324
Goulburn - Mulwaree	0	1	1	0	282
Goulburn - Mulwaree	0	1	1	1	111
Goulburn - Mulwaree	1	0	0	1	2550
Goulburn - Mulwaree	1	0	1	0	778
Goulburn - Mulwaree	1	0	1	1	612
Goulburn - Mulwaree	1	1	0	0	7956
Goulburn - Mulwaree	1	1	0	1	883
Goulburn - Mulwaree	1	1	1	0	1535
Goulburn - Mulwaree	1	1	1	1	508
Young - Yass					240
Young - Yass	0	0	0	1	1054
Young - Yass	0	0	1	0	261
Young - Yass	0	0	1	1	186
Young - Yass	0	1	0	0	1573
Young - Yass	0	1	0	1	197
Young - Yass	0	1	1	0	337
Young - Yass	0	1	1	1	118
Young - Yass	1	0	0	1	2582
Young - Yass	1	0	1	0	1095
Young - Yass	1	0	1	1	783
Young - Yass	1	1	0	0	9232
Young - Yass	1	1	0	1	660
Young - Yass	1	1	1	0	2090
Young - Yass	1	1	1	1	496
Gosford					1199
Gosford	0	0	0	1	7241
Gosford	0	0	1	0	1726
Gosford	0	0	1	1	1050
Gosford	0	1	0	0	7779
Gosford	0	1	0	1	910
Gosford	0	1	1	0	2014
Gosford	0	1	1	1	588
Gosford	1	0	0	1	12948
Gosford	1	0	1	0	5843
Gosford	1	0	1	1	4430
Gosford	1	1	0	0	41270
Gosford	1	1	0	1	2332
Gosford	1	1	1	0	9101
Gosford	1	1	1	1	1935
Wyong					1356
Wyong	0	0	0	1	8362
Wyong	0	0	1	0	1584
Wyong	0	0	1	1	1166
Wyong	0	1	0	0	10458
Wyong	0	1	0	1	1653
Wyong	0	1	1	0	2056
Wyong	0	1	1	1	674
Wyong	1	0	0	1	12255
Wyong	1	0	1	0	3869
Wyong	1	0	1	1	3739
Wyong	1	1	0	0	36177
Wyong	1	1	0	1	3399
Wyong	1	1	1	0	7596
Wyong	1	1	1	1	2056
Bathurst					365
Bathurst	0	0	0	1	1622
Bathurst	0	0	1	0	378
Bathurst	0	0	1	1	234
Bathurst	0	1	0	0	2623
Bathurst	0	1	0	1	367
Bathurst	0	1	1	0	622
Bathurst	0	1	1	1	165
Bathurst	1	0	0	1	2727
Bathurst	1	0	1	0	1233
Bathurst	1	0	1	1	948
Bathurst	1	1	0	0	10675
Bathurst	1	1	0	1	837
Bathurst	1	1	1	0	2353
Bathurst	1	1	1	1	605
Lachlan Valley					468
Lachlan Valley	0	0	0	1	1821
Lachlan Valley	0	0	1	0	345
Lachlan Valley	0	0	1	1	141
Lachlan Valley	0	1	0	0	3024
Lachlan Valley	0	1	0	1	480
Lachlan Valley	0	1	1	0	574
Lachlan Valley	0	1	1	1	185
Lachlan Valley	1	0	0	1	2943
Lachlan Valley	1	0	1	0	1057
Lachlan Valley	1	0	1	1	659
Lachlan Valley	1	1	0	0	11178
Lachlan Valley	1	1	0	1	922
Lachlan Valley	1	1	1	0	2500
Lachlan Valley	1	1	1	1	693
Lithgow - Mudgee					358
Lithgow - Mudgee	0	0	0	1	1778
Lithgow - Mudgee	0	0	1	0	272
Lithgow - Mudgee	0	0	1	1	162
