SA3_NAME16	HomeCensusNight	Sex	persons
Queanbeyan	0	F	1114
Queanbeyan	0	M	1286
Queanbeyan	1	F	31011
Queanbeyan	1	M	31376
Snowy Mountains	0	F	584
Snowy Mountains	0	M	602
Snowy Mountains	1	F	9469
Snowy Mountains	1	M	10072
South Coast	0	F	1996
South Coast	0	M	2184
South Coast	1	F	37102
South Coast	1	M	35450
Goulburn - Mulwaree	0	F	687
Goulburn - Mulwaree	0	M	805
Goulburn - Mulwaree	1	F	18383
Goulburn - Mulwaree	1	M	18532
Young - Yass	0	F	882
Young - Yass	0	M	913
Young - Yass	1	F	18487
Young - Yass	1	M	17874
Gosford	0	F	2600
Gosford	0	M	2718
Gosford	1	F	89458
Gosford	1	M	83655
Wyong	0	F	2317
Wyong	0	M	2673
Wyong	1	F	84248
Wyong	1	M	78934
Bathurst	0	F	960
Bathurst	0	M	1077
Bathurst	1	F	23414
Bathurst	1	M	23698
Lachlan Valley	0	F	1222
Lachlan Valley	0	M	1403
Lachlan Valley	1	F	26228
Lachlan Valley	1	M	25822
Lithgow - Mudgee	0	F	902
Lithgow - Mudgee	0	M	1113
Lithgow - Mudgee	1	F	22828
Lithgow - Mudgee	1	M	23027
Orange	0	F	1106
Orange	0	M	1428
Orange	1	F	30096
Orange	1	M	28632
Clarence Valley	0	F	1098
Clarence Valley	0	M	1378
Clarence Valley	1	F	25750
Clarence Valley	1	M	25442
Coffs Harbour	0	F	1892
Coffs Harbour	0	M	2103
Coffs Harbour	1	F	45900
Coffs Harbour	1	M	42572
Bourke - Cobar - Coonamble	0	F	611
Bourke - Cobar - Coonamble	0	M	714
Bourke - Cobar - Coonamble	1	F	10147
Bourke - Cobar - Coonamble	1	M	10136
Broken Hill and Far West	0	F	534
Broken Hill and Far West	0	M	585
Broken Hill and Far West	1	F	9592
Broken Hill and Far West	1	M	9169
Dubbo	0	F	1505
Dubbo	0	M	2170
Dubbo	1	F	35864
Dubbo	1	M	34546
Lower Hunter	0	F	1546
Lower Hunter	0	M	1825
Lower Hunter	1	F	46859
Lower Hunter	1	M	47700
Maitland	0	F	1281
Maitland	0	M	1574
Maitland	1	F	43342
Maitland	1	M	40821
Port Stephens	0	F	1614
Port Stephens	0	M	1837
Port Stephens	1	F	37096
Port Stephens	1	M	35865
Upper Hunter	0	F	480
Upper Hunter	0	M	608
Upper Hunter	1	F	14586
Upper Hunter	1	M	14909
Dapto - Port Kembla	0	F	950
Dapto - Port Kembla	0	M	1058
Dapto - Port Kembla	1	F	39616
Dapto - Port Kembla	1	M	38190
Illawarra Catchment Reserve	1	M	5
Kiama - Shellharbour	0	F	1550
Kiama - Shellharbour	0	M	1712
Kiama - Shellharbour	1	F	49270
Kiama - Shellharbour	1	M	46725
Wollongong	0	F	2260
Wollongong	0	M	2279
Wollongong	1	F	66121
Wollongong	1	M	64100
Great Lakes	0	F	792
Great Lakes	0	M	893
Great Lakes	1	F	16381
Great Lakes	1	M	15244
Kempsey - Nambucca	0	F	1070
Kempsey - Nambucca	0	M	1194
Kempsey - Nambucca	1	F	24694
Kempsey - Nambucca	1	M	24205
Lord Howe Island	0	F	36
Lord Howe Island	0	M	27
Lord Howe Island	1	F	194
Lord Howe Island	1	M	192
Port Macquarie	0	F	1794
Port Macquarie	0	M	1907
Port Macquarie	1	F	43397
Port Macquarie	1	M	39678
Taree - Gloucester	0	F	1207
