SA3_NAME16	PrivateDwelling	Sex	persons
Queanbeyan	0	F	1751
Queanbeyan	0	M	2021
Queanbeyan	1	F	30189
Queanbeyan	1	M	30508
Snowy Mountains	0	F	3353
Snowy Mountains	0	M	4273
Snowy Mountains	1	F	9246
Snowy Mountains	1	M	9536
South Coast	0	F	4093
South Coast	0	M	4173
South Coast	1	F	35450
South Coast	1	M	33956
Goulburn - Mulwaree	0	F	1786
Goulburn - Mulwaree	0	M	2497
Goulburn - Mulwaree	1	F	17468
Goulburn - Mulwaree	1	M	17127
Young - Yass	0	F	1390
Young - Yass	0	M	1654
Young - Yass	1	F	17880
Young - Yass	1	M	17225
Gosford	0	F	5459
Gosford	0	M	4701
Gosford	1	F	86686
Gosford	1	M	81470
Wyong	0	F	5156
Wyong	0	M	4536
Wyong	1	F	81203
Wyong	1	M	76532
Bathurst	0	F	2061
Bathurst	0	M	3255
Bathurst	1	F	22296
Bathurst	1	M	21707
Lachlan Valley	0	F	2853
Lachlan Valley	0	M	3173
Lachlan Valley	1	F	24623
Lachlan Valley	1	M	24383
Lithgow - Mudgee	0	F	2005
Lithgow - Mudgee	0	M	2751
Lithgow - Mudgee	1	F	21851
Lithgow - Mudgee	1	M	21713
Orange	0	F	2516
Orange	0	M	2630
Orange	1	F	28882
Orange	1	M	27581
Clarence Valley	0	F	2720
Clarence Valley	0	M	3615
Clarence Valley	1	F	24560
Clarence Valley	1	M	23589
Coffs Harbour	0	F	4145
Coffs Harbour	0	M	3897
Coffs Harbour	1	F	44257
Coffs Harbour	1	M	41209
Bourke - Cobar - Coonamble	0	F	2417
Bourke - Cobar - Coonamble	0	M	2846
Bourke - Cobar - Coonamble	1	F	8744
Bourke - Cobar - Coonamble	1	M	8879
Broken Hill and Far West	0	F	1398
Broken Hill and Far West	0	M	1454
Broken Hill and Far West	1	F	9025
Broken Hill and Far West	1	M	8640
Dubbo	0	F	4343
Dubbo	0	M	4830
Dubbo	1	F	33240
Dubbo	1	M	31733
Lower Hunter	0	F	2721
Lower Hunter	0	M	5010
Lower Hunter	1	F	45743
Lower Hunter	1	M	44615
Maitland	0	F	1779
Maitland	0	M	1640
Maitland	1	F	42756
Maitland	1	M	40333
Port Stephens	0	F	2272
Port Stephens	0	M	2264
Port Stephens	1	F	36198
Port Stephens	1	M	34976
Upper Hunter	0	F	1168
Upper Hunter	0	M	1752
Upper Hunter	1	F	13996
Upper Hunter	1	M	14037
Dapto - Port Kembla	0	F	1937
Dapto - Port Kembla	0	M	1706
Dapto - Port Kembla	1	F	38441
Dapto - Port Kembla	1	M	37319
Illawarra Catchment Reserve	1	M	5
Kiama - Shellharbour	0	F	2385
Kiama - Shellharbour	0	M	2314
Kiama - Shellharbour	1	F	48198
Kiama - Shellharbour	1	M	45791
Wollongong	0	F	4033
Wollongong	0	M	3765
Wollongong	1	F	64091
Wollongong	1	M	62188
Great Lakes	0	F	1783
Great Lakes	0	M	1614
Great Lakes	1	F	15715
Great Lakes	1	M	14744
Kempsey - Nambucca	0	F	2813
Kempsey - Nambucca	0	M	3378
Kempsey - Nambucca	1	F	23451
Kempsey - Nambucca	1	M	22455
Lord Howe Island	0	F	52
Lord Howe Island	0	M	53
Lord Howe Island	1	F	180
Lord Howe Island	1	M	176
Port Macquarie	0	F	3158
Port Macquarie	0	M	2904
Port Macquarie	1	F	42309
Port Macquarie	1	M	38960
Taree - Gloucester	0	F	2384
Taree - Gloucester	0	M	2364
Taree - Gloucester	1	F	27145
Taree - Gloucester	1	M	25673
Albury	0	F	2633
Albury	0	M	2487
Albury	1	F	31633
Albury	1	M	29898
Lower Murray	0	F	980
Lower Murray	0	M	1319
Lower Murray	1	F	5443
Lower Murray	1	M	5631
Upper Murray exc. Albury	0	F	2068
Upper Murray exc. Albury	0	M	2130
Upper Murray exc. Albury	1	F	19452
Upper Murray exc. Albury	1	M	18983
Armidale	0	F	2549
Armidale	0	M	2213
Armidale	1	F	16744
Armidale	1	M	15822
Inverell - Tenterfield	0	F	2284
Inverell - Tenterfield	0	M	2474
Inverell - Tenterfield	1	F	17406
Inverell - Tenterfield	1	M	16795
Moree - Narrabri	0	F	2321
Moree - Narrabri	0	M	2658
Moree - Narrabri	1	F	10249
Moree - Narrabri	1	M	10309
Tamworth - Gunnedah	0	F	3778
Tamworth - Gunnedah	0	M	4266
Tamworth - Gunnedah	1	F	39361
Tamworth - Gunnedah	1	M	37769
Lake Macquarie - East	0	F	2695
Lake Macquarie - East	0	M	2310
Lake Macquarie - East	1	F	61740
Lake Macquarie - East	1	M	58518
Lake Macquarie - West	0	F	2217
Lake Macquarie - West	0	M	1872
Lake Macquarie - West	1	F	40771
Lake Macquarie - West	1	M	38959
Newcastle	0	F	6072
Newcastle	0	M	5993
Newcastle	1	F	84440
Newcastle	1	M	81179
Richmond Valley - Coastal	0	F	4522
Richmond Valley - Coastal	0	M	4285
Richmond Valley - Coastal	1	F	41332
Richmond Valley - Coastal	1	M	38295
Richmond Valley - Hinterland	0	F	3525
Richmond Valley - Hinterland	0	M	3454
Richmond Valley - Hinterland	1	F	33282
Richmond Valley - Hinterland	1	M	32040
Tweed Valley	0	F	4525
Tweed Valley	0	M	4319
Tweed Valley	1	F	46420
Tweed Valley	1	M	42856
Griffith - Murrumbidgee (West)	0	F	2605
Griffith - Murrumbidgee (West)	0	M	2995
Griffith - Murrumbidgee (West)	1	F	22105
Griffith - Murrumbidgee (West)	1	M	22109
Tumut - Tumbarumba	0	F	702
Tumut - Tumbarumba	0	M	971
Tumut - Tumbarumba	1	F	6679
Tumut - Tumbarumba	1	M	6609
