SA3_NAME16	Age	ProvidedUnpaidChildcare	ForOwnChild	ForOtherChild	Sex	adults
Queanbeyan	15-19				F	90
Queanbeyan	15-19				M	105
Queanbeyan	15-19	0			F	1450
Queanbeyan	15-19	0			M	1663
Queanbeyan	15-19	1	0	1	F	127
Queanbeyan	15-19	1	0	1	M	62
Queanbeyan	15-19	1	1	0	F	7
Queanbeyan	15-19	1	1	0	M	5
Queanbeyan	20-24				F	97
Queanbeyan	20-24				M	87
Queanbeyan	20-24	0			F	1351
Queanbeyan	20-24	0			M	1600
Queanbeyan	20-24	1	0	1	F	109
Queanbeyan	20-24	1	0	1	M	46
Queanbeyan	20-24	1	1	0	F	104
Queanbeyan	20-24	1	1	0	M	57
Queanbeyan	20-24	1	1	1	F	6
Queanbeyan	20-24	1	1	1	M	5
Queanbeyan	25-34				F	278
Queanbeyan	25-34				M	317
Queanbeyan	25-34	0			F	2445
Queanbeyan	25-34	0			M	3032
Queanbeyan	25-34	1	0	1	F	186
Queanbeyan	25-34	1	0	1	M	105
Queanbeyan	25-34	1	1	0	F	1845
Queanbeyan	25-34	1	1	0	M	1178
Queanbeyan	25-34	1	1	1	F	84
Queanbeyan	25-34	1	1	1	M	26
Queanbeyan	35-44				F	232
Queanbeyan	35-44				M	249
Queanbeyan	35-44	0			F	1440
Queanbeyan	35-44	0			M	1756
Queanbeyan	35-44	1	0	1	F	126
Queanbeyan	35-44	1	0	1	M	78
Queanbeyan	35-44	1	1	0	F	2719
Queanbeyan	35-44	1	1	0	M	2430
Queanbeyan	35-44	1	1	1	F	121
Queanbeyan	35-44	1	1	1	M	58
Queanbeyan	45-54				F	200
Queanbeyan	45-54				M	225
Queanbeyan	45-54	0			F	2865
Queanbeyan	45-54	0			M	2819
Queanbeyan	45-54	1	0	1	F	302
Queanbeyan	45-54	1	0	1	M	134
Queanbeyan	45-54	1	1	0	F	1302
Queanbeyan	45-54	1	1	0	M	1459
Queanbeyan	45-54	1	1	1	F	72
Queanbeyan	45-54	1	1	1	M	40
Queanbeyan	55-64				F	215
Queanbeyan	55-64				M	276
Queanbeyan	55-64	0			F	2934
Queanbeyan	55-64	0			M	3370
Queanbeyan	55-64	1	0	1	F	766
Queanbeyan	55-64	1	0	1	M	349
Queanbeyan	55-64	1	1	0	F	97
Queanbeyan	55-64	1	1	0	M	252
Queanbeyan	55-64	1	1	1	F	7
Queanbeyan	55-64	1	1	1	M	7
Queanbeyan	65-74				F	152
Queanbeyan	65-74				M	167
Queanbeyan	65-74	0			F	1920
Queanbeyan	65-74	0			M	2209
Queanbeyan	65-74	1	0	1	F	569
Queanbeyan	65-74	1	0	1	M	359
Queanbeyan	65-74	1	1	0	F	18
Queanbeyan	65-74	1	1	0	M	43
Queanbeyan	65-74	1	1	1	F	3
Queanbeyan	65-74	1	1	1	M	3
Queanbeyan	75-84				F	98
Queanbeyan	75-84				M	75
Queanbeyan	75-84	0			F	1145
Queanbeyan	75-84	0			M	1057
Queanbeyan	75-84	1	0	1	F	92
Queanbeyan	75-84	1	0	1	M	73
Queanbeyan	75-84	1	1	0	F	5
Queanbeyan	75-84	1	1	0	M	8
Queanbeyan	75-84	1	1	1	M	4
Queanbeyan	85+				F	52
Queanbeyan	85+				M	31
Queanbeyan	85+	0			F	397
Queanbeyan	85+	0			M	288
Queanbeyan	85+	1	0	1	F	7
Snowy Mountains	15-19				F	51
Snowy Mountains	15-19				M	46
Snowy Mountains	15-19	0			F	475
Snowy Mountains	15-19	0			M	531
Snowy Mountains	15-19	1	0	1	F	32
Snowy Mountains	15-19	1	0	1	M	13
Snowy Mountains	15-19	1	1	0	F	5
Snowy Mountains	20-24				F	42
Snowy Mountains	20-24				M	60
Snowy Mountains	20-24	0			F	427
Snowy Mountains	20-24	0			M	502
Snowy Mountains	20-24	1	0	1	F	20
Snowy Mountains	20-24	1	0	1	M	15
Snowy Mountains	20-24	1	1	0	F	41
Snowy Mountains	20-24	1	1	0	M	10
Snowy Mountains	25-34				F	120
Snowy Mountains	25-34				M	202
Snowy Mountains	25-34	0			F	708
Snowy Mountains	25-34	0			M	929
Snowy Mountains	25-34	1	0	1	F	45
Snowy Mountains	25-34	1	0	1	M	41
Snowy Mountains	25-34	1	1	0	F	384
Snowy Mountains	25-34	1	1	0	M	257
Snowy Mountains	25-34	1	1	1	F	19
Snowy Mountains	35-44				F	83
Snowy Mountains	35-44				M	165
Snowy Mountains	35-44	0			F	341
Snowy Mountains	35-44	0			M	430
Snowy Mountains	35-44	1	0	1	F	37
Snowy Mountains	35-44	1	0	1	M	25
Snowy Mountains	35-44	1	1	0	F	666
Snowy Mountains	35-44	1	1	0	M	532
Snowy Mountains	35-44	1	1	1	F	36
Snowy Mountains	35-44	1	1	1	M	17
Snowy Mountains	45-54				F	97
Snowy Mountains	45-54				M	145
Snowy Mountains	45-54	0			F	806
Snowy Mountains	45-54	0			M	793
Snowy Mountains	45-54	1	0	1	F	80
Snowy Mountains	45-54	1	0	1	M	38
Snowy Mountains	45-54	1	1	0	F	424
Snowy Mountains	45-54	1	1	0	M	460
Snowy Mountains	45-54	1	1	1	F	11
Snowy Mountains	45-54	1	1	1	M	14
Snowy Mountains	55-64				F	99
Snowy Mountains	55-64				M	131
Snowy Mountains	55-64	0			F	1118
