SA3_NAME16	medianMortgageRepayment
Queanbeyan	26004
Snowy Mountains	16896
South Coast	18204
Goulburn - Mulwaree	20328
Young - Yass	20388
Gosford	25800
Wyong	22800
Bathurst	20796
Lachlan Valley	14400
Lithgow - Mudgee	19200
Orange	20400
Clarence Valley	16644
Coffs Harbour	20796
Bourke - Cobar - Coonamble	12000
Broken Hill and Far West	10404
Dubbo	17400
Lower Hunter	20796
Maitland	22344
Port Stephens	20796
Upper Hunter	18456
Dapto - Port Kembla	24000
Illawarra Catchment Reserve	19140
Kiama - Shellharbour	26004
Wollongong	26268
Great Lakes	18204
Kempsey - Nambucca	15960
Lord Howe Island	16800
Port Macquarie	20796
Taree - Gloucester	17160
Albury	17160
Lower Murray	14148
Upper Murray exc. Albury	15420
Armidale	16896
Inverell - Tenterfield	13200
Moree - Narrabri	15600
Tamworth - Gunnedah	18000
Lake Macquarie - East	24000
Lake Macquarie - West	22800
Newcastle	23544
Richmond Valley - Coastal	23760
Richmond Valley - Hinterland	17424
Tweed Valley	22464
Griffith - Murrumbidgee (West)	15600
Tumut - Tumbarumba	15600
Wagga Wagga	17160
Shoalhaven	20796
Southern Highlands	26004
Baulkham Hills	36000
Dural - Wisemans Ferry	36000
Hawkesbury	27696
Rouse Hill - McGraths Hill	36000
Blacktown	26004
Blacktown - North	32400
Mount Druitt	24000
Botany	31200
Marrickville - Sydenham - Petersham	33600
Sydney Inner City	32460
Eastern Suburbs - North	43200
Eastern Suburbs - South	36396
Bankstown	26880
Canterbury	26004
Hurstville	29592
Kogarah - Rockdale	28596
Canada Bay	36000
Leichhardt	42000
Strathfield - Burwood - Ashfield	29232
Chatswood - Lane Cove	36396
Hornsby	30000
Ku-ring-gai	42000
North Sydney - Mosman	37020
Manly	45600
Pittwater	38400
Warringah	36000
Camden	28596
Campbelltown (NSW)	25200
Wollondilly	27816
Blue Mountains	24396
Blue Mountains - South	
Penrith	26004
Richmond - Windsor	26004
St Marys	24000
Auburn	26004
Carlingford	31200
Merrylands - Guildford	26004
Parramatta	26004
Pennant Hills - Epping	33804
Ryde - Hunters Hill	31200
Bringelly - Green Valley	29700
Fairfield	24000
Liverpool	26004
Cronulla - Miranda - Caringbah	33288
Sutherland - Menai - Heathcote	31200
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Ballarat	17988
Creswick - Daylesford - Ballan	18456
Maryborough - Pyrenees	13524
Bendigo	16896
Heathcote - Castlemaine - Kyneton	19200
Loddon - Elmore	12996
Barwon - West	21600
Geelong	20544
Surf Coast - Bellarine Peninsula	23400
Upper Goulburn Valley	18000
Wangaratta - Benalla	15600
Wodonga - Alpine	17676
Baw Baw	19200
Gippsland - East	15600
Gippsland - South West	17400
Latrobe Valley	14556
Wellington	15600
Brunswick - Coburg	25788
Darebin - South	27600
Essendon	26400
Melbourne City	23544
Port Phillip	26040
Stonnington - West	27444
Yarra	27912
Boroondara	36000
Manningham - West	28800
Whitehorse - West	27600
Bayside	36000
Glen Eira	28752
Kingston	26004
Stonnington - East	33804
