SA3_NAME21	Age	UsualResidence	persons
Queanbeyan	0-14	Home	12405
Queanbeyan	0-14	Visitor from ACT	64
Queanbeyan	0-14	Visitor from NSW	133
Queanbeyan	0-14	Visitor from QLD	4
Queanbeyan	15-24	Home	6695
Queanbeyan	15-24	Visitor from ACT	95
Queanbeyan	15-24	Visitor from NSW	214
Queanbeyan	15-24	Visitor from QLD	3
Queanbeyan	15-24	Visitor from VIC	6
Queanbeyan	15-24	Visitor same SA2	6
Queanbeyan	25-34	Home	9120
Queanbeyan	25-34	Visitor from ACT	126
Queanbeyan	25-34	Visitor from NSW	190
Queanbeyan	25-34	Visitor from QLD	12
Queanbeyan	25-34	Visitor from SA	4
Queanbeyan	25-34	Visitor from VIC	16
Queanbeyan	25-34	Visitor same SA2	4
Queanbeyan	35-44	Home	8974
Queanbeyan	35-44	Visitor from ACT	69
Queanbeyan	35-44	Visitor from NSW	134
Queanbeyan	35-44	Visitor from QLD	4
Queanbeyan	35-44	Visitor from SA	3
Queanbeyan	35-44	Visitor from VIC	8
Queanbeyan	35-44	Visitor from WA	4
Queanbeyan	35-44	Visitor same SA2	3
Queanbeyan	45-54	Home	9089
Queanbeyan	45-54	Visitor from ACT	41
Queanbeyan	45-54	Visitor from NSW	182
Queanbeyan	45-54	Visitor from QLD	13
Queanbeyan	45-54	Visitor from SA	3
Queanbeyan	45-54	Visitor from TAS	4
Queanbeyan	45-54	Visitor from VIC	7
Queanbeyan	45-54	Visitor same SA2	8
Queanbeyan	55-64	Home	7864
Queanbeyan	55-64	Visitor from ACT	39
Queanbeyan	55-64	Visitor from NSW	219
Queanbeyan	55-64	Visitor from NT	4
Queanbeyan	55-64	Visitor from QLD	25
Queanbeyan	55-64	Visitor from SA	5
Queanbeyan	55-64	Visitor from TAS	9
Queanbeyan	55-64	Visitor from VIC	22
Queanbeyan	55-64	Visitor same SA2	14
Queanbeyan	65-74	Home	5105
Queanbeyan	65-74	Visitor from ACT	22
Queanbeyan	65-74	Visitor from NSW	150
Queanbeyan	65-74	Visitor from QLD	9
Queanbeyan	65-74	Visitor from SA	4
Queanbeyan	65-74	Visitor from TAS	6
Queanbeyan	65-74	Visitor from VIC	8
Queanbeyan	65-74	Visitor same SA2	18
Queanbeyan	75-84	Home	2415
Queanbeyan	75-84	Visitor from ACT	11
Queanbeyan	75-84	Visitor from NSW	72
Queanbeyan	75-84	Visitor from QLD	3
Queanbeyan	75-84	Visitor from TAS	3
Queanbeyan	75-84	Visitor same SA2	17
Queanbeyan	85+	Home	725
Queanbeyan	85+	Visitor from ACT	6
Queanbeyan	85+	Visitor from NSW	34
Queanbeyan	85+	Visitor same SA2	5
Snowy Mountains	0-14	Home	3268
Snowy Mountains	0-14	Visitor from ACT	112
Snowy Mountains	0-14	Visitor from NSW	700
Snowy Mountains	0-14	Visitor from QLD	14
Snowy Mountains	0-14	Visitor from TAS	3
Snowy Mountains	0-14	Visitor from VIC	14
Snowy Mountains	0-14	Visitor same SA2	4
Snowy Mountains	15-24	Home	2097
Snowy Mountains	15-24	Visitor from ACT	56
Snowy Mountains	15-24	Visitor from NSW	977
Snowy Mountains	15-24	Visitor from NT	13
Snowy Mountains	15-24	Visitor from QLD	176
Snowy Mountains	15-24	Visitor from SA	36
