SA3_NAME16	medianRent
Queanbeyan	18460
Snowy Mountains	15600
South Coast	16640
Goulburn - Mulwaree	16120
Young - Yass	14040
Gosford	20800
Wyong	20020
Bathurst	16380
Lachlan Valley	11440
Lithgow - Mudgee	15600
Orange	16380
Clarence Valley	16120
Coffs Harbour	19240
Bourke - Cobar - Coonamble	9360
Broken Hill and Far West	10660
Dubbo	14560
Lower Hunter	17680
Maitland	19500
Port Stephens	18720
Upper Hunter	15080
Dapto - Port Kembla	18980
Illawarra Catchment Reserve	14040
Kiama - Shellharbour	22360
Wollongong	20800
Great Lakes	17160
Kempsey - Nambucca	15600
Lord Howe Island	16120
Port Macquarie	19500
Taree - Gloucester	15600
Albury	13780
Lower Murray	10400
Upper Murray exc. Albury	12220
Armidale	14560
Inverell - Tenterfield	12480
Moree - Narrabri	11440
Tamworth - Gunnedah	15600
Lake Macquarie - East	19240
Lake Macquarie - West	19760
Newcastle	20800
Richmond Valley - Coastal	23400
Richmond Valley - Hinterland	15600
Tweed Valley	20800
Griffith - Murrumbidgee (West)	13000
Tumut - Tumbarumba	11960
Wagga Wagga	14560
Shoalhaven	18200
Southern Highlands	22360
Baulkham Hills	30160
Dural - Wisemans Ferry	27040
Hawkesbury	22360
Rouse Hill - McGraths Hill	31200
Blacktown	20800
Blacktown - North	28080
Mount Druitt	18200
Botany	28600
Marrickville - Sydenham - Petersham	25740
Sydney Inner City	28600
Eastern Suburbs - North	34840
Eastern Suburbs - South	28600
Bankstown	22100
Canterbury	20280
Hurstville	22880
Kogarah - Rockdale	24960
Canada Bay	29120
Leichhardt	31200
Strathfield - Burwood - Ashfield	24180
Chatswood - Lane Cove	29120
Hornsby	24960
Ku-ring-gai	32760
North Sydney - Mosman	30264
Manly	37440
Pittwater	36140
Warringah	30784
Camden	24960
Campbelltown (NSW)	19760
Wollondilly	21580
Blue Mountains	20800
Blue Mountains - South	7800
Penrith	20800
Richmond - Windsor	20800
St Marys	20280
Auburn	24440
Carlingford	23920
Merrylands - Guildford	20800
Parramatta	21840
Pennant Hills - Epping	26000
Ryde - Hunters Hill	23920
Bringelly - Green Valley	25480
Fairfield	20800
Liverpool	20800
Cronulla - Miranda - Caringbah	26000
Sutherland - Menai - Heathcote	25116
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Ballarat	15600
Creswick - Daylesford - Ballan	15600
