SA3_NAME16	Age	Sex	persons
Queanbeyan	0-4	F	2142
Queanbeyan	0-4	M	2175
Queanbeyan	5-14	F	3931
Queanbeyan	5-14	M	4391
Queanbeyan	15-19	F	1679
Queanbeyan	15-19	M	1837
Queanbeyan	20-24	F	1668
Queanbeyan	20-24	M	1794
Queanbeyan	25-34	F	4850
Queanbeyan	25-34	M	4653
Queanbeyan	35-44	F	4642
Queanbeyan	35-44	M	4566
Queanbeyan	45-54	F	4736
Queanbeyan	45-54	M	4679
Queanbeyan	55-64	F	4019
Queanbeyan	55-64	M	4251
Queanbeyan	65-74	F	2665
Queanbeyan	65-74	M	2779
Queanbeyan	75-84	F	1337
Queanbeyan	75-84	M	1215
Queanbeyan	85+	F	464
Queanbeyan	85+	M	320
Snowy Mountains	0-4	F	476
Snowy Mountains	0-4	M	465
Snowy Mountains	5-14	F	1106
Snowy Mountains	5-14	M	1310
Snowy Mountains	15-19	F	560
Snowy Mountains	15-19	M	593
Snowy Mountains	20-24	F	534
Snowy Mountains	20-24	M	591
Snowy Mountains	25-34	F	1279
Snowy Mountains	25-34	M	1423
Snowy Mountains	35-44	F	1162
Snowy Mountains	35-44	M	1163
Snowy Mountains	45-54	F	1427
Snowy Mountains	45-54	M	1455
Snowy Mountains	55-64	F	1474
Snowy Mountains	55-64	M	1560
Snowy Mountains	65-74	F	1113
Snowy Mountains	65-74	M	1252
Snowy Mountains	75-84	F	649
Snowy Mountains	75-84	M	661
Snowy Mountains	85+	F	274
Snowy Mountains	85+	M	203
South Coast	0-4	F	1538
South Coast	0-4	M	1631
South Coast	5-14	F	3830
South Coast	5-14	M	4074
South Coast	15-19	F	1715
South Coast	15-19	M	1949
South Coast	20-24	F	1245
South Coast	20-24	M	1387
South Coast	25-34	F	3188
South Coast	25-34	M	3029
South Coast	35-44	F	3624
South Coast	35-44	M	3284
South Coast	45-54	F	4776
South Coast	45-54	M	4353
South Coast	55-64	F	7055
South Coast	55-64	M	6264
South Coast	65-74	F	6970
South Coast	65-74	M	7108
South Coast	75-84	F	3621
South Coast	75-84	M	3490
South Coast	85+	F	1535
South Coast	85+	M	1051
Goulburn - Mulwaree	0-4	F	1038
Goulburn - Mulwaree	0-4	M	1127
Goulburn - Mulwaree	5-14	F	2218
Goulburn - Mulwaree	5-14	M	2389
Goulburn - Mulwaree	15-19	F	1003
Goulburn - Mulwaree	15-19	M	1118
Goulburn - Mulwaree	20-24	F	891
Goulburn - Mulwaree	20-24	M	1054
Goulburn - Mulwaree	25-34	F	2249
Goulburn - Mulwaree	25-34	M	2352
Goulburn - Mulwaree	35-44	F	2189
Goulburn - Mulwaree	35-44	M	2137
Goulburn - Mulwaree	45-54	F	2404
Goulburn - Mulwaree	45-54	M	2380
Goulburn - Mulwaree	55-64	F	2689
Goulburn - Mulwaree	55-64	M	2768
Goulburn - Mulwaree	65-74	F	2403
Goulburn - Mulwaree	65-74	M	2321
Goulburn - Mulwaree	75-84	F	1369
Goulburn - Mulwaree	75-84	M	1272
Goulburn - Mulwaree	85+	F	623
Goulburn - Mulwaree	85+	M	412
Young - Yass	0-4	F	1041
Young - Yass	0-4	M	1121
Young - Yass	5-14	F	2559
Young - Yass	5-14	M	2678
Young - Yass	15-19	F	1137
Young - Yass	15-19	M	1199
Young - Yass	20-24	F	868
Young - Yass	20-24	M	848
Young - Yass	25-34	F	1932
Young - Yass	25-34	M	1794
Young - Yass	35-44	F	2346
Young - Yass	35-44	M	2004
Young - Yass	45-54	F	2693
Young - Yass	45-54	M	2549
Young - Yass	55-64	F	2597
Young - Yass	55-64	M	2680
Young - Yass	65-74	F	2368
Young - Yass	65-74	M	2290
Young - Yass	75-84	F	1284
Young - Yass	75-84	M	1266
Young - Yass	85+	F	554
Young - Yass	85+	M	351
Gosford	0-4	F	4534
Gosford	0-4	M	4871
Gosford	5-14	F	10496
Gosford	5-14	M	11292
Gosford	15-19	F	4944
Gosford	15-19	M	5284
Gosford	20-24	F	4487
Gosford	20-24	M	4589
Gosford	25-34	F	9269
Gosford	25-34	M	9042
Gosford	35-44	F	11318
Gosford	35-44	M	10415
Gosford	45-54	F	11985
Gosford	45-54	M	11358
Gosford	55-64	F	12504
Gosford	55-64	M	11200
Gosford	65-74	F	11558
Gosford	65-74	M	9902
Gosford	75-84	F	7307
Gosford	75-84	M	6299
Gosford	85+	F	3646
Gosford	85+	M	2126
Wyong	0-4	F	4878
Wyong	0-4	M	5136
Wyong	5-14	F	10254
Wyong	5-14	M	10898
Wyong	15-19	F	4812
Wyong	15-19	M	5237
Wyong	20-24	F	4614
Wyong	20-24	M	4791
Wyong	25-34	F	10239
Wyong	25-34	M	9579
Wyong	35-44	F	10130
Wyong	35-44	M	9501
Wyong	45-54	F	10803
Wyong	45-54	M	10029
Wyong	55-64	F	11088
Wyong	55-64	M	10087
Wyong	65-74	F	10237
Wyong	65-74	M	8992
Wyong	75-84	F	6544
Wyong	75-84	M	5550
Wyong	85+	F	2972
Wyong	85+	M	1802
Bathurst	0-4	F	1329
Bathurst	0-4	M	1414
Bathurst	5-14	F	3117
Bathurst	5-14	M	3267
Bathurst	15-19	F	1509
Bathurst	15-19	M	1654
Bathurst	20-24	F	1468
Bathurst	20-24	M	1662
Bathurst	25-34	F	3005
Bathurst	25-34	M	3219
Bathurst	35-44	F	2766
Bathurst	35-44	M	2972
Bathurst	45-54	F	3118
Bathurst	45-54	M	3002
Bathurst	55-64	F	3100
Bathurst	55-64	M	3063
Bathurst	65-74	F	2681
Bathurst	65-74	M	2661
Bathurst	75-84	F	1524
Bathurst	75-84	M	1436
Bathurst	85+	F	742
Bathurst	85+	M	418
Lachlan Valley	0-4	F	1577
Lachlan Valley	0-4	M	1636
Lachlan Valley	5-14	F	3576
Lachlan Valley	5-14	M	3649
Lachlan Valley	15-19	F	1478
Lachlan Valley	15-19	M	1641
Lachlan Valley	20-24	F	1302
Lachlan Valley	20-24	M	1372
Lachlan Valley	25-34	F	2937
Lachlan Valley	25-34	M	2825
Lachlan Valley	35-44	F	2904
Lachlan Valley	35-44	M	2788
Lachlan Valley	45-54	F	3291
Lachlan Valley	45-54	M	3150
Lachlan Valley	55-64	F	3702
Lachlan Valley	55-64	M	3859
Lachlan Valley	65-74	F	3377
Lachlan Valley	65-74	M	3553
Lachlan Valley	75-84	F	2228
Lachlan Valley	75-84	M	2083
Lachlan Valley	85+	F	1076
Lachlan Valley	85+	M	677
Lithgow - Mudgee	0-4	F	1243
Lithgow - Mudgee	0-4	M	1303
Lithgow - Mudgee	5-14	F	2996
Lithgow - Mudgee	5-14	M	3193
Lithgow - Mudgee	15-19	F	1201
Lithgow - Mudgee	15-19	M	1412
Lithgow - Mudgee	20-24	F	986
Lithgow - Mudgee	20-24	M	1164
Lithgow - Mudgee	25-34	F	2663
Lithgow - Mudgee	25-34	M	2686
Lithgow - Mudgee	35-44	F	2613
Lithgow - Mudgee	35-44	M	2627
Lithgow - Mudgee	45-54	F	3080
Lithgow - Mudgee	45-54	M	3015
Lithgow - Mudgee	55-64	F	3421
Lithgow - Mudgee	55-64	M	3456
Lithgow - Mudgee	65-74	F	2947
Lithgow - Mudgee	65-74	M	3092
Lithgow - Mudgee	75-84	F	1842
Lithgow - Mudgee	75-84	M	1763
Lithgow - Mudgee	85+	F	741
Lithgow - Mudgee	85+	M	435
Orange	0-4	F	1892
Orange	0-4	M	2177
Orange	5-14	F	4340
Orange	5-14	M	4660
Orange	15-19	F	1824
Orange	15-19	M	1972
Orange	20-24	F	1595
Orange	20-24	M	1613
Orange	25-34	F	3976
Orange	25-34	M	3547
Orange	35-44	F	3898
Orange	35-44	M	3555
Orange	45-54	F	3869
Orange	45-54	M	3684
Orange	55-64	F	3783
Orange	55-64	M	3535
Orange	65-74	F	3261
Orange	65-74	M	3082
Orange	75-84	F	1919
Orange	75-84	M	1692
Orange	85+	F	856
Orange	85+	M	557
Clarence Valley	0-4	F	1276
Clarence Valley	0-4	M	1271
Clarence Valley	5-14	F	2877
