SA3_NAME16	Sex	persons
Queanbeyan	F	32122
Queanbeyan	M	32664
Snowy Mountains	F	10046
Snowy Mountains	M	10674
South Coast	F	39101
South Coast	M	37632
Goulburn - Mulwaree	F	19072
Goulburn - Mulwaree	M	19335
Young - Yass	F	19369
Young - Yass	M	18787
Gosford	F	92052
Gosford	M	86375
Wyong	F	86567
Wyong	M	81600
Bathurst	F	24370
Bathurst	M	24775
Lachlan Valley	F	27455
Lachlan Valley	M	27228
Lithgow - Mudgee	F	23731
Lithgow - Mudgee	M	24136
Orange	F	31205
Orange	M	30057
Clarence Valley	F	26846
Clarence Valley	M	26823
Coffs Harbour	F	47787
Coffs Harbour	M	44679
Bourke - Cobar - Coonamble	F	10754
Bourke - Cobar - Coonamble	M	10850
Broken Hill and Far West	F	10128
Broken Hill and Far West	M	9753
Dubbo	F	37368
Dubbo	M	36712
Lower Hunter	F	48403
Lower Hunter	M	49527
Maitland	F	44621
Maitland	M	42401
Port Stephens	F	38712
Port Stephens	M	37701
Upper Hunter	F	15073
Upper Hunter	M	15516
Dapto - Port Kembla	F	40573
Dapto - Port Kembla	M	39249
Illawarra Catchment Reserve	M	5
Kiama - Shellharbour	F	50814
Kiama - Shellharbour	M	48441
Wollongong	F	68383
Wollongong	M	66376
Great Lakes	F	17170
Great Lakes	M	16139
Kempsey - Nambucca	F	25762
Kempsey - Nambucca	M	25394
Lord Howe Island	F	232
Lord Howe Island	M	220
Port Macquarie	F	45192
Port Macquarie	M	41583
Taree - Gloucester	F	29349
Taree - Gloucester	M	27996
Albury	F	34406
Albury	M	32640
Lower Murray	F	6336
Lower Murray	M	6720
Upper Murray exc. Albury	F	21897
Upper Murray exc. Albury	M	21550
Armidale	F	19424
Armidale	M	18111
Inverell - Tenterfield	F	19633
Inverell - Tenterfield	M	19092
Moree - Narrabri	F	12304
Moree - Narrabri	M	12412
Tamworth - Gunnedah	F	42933
Tamworth - Gunnedah	M	41646
Lake Macquarie - East	F	64868
Lake Macquarie - East	M	61622
Lake Macquarie - West	F	43523
Lake Macquarie - West	M	41502
Newcastle	F	91097
Newcastle	M	87900
Richmond Valley - Coastal	F	45487
Richmond Valley - Coastal	M	42285
Richmond Valley - Hinterland	F	36554
Richmond Valley - Hinterland	M	35340
Tweed Valley	F	50586
Tweed Valley	M	46804
Griffith - Murrumbidgee (West)	F	24700
