SA3_NAME21	Age	persons
Queanbeyan	0-4	4318
Queanbeyan	5-14	8324
Queanbeyan	15-19	3517
Queanbeyan	20-24	3457
Queanbeyan	25-34	9502
Queanbeyan	35-44	9210
Queanbeyan	45-54	9411
Queanbeyan	55-64	8276
Queanbeyan	65-74	5446
Queanbeyan	75-84	2548
Queanbeyan	85+	784
Snowy Mountains	0-4	938
Snowy Mountains	5-14	2416
Snowy Mountains	15-19	1151
Snowy Mountains	20-24	1122
Snowy Mountains	25-34	2702
Snowy Mountains	35-44	2325
Snowy Mountains	45-54	2878
Snowy Mountains	55-64	3034
Snowy Mountains	65-74	2362
Snowy Mountains	75-84	1311
Snowy Mountains	85+	474
South Coast	0-4	3165
South Coast	5-14	7910
South Coast	15-19	3666
South Coast	20-24	2636
South Coast	25-34	6219
South Coast	35-44	6911
South Coast	45-54	9128
South Coast	55-64	13323
South Coast	65-74	14074
South Coast	75-84	7112
South Coast	85+	2586
Goulburn - Mulwaree	0-4	2167
Goulburn - Mulwaree	5-14	4605
Goulburn - Mulwaree	15-19	2119
Goulburn - Mulwaree	20-24	1944
Goulburn - Mulwaree	25-34	4603
Goulburn - Mulwaree	35-44	4324
Goulburn - Mulwaree	45-54	4786
Goulburn - Mulwaree	55-64	5458
Goulburn - Mulwaree	65-74	4723
Goulburn - Mulwaree	75-84	2637
Goulburn - Mulwaree	85+	1034
Young - Yass	0-4	2168
Young - Yass	5-14	5236
Young - Yass	15-19	2329
Young - Yass	20-24	1719
Young - Yass	25-34	3720
Young - Yass	35-44	4355
Young - Yass	45-54	5242
Young - Yass	55-64	5281
Young - Yass	65-74	4660
Young - Yass	75-84	2550
Young - Yass	85+	902
Gosford	0-4	9406
Gosford	5-14	21783
Gosford	15-19	10231
Gosford	20-24	9075
Gosford	25-34	18308
Gosford	35-44	21730
Gosford	45-54	23351
Gosford	55-64	23708
Gosford	65-74	21460
Gosford	75-84	13606
Gosford	85+	5769
Wyong	0-4	10014
Wyong	5-14	21148
Wyong	15-19	10045
Wyong	20-24	9408
Wyong	25-34	19816
Wyong	35-44	19628
Wyong	45-54	20839
Wyong	55-64	21178
Wyong	65-74	19226
