SA3_NAME21	Age5yr	Indigenous	Sex	persons
Queanbeyan	0-4		F	96
Queanbeyan	0-4		M	74
Queanbeyan	0-4	0	F	1922
Queanbeyan	0-4	0	M	1977
Queanbeyan	0-4	1	F	129
Queanbeyan	0-4	1	M	123
Queanbeyan	5-9		F	98
Queanbeyan	5-9		M	100
Queanbeyan	5-9	0	F	1770
Queanbeyan	5-9	0	M	2005
Queanbeyan	5-9	1	F	112
Queanbeyan	5-9	1	M	124
Queanbeyan	10-14		F	91
Queanbeyan	10-14		M	97
Queanbeyan	10-14	0	F	1759
Queanbeyan	10-14	0	M	1938
Queanbeyan	10-14	1	F	103
Queanbeyan	10-14	1	M	126
Queanbeyan	15-19		F	61
Queanbeyan	15-19		M	69
Queanbeyan	15-19	0	F	1503
Queanbeyan	15-19	0	M	1652
Queanbeyan	15-19	1	F	107
Queanbeyan	15-19	1	M	119
Queanbeyan	20-24		F	77
Queanbeyan	20-24		M	72
Queanbeyan	20-24	0	F	1496
Queanbeyan	20-24	0	M	1609
Queanbeyan	20-24	1	F	91
Queanbeyan	20-24	1	M	110
Queanbeyan	25-29		F	128
Queanbeyan	25-29		M	131
Queanbeyan	25-29	0	F	2037
Queanbeyan	25-29	0	M	1872
Queanbeyan	25-29	1	F	89
Queanbeyan	25-29	1	M	86
Queanbeyan	30-34		F	107
Queanbeyan	30-34		M	135
Queanbeyan	30-34	0	F	2396
Queanbeyan	30-34	0	M	2369
Queanbeyan	30-34	1	F	90
Queanbeyan	30-34	1	M	63
Queanbeyan	35-39		F	113
Queanbeyan	35-39		M	115
Queanbeyan	35-39	0	F	2240
Queanbeyan	35-39	0	M	2304
Queanbeyan	35-39	1	F	75
Queanbeyan	35-39	1	M	59
Queanbeyan	40-44		F	99
Queanbeyan	40-44		M	99
Queanbeyan	40-44	0	F	2050
Queanbeyan	40-44	0	M	1945
Queanbeyan	40-44	1	F	68
Queanbeyan	40-44	1	M	47
Queanbeyan	45-49		F	80
Queanbeyan	45-49		M	101
Queanbeyan	45-49	0	F	2111
Queanbeyan	45-49	0	M	2149
Queanbeyan	45-49	1	F	58
Queanbeyan	45-49	1	M	64
