SA3_NAME16	Age	MaxSchoolingCompleted	Sex	adults
Queanbeyan	15-19		F	70
Queanbeyan	15-19		M	76
Queanbeyan	15-19	Year 8 or below	F	8
Queanbeyan	15-19	Year 8 or below	M	10
Queanbeyan	15-19	Year 9	F	30
Queanbeyan	15-19	Year 9	M	39
Queanbeyan	15-19	Year 10	F	84
Queanbeyan	15-19	Year 10	M	164
Queanbeyan	15-19	Year 11	F	47
Queanbeyan	15-19	Year 11	M	69
Queanbeyan	15-19	Year 12	F	425
Queanbeyan	15-19	Year 12	M	402
Queanbeyan	20-24		F	85
Queanbeyan	20-24		M	78
Queanbeyan	20-24	Did not go to school	M	5
Queanbeyan	20-24	Year 8 or below	M	6
Queanbeyan	20-24	Year 9	F	10
Queanbeyan	20-24	Year 9	M	27
Queanbeyan	20-24	Year 10	F	115
Queanbeyan	20-24	Year 10	M	212
Queanbeyan	20-24	Year 11	F	71
Queanbeyan	20-24	Year 11	M	120
Queanbeyan	20-24	Year 12	F	1385
Queanbeyan	20-24	Year 12	M	1347
Queanbeyan	25-34		F	262
Queanbeyan	25-34		M	309
Queanbeyan	25-34	Did not go to school	F	6
Queanbeyan	25-34	Did not go to school	M	13
Queanbeyan	25-34	Year 8 or below	F	19
Queanbeyan	25-34	Year 8 or below	M	39
Queanbeyan	25-34	Year 9	F	52
Queanbeyan	25-34	Year 9	M	86
Queanbeyan	25-34	Year 10	F	415
Queanbeyan	25-34	Year 10	M	653
Queanbeyan	25-34	Year 11	F	189
Queanbeyan	25-34	Year 11	M	214
Queanbeyan	25-34	Year 12	F	3900
Queanbeyan	25-34	Year 12	M	3336
Queanbeyan	35-44		F	237
Queanbeyan	35-44		M	246
Queanbeyan	35-44	Did not go to school	F	10
Queanbeyan	35-44	Did not go to school	M	13
Queanbeyan	35-44	Year 8 or below	F	25
Queanbeyan	35-44	Year 8 or below	M	28
Queanbeyan	35-44	Year 9	F	51
Queanbeyan	35-44	Year 9	M	85
Queanbeyan	35-44	Year 10	F	394
Queanbeyan	35-44	Year 10	M	586
Queanbeyan	35-44	Year 11	F	222
Queanbeyan	35-44	Year 11	M	271
Queanbeyan	35-44	Year 12	F	3706
Queanbeyan	35-44	Year 12	M	3345
Queanbeyan	45-54		F	201
Queanbeyan	45-54		M	229
Queanbeyan	45-54	Did not go to school	F	6
Queanbeyan	45-54	Did not go to school	M	14
Queanbeyan	45-54	Year 8 or below	F	37
Queanbeyan	45-54	Year 8 or below	M	71
Queanbeyan	45-54	Year 9	F	89
Queanbeyan	45-54	Year 9	M	131
Queanbeyan	45-54	Year 10	F	867
Queanbeyan	45-54	Year 10	M	954
Queanbeyan	45-54	Year 11	F	253
Queanbeyan	45-54	Year 11	M	294
Queanbeyan	45-54	Year 12	F	3282
Queanbeyan	45-54	Year 12	M	2991
Queanbeyan	55-64		F	214
Queanbeyan	55-64		M	267
Queanbeyan	55-64	Did not go to school	F	14
Queanbeyan	55-64	Did not go to school	M	15
Queanbeyan	55-64	Year 8 or below	F	96
Queanbeyan	55-64	Year 8 or below	M	126
Queanbeyan	55-64	Year 9	F	161
