SA3_NAME21	Ancestry	FatherBornAus	MotherBornAus	responses
Queanbeyan				2981
Queanbeyan		0	0	217
Queanbeyan		0	1	24
Queanbeyan		1	0	37
Queanbeyan		1	1	268
Queanbeyan	Australian			153
Queanbeyan	Australian		1	19506
Queanbeyan	Australian	0	0	570
Queanbeyan	Australian	0	1	2527
Queanbeyan	Australian	1	0	1982
Queanbeyan	Australian Aboriginal			31
Queanbeyan	Australian Aboriginal	0	0	9
Queanbeyan	Australian Aboriginal	0	1	124
Queanbeyan	Australian Aboriginal	1	0	51
Queanbeyan	Australian Aboriginal	1	1	1966
Queanbeyan	Chinese			3
Queanbeyan	Chinese	0	0	571
Queanbeyan	Chinese	0	1	42
Queanbeyan	Chinese	1	0	65
Queanbeyan	Chinese	1	1	171
Queanbeyan	Croatian			6
Queanbeyan	Croatian	0	0	415
Queanbeyan	Croatian	0	1	90
Queanbeyan	Croatian	1	0	35
Queanbeyan	Croatian	1	1	233
Queanbeyan	Dutch			4
Queanbeyan	Dutch	0	0	402
Queanbeyan	Dutch	0	1	173
Queanbeyan	Dutch	1	0	115
Queanbeyan	Dutch	1	1	402
Queanbeyan	English			152
Queanbeyan	English	0	0	3530
Queanbeyan	English	0	1	2093
Queanbeyan	English	1	0	1667
Queanbeyan	English	1	1	15790
Queanbeyan	Filipino			4
Queanbeyan	Filipino	0	0	682
Queanbeyan	Filipino	0	1	15
Queanbeyan	Filipino	1	0	105
Queanbeyan	Filipino	1	1	13
Queanbeyan	French	0	0	150
Queanbeyan	French	0	1	45
Queanbeyan	French	1	0	34
Queanbeyan	French	1	1	148
Queanbeyan	German			20
Queanbeyan	German	0	0	690
Queanbeyan	German	0	1	284
Queanbeyan	German	1	0	222
Queanbeyan	German	1	1	1711
Queanbeyan	Greek			11
Queanbeyan	Greek	0	0	297
Queanbeyan	Greek	0	1	64
Queanbeyan	Greek	1	0	34
Queanbeyan	Greek	1	1	251
Queanbeyan	Hungarian			3
Queanbeyan	Hungarian	0	0	148
Queanbeyan	Hungarian	0	1	45
Queanbeyan	Hungarian	1	0	24
Queanbeyan	Hungarian	1	1	79
Queanbeyan	Indian	0	0	1270
Queanbeyan	Indian	0	1	25
Queanbeyan	Indian	1	0	32
Queanbeyan	Indian	1	1	25
Queanbeyan	Irish			40
Queanbeyan	Irish	0	0	744
Queanbeyan	Irish	0	1	490
Queanbeyan	Irish	1	0	400
Queanbeyan	Irish	1	1	6098
Queanbeyan	Italian			17
Queanbeyan	Italian	0	0	996
Queanbeyan	Italian	0	1	316
Queanbeyan	Italian	1	0	144
Queanbeyan	Italian	1	1	1269
Queanbeyan	Korean	0	0	73
Queanbeyan	Korean	0	1	7
Queanbeyan	Korean	1	0	9
Queanbeyan	Korean	1	1	6
Queanbeyan	Lebanese	0	0	73
Queanbeyan	Lebanese	0	1	20
Queanbeyan	Lebanese	1	0	14
Queanbeyan	Lebanese	1	1	72
Queanbeyan	Macedonian			14
Queanbeyan	Macedonian	0	0	911
Queanbeyan	Macedonian	0	1	148
Queanbeyan	Macedonian	1	0	71
Queanbeyan	Macedonian	1	1	193
Queanbeyan	Maltese	0	0	172
Queanbeyan	Maltese	0	1	63
Queanbeyan	Maltese	1	0	41
Queanbeyan	Maltese	1	1	210
Queanbeyan	Maori	0	0	203
Queanbeyan	Maori	0	1	89
Queanbeyan	Maori	1	0	53
Queanbeyan	Maori	1	1	42
Queanbeyan	NZ			7
Queanbeyan	NZ	0	0	188
Queanbeyan	NZ	0	1	120
Queanbeyan	NZ	1	0	84
Queanbeyan	NZ	1	1	48
Queanbeyan	(Other)			46
Queanbeyan	(Other)	0	0	4700
Queanbeyan	(Other)	0	1	684
Queanbeyan	(Other)	1	0	568
Queanbeyan	(Other)	1	1	1053
Queanbeyan	Polish			3
Queanbeyan	Polish	0	0	295
Queanbeyan	Polish	0	1	77
Queanbeyan	Polish	1	0	65
Queanbeyan	Polish	1	1	194
Queanbeyan	Russian	0	0	139
Queanbeyan	Russian	0	1	21
Queanbeyan	Russian	1	0	21
Queanbeyan	Russian	1	1	62
Queanbeyan	Samoan			3
Queanbeyan	Samoan	0	0	99
Queanbeyan	Samoan	0	1	38
Queanbeyan	Samoan	1	0	7
Queanbeyan	Samoan	1	1	11
Queanbeyan	Scottish			35
Queanbeyan	Scottish	0	0	969
Queanbeyan	Scottish	0	1	585
Queanbeyan	Scottish	1	0	426
Queanbeyan	Scottish	1	1	4745
Queanbeyan	Serbian			8
Queanbeyan	Serbian	0	0	361
Queanbeyan	Serbian	0	1	70
Queanbeyan	Serbian	1	0	37
Queanbeyan	Serbian	1	1	78
Queanbeyan	South African			5
