SED_NAME21	CoupleFamily	HasChild	IncomeFamily.max	families
Albury				6
Albury			7875	4
Albury			21000	4
Albury			26250	9
Albury			34125	12
Albury			42000	19
Albury			52500	40
Albury			65625	37
Albury			78750	28
Albury			91875	19
Albury			105000	15
Albury			131250	37
Albury			157500	16
Albury			183750	11
Albury			210000	3
Albury			Inf	5
Albury	0			315
Albury	0		0	43
Albury	0		7875	14
Albury	0		15750	51
Albury	0		21000	85
Albury	0		26250	186
Albury	0		34125	347
Albury	0		42000	390
Albury	0		52500	429
Albury	0		65625	485
Albury	0		78750	363
Albury	0		91875	265
Albury	0		105000	219
Albury	0		131250	343
Albury	0		157500	106
Albury	0		183750	51
Albury	0		210000	19
Albury	0		Inf	53
Albury	1	0		1474
Albury	1	0	0	170
Albury	1	0	7875	82
Albury	1	0	15750	57
Albury	1	0	21000	40
Albury	1	0	26250	252
Albury	1	0	34125	191
Albury	1	0	42000	1202
Albury	1	0	52500	910
Albury	1	0	65625	1120
Albury	1	0	78750	1505
Albury	1	0	91875	1152
Albury	1	0	105000	1264
Albury	1	0	131250	2695
Albury	1	0	157500	1972
Albury	1	0	183750	1489
Albury	1	0	210000	854
Albury	1	0	Inf	1643
Albury	1	1	7875	7
Albury	1	1	15750	14
Albury	1	1	21000	9
Albury	1	1	26250	17
Albury	1	1	34125	45
Albury	1	1	42000	97
Auburn				8
Auburn			0	23
Auburn			15750	10
Auburn			21000	12
Auburn			26250	22
Auburn			34125	15
Auburn			42000	32
Auburn			52500	52
Auburn			65625	59
Auburn			78750	124
Auburn			91875	78
Auburn			105000	56
Auburn			131250	94
Auburn			157500	78
Auburn			183750	33
Auburn			210000	21
Auburn			Inf	24
Auburn	0			303
Auburn	0		0	182
Auburn	0		7875	35
Auburn	0		15750	78
Auburn	0		21000	136
Auburn	0		26250	178
Auburn	0		34125	271
Auburn	0		42000	289
Auburn	0		52500	377
Auburn	0		65625	403
Auburn	0		78750	382
Auburn	0		91875	278
Auburn	0		105000	227
Auburn	0		131250	384
Auburn	0		157500	216
Auburn	0		183750	125
Auburn	0		210000	69
Auburn	0		Inf	142
Auburn	1	0		1449
Auburn	1	0	0	642
Auburn	1	0	7875	88
Auburn	1	0	15750	74
Auburn	1	0	21000	105
Auburn	1	0	26250	330
Auburn	1	0	34125	240
Auburn	1	0	42000	931
Auburn	1	0	52500	1286
Auburn	1	0	65625	1750
Auburn	1	0	78750	2064
Auburn	1	0	91875	1519
Auburn	1	0	105000	1521
Auburn	1	0	131250	3152
Auburn	1	0	157500	2050
Auburn	1	0	183750	1569
Auburn	1	0	210000	1039
Auburn	1	0	Inf	2665
Auburn	1	1	7875	30
Auburn	1	1	15750	69
Auburn	1	1	21000	63
Auburn	1	1	26250	199
Auburn	1	1	34125	248
Auburn	1	1	42000	549
Ballina			0	4
Ballina			21000	3
Ballina			26250	3
Ballina			34125	4
Ballina			42000	17
Ballina			52500	32
Ballina			65625	39
Ballina			78750	31
Ballina			91875	19
Ballina			105000	18
Ballina			131250	32
Ballina			157500	12
Ballina			183750	14
Ballina			Inf	10
Ballina	0			381
Ballina	0		0	47
Ballina	0		7875	19
Ballina	0		15750	36
Ballina	0		21000	70
Ballina	0		26250	142
Ballina	0		34125	271
Ballina	0		42000	324
Ballina	0		52500	443
Ballina	0		65625	469
Ballina	0		78750	386
Ballina	0		91875	291
Ballina	0		105000	225
Ballina	0		131250	318
Ballina	0		157500	114
Ballina	0		183750	66
Ballina	0		210000	27
Ballina	0		Inf	92
Ballina	1	0		1290
Ballina	1	0	0	146
Ballina	1	0	7875	75
Ballina	1	0	15750	52
Ballina	1	0	21000	46
Ballina	1	0	26250	228
Ballina	1	0	34125	148
Ballina	1	0	42000	989
Ballina	1	0	52500	903
Ballina	1	0	65625	1142
Ballina	1	0	78750	1472
Ballina	1	0	91875	1039
Ballina	1	0	105000	1178
Ballina	1	0	131250	2429
Ballina	1	0	157500	1713
Ballina	1	0	183750	1317
Ballina	1	0	210000	775
Ballina	1	0	Inf	2222
Ballina	1	1	7875	3
Ballina	1	1	15750	14
Ballina	1	1	21000	13
Ballina	1	1	26250	17
