SED_NAME16	AgeStudent	students
Albury	0-4	1469
Albury	5-14	9752
Albury	15-19	3557
Albury	20-24	1344
Albury	25+	2827
Auburn	0-4	1764
Auburn	5-14	11206
Auburn	15-19	4350
Auburn	20-24	5646
Auburn	25+	8086
Ballina	0-4	1185
Ballina	5-14	8550
Ballina	15-19	2952
Ballina	20-24	934
Ballina	25+	3322
Balmain	0-4	1410
Balmain	5-14	7669
Balmain	15-19	2863
Balmain	20-24	3218
Balmain	25+	5624
Bankstown	0-4	1700
Bankstown	5-14	11718
Bankstown	15-19	4873
Bankstown	20-24	2974
Bankstown	25+	4044
Barwon	0-4	1186
Barwon	5-14	8015
Barwon	15-19	2316
Barwon	20-24	577
Barwon	25+	1785
Bathurst	0-4	1302
Bathurst	5-14	9410
Bathurst	15-19	3429
Bathurst	20-24	1321
Bathurst	25+	2505
Baulkham Hills	0-4	1742
Baulkham Hills	5-14	12646
Baulkham Hills	15-19	4842
Baulkham Hills	20-24	2908
Baulkham Hills	25+	3308
Bega	0-4	900
Bega	5-14	7142
Bega	15-19	2473
Bega	20-24	547
Bega	25+	1918
Blacktown	0-4	1587
Blacktown	5-14	10710
Blacktown	15-19	3991
Blacktown	20-24	3094
Blacktown	25+	4814
Blue Mountains	0-4	1211
Blue Mountains	5-14	8548
Blue Mountains	15-19	3427
Blue Mountains	20-24	1302
Blue Mountains	25+	3134
Cabramatta	0-4	997
Cabramatta	5-14	9461
Cabramatta	15-19	4765
Cabramatta	20-24	2787
Cabramatta	25+	2972
Camden	0-4	3454
Camden	5-14	19564
Camden	15-19	6523
Camden	20-24	2704
Camden	25+	4331
Campbelltown	0-4	1505
Campbelltown	5-14	10684
Campbelltown	15-19	3826
Campbelltown	20-24	1761
Campbelltown	25+	2919
Canterbury	0-4	1464
Canterbury	5-14	9186
Canterbury	15-19	4065
Canterbury	20-24	3140
Canterbury	25+	4910
Castle Hill	0-4	2193
Castle Hill	5-14	15990
Castle Hill	15-19	6703
Castle Hill	20-24	3286
Castle Hill	25+	3815
Cessnock	0-4	1840
Cessnock	5-14	11347
Cessnock	15-19	3480
Cessnock	20-24	1274
Cessnock	25+	2757
Charlestown	0-4	1535
Charlestown	5-14	9726
Charlestown	15-19	3485
Charlestown	20-24	1763
Charlestown	25+	2824
Clarence	0-4	1103
Clarence	5-14	8256
Clarence	15-19	2580
Clarence	20-24	655
Clarence	25+	1948
Coffs Harbour	0-4	1280
Coffs Harbour	5-14	9194
Coffs Harbour	15-19	3133
Coffs Harbour	20-24	1031
Coffs Harbour	25+	2887
Coogee	0-4	1408
Coogee	5-14	8083
Coogee	15-19	3014
Coogee	20-24	2230
Coogee	25+	4878
Cootamundra	0-4	1152
Cootamundra	5-14	8288
Cootamundra	15-19	2717
Cootamundra	20-24	656
Cootamundra	25+	1592
Cronulla	0-4	1541
Cronulla	5-14	9343
Cronulla	15-19	4213
Cronulla	20-24	1948
Cronulla	25+	2434
Davidson	0-4	1503
Davidson	5-14	12456
Davidson	15-19	5541
Davidson	20-24	2746
Davidson	25+	2661
Drummoyne	0-4	1427
Drummoyne	5-14	8282
Drummoyne	15-19	3475
Drummoyne	20-24	2233
Drummoyne	25+	3841
Dubbo	0-4	1625
Dubbo	5-14	10383
Dubbo	15-19	3018
Dubbo	20-24	886
Dubbo	25+	2528
East Hills	0-4	1562
East Hills	5-14	10517
East Hills	15-19	4519
East Hills	20-24	2325
East Hills	25+	2757
Epping	0-4	1465
Epping	5-14	12259
Epping	15-19	5236
Epping	20-24	3185
Epping	25+	3962
Fairfield	0-4	1192
Fairfield	5-14	11086
Fairfield	15-19	5098
Fairfield	20-24	2782
Fairfield	25+	3953
Gosford	0-4	1326
Gosford	5-14	8126
Gosford	15-19	2924
Gosford	20-24	1363
Gosford	25+	2965
Goulburn	0-4	1311
Goulburn	5-14	9450
Goulburn	15-19	3399
Goulburn	20-24	1069
Goulburn	25+	2599
Granville	0-4	1829
Granville	5-14	11911
Granville	15-19	4390
Granville	20-24	3944
Granville	25+	5594
Hawkesbury	0-4	1438
Hawkesbury	5-14	9765
Hawkesbury	15-19	3902
Hawkesbury	20-24	1605
Hawkesbury	25+	2291
Heathcote	0-4	1722
Heathcote	5-14	10047
Heathcote	15-19	4096
Heathcote	20-24	1841
