SED_NAME16	CountryOfBirth	persons
Albury		7123
Albury	AFG	3
Albury	AUS	70199
Albury	BGD	71
Albury	BIH	12
Albury	BRA	10
Albury	CAN	84
Albury	CHL	27
Albury	CHN	189
Albury	DEU	363
Albury	EGY	18
Albury	FJI	62
Albury	FRA	32
Albury	GBR	1999
Albury	GRC	57
Albury	HKG	42
Albury	HRV	58
Albury	IDN	52
Albury	IND	1128
Albury	IRL	86
Albury	IRN	29
Albury	IRQ	10
Albury	ITA	126
Albury	JPN	29
Albury	KHM	10
Albury	KOR	60
Albury	LBN	27
Albury	LKA	95
Albury	MKD	10
Albury	MLT	28
Albury	MMR	10
Albury	MUS	21
Albury	MYS	70
Albury	NLD	276
Albury	NPL	352
Albury	NZL	840
Albury	PAK	81
Albury	PHL	525
Albury	PNG	41
Albury	POL	45
Albury	SGP	37
Albury	THA	126
Albury	TUR	3
Albury	TWN	24
Albury	USA	158
Albury	VNM	102
Albury	WSM	12
Albury	ZAF	200
Albury	ZWE	40
Auburn		12454
Auburn	AFG	2407
Auburn	AUS	40742
Auburn	BGD	578
Auburn	BIH	174
Auburn	BRA	194
Auburn	CAN	69
Auburn	CHL	136
Auburn	CHN	15210
Auburn	DEU	155
Auburn	EGY	393
Auburn	FJI	466
Auburn	FRA	66
Auburn	GBR	722
Auburn	GRC	181
Auburn	HKG	1254
Auburn	HRV	319
Auburn	IDN	710
Auburn	IND	3962
Auburn	IRL	125
Auburn	IRN	873
Auburn	IRQ	1040
Auburn	ITA	415
Auburn	JPN	183
Auburn	KHM	213
Auburn	KOR	6793
Auburn	LBN	3802
Auburn	LKA	1341
Auburn	MKD	67
Auburn	MLT	76
Auburn	MMR	499
Auburn	MUS	69
Auburn	MYS	1207
Auburn	NLD	41
Auburn	NPL	6806
Auburn	NZL	979
Auburn	PAK	2560
Auburn	PHL	2144
Auburn	PNG	20
Auburn	POL	136
Auburn	SGP	245
Auburn	THA	531
Auburn	TUR	2553
Auburn	TWN	700
Auburn	USA	192
Auburn	VNM	3590
Auburn	WSM	94
Auburn	ZAF	257
Auburn	ZWE	77
Ballina		8367
Ballina	AFG	4
Ballina	AUS	62152
Ballina	BGD	6
Ballina	BIH	3
Ballina	BRA	377
Ballina	CAN	383
Ballina	CHL	125
Ballina	CHN	90
Ballina	DEU	647
Ballina	EGY	27
Ballina	FJI	61
Ballina	FRA	361
Ballina	GBR	4026
Ballina	GRC	27
Ballina	HKG	52
Ballina	HRV	25
Ballina	IDN	103
Ballina	IND	275
Ballina	IRL	190
Ballina	IRN	39
Ballina	IRQ	5
Ballina	ITA	342
Ballina	JPN	286
Ballina	KHM	18
Ballina	KOR	46
Ballina	LBN	17
Ballina	LKA	49
Ballina	MKD	6
Ballina	MLT	37
Ballina	MMR	5
Ballina	MUS	11
Ballina	MYS	105
Ballina	NLD	325
Ballina	NPL	49
Ballina	NZL	1625
Ballina	PAK	17
Ballina	PHL	258
Ballina	PNG	115
Ballina	POL	58
Ballina	SGP	69
Ballina	THA	223
Ballina	TUR	18
Ballina	TWN	25
Ballina	USA	716
Ballina	VNM	72
Ballina	WSM	9
Ballina	ZAF	487
Ballina	ZWE	77
Balmain		7636
Balmain	AFG	13
Balmain	AUS	51020
Balmain	BGD	64
Balmain	BIH	53
Balmain	BRA	345
Balmain	CAN	436
Balmain	CHL	167
Balmain	CHN	2866
Balmain	DEU	510
Balmain	EGY	113
Balmain	FJI	163
Balmain	FRA	379
Balmain	GBR	5639
Balmain	GRC	293
Balmain	HKG	543
Balmain	HRV	107
Balmain	IDN	480
Balmain	IND	957
Balmain	IRL	733
Balmain	IRN	275
Balmain	IRQ	39
Balmain	ITA	962
Balmain	JPN	361
Balmain	KHM	62
Balmain	KOR	391
Balmain	LBN	146
Balmain	LKA	201
Balmain	MKD	65
Balmain	MLT	106
Balmain	MMR	72
Balmain	MUS	44
Balmain	MYS	624
Balmain	NLD	210
Balmain	NPL	93
Balmain	NZL	2108
Balmain	PAK	71
Balmain	PHL	628
Balmain	PNG	73
Balmain	POL	200
Balmain	SGP	346
Balmain	THA	794
Balmain	TUR	202
Balmain	TWN	262
Balmain	USA	1040
Balmain	VNM	687
Balmain	WSM	14
Balmain	ZAF	612
Balmain	ZWE	82
Bankstown		12726
Bankstown	AFG	589
Bankstown	AUS	43204
Bankstown	BGD	1283
Bankstown	BIH	140
Bankstown	BRA	114
Bankstown	CAN	24
Bankstown	CHL	138
Bankstown	CHN	3453
Bankstown	DEU	181
Bankstown	EGY	694
Bankstown	FJI	562
Bankstown	FRA	39
Bankstown	GBR	439
Bankstown	GRC	722
Bankstown	HKG	322
Bankstown	HRV	171
Bankstown	IDN	647
Bankstown	IND	1026
Bankstown	IRL	68
Bankstown	IRN	287
Bankstown	IRQ	1006
Bankstown	ITA	547
Bankstown	JPN	70
Bankstown	KHM	262
Bankstown	KOR	539
Bankstown	LBN	6647
Bankstown	LKA	170
Bankstown	MKD	871
Bankstown	MLT	99
Bankstown	MMR	170
Bankstown	MUS	132
Bankstown	MYS	534
Bankstown	NLD	43
Bankstown	NPL	355
Bankstown	NZL	1016
Bankstown	PAK	1743
Bankstown	PHL	983
Bankstown	PNG	17
Bankstown	POL	193
Bankstown	SGP	83
Bankstown	THA	261
Bankstown	TUR	284
Bankstown	TWN	137
Bankstown	USA	106
Bankstown	VNM	11183
Bankstown	WSM	243
Bankstown	ZAF	85
Bankstown	ZWE	49
Barwon		10309
Barwon	AUS	60197
Barwon	BGD	17
Barwon	BIH	8
Barwon	BRA	3
Barwon	CAN	44
Barwon	CHL	3
Barwon	CHN	99
Barwon	DEU	164
Barwon	EGY	14
Barwon	FJI	50
Barwon	FRA	20
Barwon	GBR	735
Barwon	GRC	20
Barwon	HKG	10
Barwon	HRV	23
Barwon	IDN	33
Barwon	IND	304
