SED_NAME16	Landlord	Rent.min	occupied_private_dwellings_being_rented
Albury		5250	6
Albury		7875	15
Albury		10500	3
Albury		11812	8
Albury		14437	6
Albury		18375	4
Albury	(Other)	52	20
Albury	(Other)	3937	8
Albury	(Other)	5250	39
Albury	(Other)	7875	39
Albury	(Other)	10500	29
Albury	(Other)	11812	55
Albury	(Other)	14437	39
Albury	(Other)	18375	14
Albury	(Other)	23625	5
Albury	(Other)	28875	7
Albury	Co-op/church group etc	52	10
Albury	Co-op/church group etc	3937	13
Albury	Co-op/church group etc	5250	45
Albury	Co-op/church group etc	7875	91
Albury	Co-op/church group etc	10500	13
Albury	Co-op/church group etc	11812	25
Albury	Co-op/church group etc	14437	8
Albury	Co-op/church group etc	18375	11
Albury	Co-op/church group etc	23625	3
Albury	Person not in same household	52	17
Albury	Person not in same household	3937	20
Albury	Person not in same household	5250	154
Albury	Person not in same household	7875	280
Albury	Person not in same household	10500	251
Albury	Person not in same household	11812	307
Albury	Person not in same household	14437	307
Albury	Person not in same household	18375	173
Albury	Person not in same household	23625	38
Albury	Person not in same household	28875	14
Albury	Real estate agent	52	13
Albury	Real estate agent	3937	18
Albury	Real estate agent	5250	153
Albury	Real estate agent	7875	921
Albury	Real estate agent	10500	569
Albury	Real estate agent	11812	1214
Albury	Real estate agent	14437	1776
Albury	Real estate agent	18375	1267
Albury	Real estate agent	23625	283
Albury	Real estate agent	28875	66
Albury	Real estate agent	34125	18
Albury	Real estate agent	39375	4
Albury	Real estate agent	49875	9
Albury	State or territory housing authority	52	30
Albury	State or territory housing authority	3937	64
Albury	State or territory housing authority	5250	283
Albury	State or territory housing authority	7875	160
Albury	State or territory housing authority	10500	47
Albury	State or territory housing authority	11812	90
Albury	State or territory housing authority	14437	41
Albury	State or territory housing authority	18375	11
Albury	State or territory housing authority	28875	3
Auburn		5250	5
Auburn		7875	3
Auburn		10500	3
Auburn		11812	4
Auburn		14437	7
Auburn		18375	8
Auburn		23625	16
Auburn		28875	13
Auburn		34125	6
Auburn	(Other)	5250	23
Auburn	(Other)	7875	34
Auburn	(Other)	10500	25
Auburn	(Other)	11812	46
Auburn	(Other)	14437	58
Auburn	(Other)	18375	126
Auburn	(Other)	23625	179
Auburn	(Other)	28875	81
Auburn	(Other)	34125	25
Auburn	(Other)	39375	15
Auburn	(Other)	44625	3
Auburn	(Other)	49875	7
Auburn	Co-op/church group etc	52	5
Auburn	Co-op/church group etc	3937	34
Auburn	Co-op/church group etc	5250	63
Auburn	Co-op/church group etc	7875	93
Auburn	Co-op/church group etc	10500	20
Auburn	Co-op/church group etc	11812	63
Auburn	Co-op/church group etc	14437	50
Auburn	Co-op/church group etc	18375	66
Auburn	Co-op/church group etc	23625	25
Auburn	Co-op/church group etc	28875	13
Auburn	Person not in same household	52	4
Auburn	Person not in same household	3937	5
Auburn	Person not in same household	5250	50
Auburn	Person not in same household	7875	89
Auburn	Person not in same household	10500	84
Auburn	Person not in same household	11812	91
Auburn	Person not in same household	14437	172
Auburn	Person not in same household	18375	482
Auburn	Person not in same household	23625	532
Auburn	Person not in same household	28875	239
Auburn	Person not in same household	34125	93
Auburn	Person not in same household	39375	33
Auburn	Person not in same household	44625	5
Auburn	Person not in same household	49875	21
Auburn	Real estate agent	52	12
Auburn	Real estate agent	3937	10
Auburn	Real estate agent	5250	56
Auburn	Real estate agent	7875	65
Auburn	Real estate agent	10500	86
Auburn	Real estate agent	11812	250
Auburn	Real estate agent	14437	919
Auburn	Real estate agent	18375	3177
Auburn	Real estate agent	23625	4818
Auburn	Real estate agent	28875	2434
Auburn	Real estate agent	34125	784
Auburn	Real estate agent	39375	330
Auburn	Real estate agent	44625	111
Auburn	Real estate agent	49875	93
Auburn	State or territory housing authority	52	48
Auburn	State or territory housing authority	3937	126
Auburn	State or territory housing authority	5250	489
Auburn	State or territory housing authority	7875	301
Auburn	State or territory housing authority	10500	120
Auburn	State or territory housing authority	11812	149
