SED_NAME21	medianTotalFamilyIncome
Albury	95628
Auburn	91728
Ballina	97760
Balmain	189384
Bankstown	79196
Barwon	84864
Bathurst	98384
Baulkham Hills	149136
Bega	76180
Blacktown	103688
Blue Mountains	114088
Cabramatta	77688
Camden	128336
Campbelltown	95368
Canterbury	102856
Castle Hill	158496
Cessnock	100204
Charlestown	118820
Clarence	73216
Coffs Harbour	87620
Coogee	185588
Cootamundra	80808
Cronulla	154024
Davidson	177996
Drummoyne	152100
Dubbo	103064
East Hills	113412
Epping	144976
Fairfield	73320
Gosford	101348
Goulburn	108732
Granville	96928
Hawkesbury	120432
Heathcote	138996
Heffron	142636
Holsworthy	114036
Hornsby	141076
Keira	124072
Kiama	105040
Kogarah	104208
Ku-ring-gai	166296
Lake Macquarie	98488
Lakemba	76492
Lane Cove	174616
Lismore	80288
Liverpool	86476
Londonderry	107744
Macquarie Fields	108888
Maitland	108576
Manly	190112
Maroubra	138268
Miranda	137332
Monaro	135200
Mount Druitt	101296
Mulgoa	126464
Murray	93756
Myall Lakes	70408
Newcastle	124540
Newtown	167908
North Shore	201396
Northern Tablelands	84968
Oatley	124904
Orange	104000
Oxley	71812
Parramatta	114920
Penrith	112008
Pittwater	152984
Port Macquarie	80704
Port Stephens	85592
Prospect	106652
Riverstone	144872
Rockdale	116012
Ryde	124280
Seven Hills	122772
Shellharbour	100724
South Coast	76284
Strathfield	116688
Summer Hill	138840
Swansea	92456
Sydney	170196
Tamworth	94848
Terrigal	118872
The Entrance	102284
Tweed	88764
Upper Hunter	101868
Vaucluse	206596
Wagga Wagga	103792
Wakehurst	148668
Wallsend	108108
Willoughby	176228
Wollondilly	117208
Wollongong	99892
Wyong	95576
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Albert Park (Southern Metropolitan)	153972
Altona (Western Metropolitan)	121472
Bass (Eastern Victoria)	98956
Bayswater (Eastern Metropolitan)	110552
Bellarine (Western Victoria)	102596
Benambra (Northern Victoria)	99320
Bendigo East (Northern Victoria)	101660
Bendigo West (Northern Victoria)	90168
Bentleigh (Southern Metropolitan)	142064
Box Hill (Eastern Metropolitan)	123188
Brighton (Southern Metropolitan)	182000
Broadmeadows (Northern Metropolitan)	73268
Brunswick (Northern Metropolitan)	141492
Bulleen (Eastern Metropolitan)	112268
Bundoora (Northern Metropolitan)	111280
Buninyong (Western Victoria)	98228
Burwood (Southern Metropolitan)	144456
Carrum (South-Eastern Metropolitan)	113464
Caulfield (Southern Metropolitan)	153712
Clarinda (South-Eastern Metropolitan)	100152
Cranbourne (South-Eastern Metropolitan)	105144
Croydon (Eastern Metropolitan)	115284
Dandenong (South-Eastern Metropolitan)	78416
Eildon (Northern Victoria)	96512
Eltham (Eastern Metropolitan)	139412
Essendon (Western Metropolitan)	148304
Euroa (Northern Victoria)	88088
Evelyn (Eastern Victoria)	115804
Ferntree Gully (Eastern Metropolitan)	110604
Footscray (Western Metropolitan)	108108
Forest Hill (Eastern Metropolitan)	113412
Frankston (South-Eastern Metropolitan)	103220
Geelong (Western Victoria)	111904
Gembrook (Eastern Victoria)	116012
Gippsland East (Eastern Victoria)	76180
Gippsland South (Eastern Victoria)	85020
Hastings (Eastern Victoria)	108368
Hawthorn (Southern Metropolitan)	172848
Ivanhoe (Eastern Metropolitan)	137592
Kew (Southern Metropolitan)	156520
Keysborough (South-Eastern Metropolitan)	95940
