SED_NAME16	Age5yr	ChildrenEverBorn	females
Albury	15-19		276
Albury	15-19	0	2182
Albury	15-19	1	23
Albury	15-19	2	3
Albury	20-24		198
Albury	20-24	0	1807
Albury	20-24	1	189
Albury	20-24	2	85
Albury	20-24	3	22
Albury	20-24	4	5
Albury	20-24	6	4
Albury	25-29		186
Albury	25-29	0	1337
Albury	25-29	1	433
Albury	25-29	2	350
Albury	25-29	3	105
Albury	25-29	4	30
Albury	25-29	5	10
Albury	25-29	6	3
Albury	30-34		151
Albury	30-34	0	810
Albury	30-34	1	560
Albury	30-34	2	639
Albury	30-34	3	289
Albury	30-34	4	64
Albury	30-34	5	23
Albury	30-34	6	16
Albury	35-39		164
Albury	35-39	0	443
Albury	35-39	1	351
Albury	35-39	2	877
Albury	35-39	3	494
Albury	35-39	4	159
Albury	35-39	5	48
Albury	35-39	6	36
Albury	40-44		163
Albury	40-44	0	324
Albury	40-44	1	309
Albury	40-44	2	847
Albury	40-44	3	526
Albury	40-44	4	205
Albury	40-44	5	74
Albury	40-44	6	59
Albury	45-49		155
Albury	45-49	0	316
Albury	45-49	1	288
Albury	45-49	2	866
Albury	45-49	3	578
Albury	45-49	4	220
Albury	45-49	5	64
Albury	45-49	6	55
Albury	50-54		158
Albury	50-54	0	349
Albury	50-54	1	274
Albury	50-54	2	932
Albury	50-54	3	634
Albury	50-54	4	224
Albury	50-54	5	70
Albury	50-54	6	51
Albury	55-59		167
Albury	55-59	0	332
Albury	55-59	1	301
Albury	55-59	2	865
Albury	55-59	3	680
Albury	55-59	4	261
Albury	55-59	5	90
Albury	55-59	6	52
Albury	60-64		183
Albury	60-64	0	332
Albury	60-64	1	245
Albury	60-64	2	991
Albury	60-64	3	797
Albury	60-64	4	333
Albury	60-64	5	76
Albury	60-64	6	41
Albury	65-69		188
Albury	65-69	0	276
Albury	65-69	1	255
Albury	65-69	2	873
Albury	65-69	3	751
Albury	65-69	4	319
Albury	65-69	5	88
Albury	65-69	6	49
Albury	70-74		180
Albury	70-74	0	190
Albury	70-74	1	173
Albury	70-74	2	803
Albury	70-74	3	652
Albury	70-74	4	302
Albury	70-74	5	95
Albury	70-74	6	61
Albury	75-79		190
Albury	75-79	0	134
Albury	75-79	1	115
Albury	75-79	2	512
Albury	75-79	3	487
Albury	75-79	4	248
Albury	75-79	5	92
Albury	75-79	6	56
Albury	80-84		176
Albury	80-84	0	105
Albury	80-84	1	69
Albury	80-84	2	281
Albury	80-84	3	321
Albury	80-84	4	218
Albury	80-84	5	91
Albury	80-84	6	87
Albury	85+		170
Albury	85+	0	81
Albury	85+	1	73
Albury	85+	2	230
Albury	85+	3	304
Albury	85+	4	222
Albury	85+	5	130
Albury	85+	6	131
Auburn	15-19		298
Auburn	15-19	0	2298
Auburn	15-19	2	3
Auburn	20-24		579
Auburn	20-24	0	3977
Auburn	20-24	1	176
Auburn	20-24	2	70
Auburn	20-24	3	15
Auburn	25-29		612
Auburn	25-29	0	4472
Auburn	25-29	1	695
Auburn	25-29	2	363
Auburn	25-29	3	148
Auburn	25-29	4	28
Auburn	25-29	5	7
Auburn	25-29	6	4
Auburn	30-34		526
Auburn	30-34	0	2977
Auburn	30-34	1	1310
Auburn	30-34	2	951
Auburn	30-34	3	355
Auburn	30-34	4	174
Auburn	30-34	5	43
Auburn	30-34	6	17
Auburn	35-39		370
Auburn	35-39	0	1467
Auburn	35-39	1	1024
Auburn	35-39	2	1126
Auburn	35-39	3	467
Auburn	35-39	4	258
Auburn	35-39	5	82
Auburn	35-39	6	49
Auburn	40-44		287
Auburn	40-44	0	728
Auburn	40-44	1	617
Auburn	40-44	2	873
Auburn	40-44	3	469
Auburn	40-44	4	244
Auburn	40-44	5	111
Auburn	40-44	6	93
Auburn	45-49		242
Auburn	45-49	0	544
Auburn	45-49	1	539
Auburn	45-49	2	846
Auburn	45-49	3	393
Auburn	45-49	4	201
Auburn	45-49	5	95
Auburn	45-49	6	84
Auburn	50-54		193
Auburn	50-54	0	456
