SED_NAME16	Age5yr	Indigenous	Sex	persons
Albury	0-4		F	160
Albury	0-4		M	155
Albury	0-4	0	F	2149
Albury	0-4	0	M	2233
Albury	0-4	1	F	185
Albury	0-4	1	M	216
Albury	5-9		F	156
Albury	5-9		M	192
Albury	5-9	0	F	2252
Albury	5-9	0	M	2352
Albury	5-9	1	F	175
Albury	5-9	1	M	215
Albury	10-14		F	151
Albury	10-14		M	183
Albury	10-14	0	F	2229
Albury	10-14	0	M	2351
Albury	10-14	1	F	171
Albury	10-14	1	M	166
Albury	15-19		F	145
Albury	15-19		M	157
Albury	15-19	0	F	2181
Albury	15-19	0	M	2228
Albury	15-19	1	F	158
Albury	15-19	1	M	157
Albury	20-24		F	128
Albury	20-24		M	161
Albury	20-24	0	F	2030
Albury	20-24	0	M	2041
Albury	20-24	1	F	140
Albury	20-24	1	M	124
Albury	25-29		F	145
Albury	25-29		M	165
Albury	25-29	0	F	2192
Albury	25-29	0	M	2325
Albury	25-29	1	F	107
Albury	25-29	1	M	101
Albury	30-34		F	139
Albury	30-34		M	139
Albury	30-34	0	F	2319
Albury	30-34	0	M	2089
Albury	30-34	1	F	98
Albury	30-34	1	M	76
Albury	35-39		F	157
Albury	35-39		M	158
Albury	35-39	0	F	2327
Albury	35-39	0	M	2182
Albury	35-39	1	F	98
Albury	35-39	1	M	68
Albury	40-44		F	143
Albury	40-44		M	139
Albury	40-44	0	F	2297
Albury	40-44	0	M	2113
Albury	40-44	1	F	77
Albury	40-44	1	M	61
Albury	45-49		F	137
Albury	45-49		M	160
Albury	45-49	0	F	2340
Albury	45-49	0	M	2169
Albury	45-49	1	F	66
Albury	45-49	1	M	56
Albury	50-54		F	138
Albury	50-54		M	161
Albury	50-54	0	F	2482
Albury	50-54	0	M	2334
Albury	50-54	1	F	84
Albury	50-54	1	M	64
Albury	55-59		F	149
Albury	55-59		M	182
Albury	55-59	0	F	2534
Albury	55-59	0	M	2444
Albury	55-59	1	F	62
Albury	55-59	1	M	43
Albury	60-64		F	151
Albury	60-64		M	151
Albury	60-64	0	F	2790
Albury	60-64	0	M	2605
Albury	60-64	1	F	52
Albury	60-64	1	M	56
Albury	65+		F	561
Albury	65+		M	493
Albury	65+	0	F	9128
Albury	65+	0	M	8146
Albury	65+	1	F	97
Albury	65+	1	M	98
Auburn	0-4		F	193
Auburn	0-4		M	218
Auburn	0-4	0	F	3421
Auburn	0-4	0	M	3729
Auburn	0-4	1	F	27
Auburn	0-4	1	M	23
Auburn	5-9		F	200
Auburn	5-9		M	231
Auburn	5-9	0	F	3095
Auburn	5-9	0	M	3143
Auburn	5-9	1	F	33
Auburn	5-9	1	M	16
Auburn	10-14		F	177
Auburn	10-14		M	198
Auburn	10-14	0	F	2680
Auburn	10-14	0	M	2695
Auburn	10-14	1	F	19
Auburn	10-14	1	M	15
Auburn	15-19		F	151
Auburn	15-19		M	173
Auburn	15-19	0	F	2423
Auburn	15-19	0	M	2571
Auburn	15-19	1	F	23
Auburn	15-19	1	M	21
Auburn	20-24		F	279
Auburn	20-24		M	336
Auburn	20-24	0	F	4506
Auburn	20-24	0	M	5325
Auburn	20-24	1	F	41
Auburn	20-24	1	M	64
Auburn	25-29		F	361
Auburn	25-29		M	440
Auburn	25-29	0	F	5927
Auburn	25-29	0	M	6890
Auburn	25-29	1	F	36
Auburn	25-29	1	M	77
Auburn	30-34		F	352
Auburn	30-34		M	403
Auburn	30-34	0	F	5974
Auburn	30-34	0	M	7054
Auburn	30-34	1	F	33
Auburn	30-34	1	M	65
Auburn	35-39		F	263
Auburn	35-39		M	367
Auburn	35-39	0	F	4541
Auburn	35-39	0	M	5456
Auburn	35-39	1	F	35
Auburn	35-39	1	M	51
Auburn	40-44		F	220
Auburn	40-44		M	262
Auburn	40-44	0	F	3196
Auburn	40-44	0	M	3847
Auburn	40-44	1	F	25
