SED_NAME21	AustCitizen	persons
Albury	0	9239
Albury	1	75750
Auburn	0	43724
Auburn	1	74098
Ballina	0	11341
Ballina	1	71064
Balmain	0	15763
Balmain	1	67510
Bankstown	0	20400
Bankstown	1	74269
Barwon	0	11091
Barwon	1	62856
Bathurst	0	9101
Bathurst	1	71389
Baulkham Hills	0	13762
Baulkham Hills	1	74852
Bega	0	7721
Bega	1	68808
Blacktown	0	21990
Blacktown	1	70268
Blue Mountains	0	5836
Blue Mountains	1	66435
Cabramatta	0	15835
Cabramatta	1	68591
Camden	0	13420
Camden	1	117845
Campbelltown	0	12798
Campbelltown	1	71083
Canterbury	0	22601
Canterbury	1	71464
Castle Hill	0	15068
Castle Hill	1	88837
Cessnock	0	7829
Cessnock	1	79921
Charlestown	0	5358
Charlestown	1	70633
Clarence	0	8442
Clarence	1	69243
Coffs Harbour	0	9743
Coffs Harbour	1	69016
Coogee	0	18351
Coogee	1	64297
Cootamundra	0	7846
Cootamundra	1	64589
Cronulla	0	6173
Cronulla	1	72215
Davidson	0	11345
Davidson	1	69726
Drummoyne	0	14706
Drummoyne	1	67129
Dubbo	0	11672
Dubbo	1	70853
East Hills	0	11101
East Hills	1	71916
Epping	0	18762
Epping	1	69682
Fairfield	0	23952
Fairfield	1	69453
Gosford	0	9850
Gosford	1	68687
Goulburn	0	8720
Goulburn	1	73051
Granville	0	32881
Granville	1	71181
Hawkesbury	0	6990
Hawkesbury	1	71035
Heathcote	0	5605
Heathcote	1	72087
Heffron	0	40095
Heffron	1	77264
Holsworthy	0	12365
Holsworthy	1	77930
Hornsby	0	12058
Hornsby	1	71551
Keira	0	8012
Keira	1	74263
Kiama	0	7300
Kiama	1	71758
Kogarah	0	27207
Kogarah	1	66516
Ku-ring-gai	0	15699
Ku-ring-gai	1	71123
Lake Macquarie	0	6024
Lake Macquarie	1	73683
Lakemba	0	22868
Lakemba	1	73140
Lane Cove	0	15108
Lane Cove	1	74086
Lismore	0	8782
Lismore	1	67969
Liverpool	0	19645
Liverpool	1	77337
Londonderry	0	21344
Londonderry	1	99210
Macquarie Fields	0	19546
Macquarie Fields	1	92865
Maitland	0	6512
Maitland	1	83714
Manly	0	13769
Manly	1	69439
Maroubra	0	17761
Maroubra	1	69812
Miranda	0	7918
Miranda	1	72121
Monaro	0	9750
Monaro	1	75222
Mount Druitt	0	18416
Mount Druitt	1	76060
Mulgoa	0	8534
Mulgoa	1	79095
Murray	0	13835
Murray	1	72084
Myall Lakes	0	7187
Myall Lakes	1	68392
Newcastle	0	8031
Newcastle	1	71639
Newtown	0	19044
Newtown	1	61269
North Shore	0	15509
North Shore	1	63384
Northern Tablelands	0	12721
Northern Tablelands	1	66820
Oatley	0	12189
Oatley	1	66920
Orange	0	7930
Orange	1	73026
Oxley	0	8288
Oxley	1	69317
Parramatta	0	37162
Parramatta	1	74908
Penrith	0	10721
Penrith	1	73857
Pittwater	0	7740
Pittwater	1	67531
Port Macquarie	0	6757
Port Macquarie	1	73992
Port Stephens	0	6631
Port Stephens	1	69793
Prospect	0	17904
Prospect	1	70703
Riverstone	0	23809
Riverstone	1	98526
Rockdale	0	24037
Rockdale	1	69926
Ryde	0	28182
Ryde	1	71839
Seven Hills	0	17631
Seven Hills	1	68801
Shellharbour	0	7747
Shellharbour	1	80756
South Coast	0	7671
South Coast	1	68989
Strathfield	0	34823
Strathfield	1	67401
