SED_NAME16	medianTotalHouseholdIncome
Albury	72072
Auburn	89908
Ballina	77376
Balmain	127088
Bankstown	71500
Barwon	64272
Bathurst	74048
Baulkham Hills	138528
Bega	61516
Blacktown	94224
Blue Mountains	88816
Cabramatta	74464
Camden	121680
Campbelltown	81640
Canterbury	90012
Castle Hill	152360
Cessnock	83460
Charlestown	95108
Clarence	58604
Coffs Harbour	70876
Coogee	141076
Cootamundra	61412
Cronulla	122668
Davidson	159276
Drummoyne	123916
Dubbo	82316
East Hills	99736
Epping	127452
Fairfield	67704
Gosford	75348
Goulburn	85176
Granville	86528
Hawkesbury	106236
Heathcote	120276
Heffron	116636
Holsworthy	105612
Hornsby	121940
Keira	98228
Kiama	86684
Kogarah	96252
Ku-ring-gai	139568
Lake Macquarie	77792
Lakemba	69264
Lane Cove	131768
Lismore	62504
Liverpool	75868
Londonderry	95472
Macquarie Fields	100256
Maitland	91832
Manly	155584
Maroubra	110708
Miranda	113984
Monaro	110552
Mount Druitt	93652
Mulgoa	121472
Murray	73216
Myall Lakes	55172
Newcastle	93236
Newtown	114192
North Shore	137280
Northern Tablelands	66144
Oatley	108628
Orange	79040
Oxley	57356
Parramatta	101348
Penrith	90376
Pittwater	125372
Port Macquarie	64272
Port Stephens	69576
Prospect	96460
Riverstone	140296
Rockdale	101296
Ryde	104988
Seven Hills	108628
Shellharbour	82160
South Coast	62140
Strathfield	105040
Summer Hill	109512
Swansea	71812
Sydney	118456
Tamworth	73632
Terrigal	96044
The Entrance	78988
Tweed	68484
Upper Hunter	80600
Vaucluse	158340
Wagga Wagga	81328
Wakehurst	124956
Wallsend	85488
Willoughby	135096
Wollondilly	101712
Wollongong	75400
Wyong	76700
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Albert Park (Southern Metropolitan)	107952
Altona (Western Metropolitan)	110396
Bass (Eastern Victoria)	83408
Bayswater (Eastern Metropolitan)	90376
Bellarine (Western Victoria)	79820
Benambra (Northern Victoria)	76492
