SED_NAME21	HomeCensusNight	persons
Albury	0	3853
Albury	1	81143
Auburn	0	2107
Auburn	1	115711
Ballina	0	3668
Ballina	1	78745
Balmain	0	3378
Balmain	1	79889
Bankstown	0	1953
Bankstown	1	92717
Barwon	0	3964
Barwon	1	69983
Bathurst	0	3411
Bathurst	1	77076
Baulkham Hills	0	1647
Baulkham Hills	1	86965
Bega	0	4161
Bega	1	72369
Blacktown	0	1686
Blacktown	1	90576
Blue Mountains	0	2147
Blue Mountains	1	70122
Cabramatta	0	2042
Cabramatta	1	82385
Camden	0	2419
Camden	1	128843
Campbelltown	0	2139
Campbelltown	1	81743
Canterbury	0	2230
Canterbury	1	91831
Castle Hill	0	1644
Castle Hill	1	102259
Cessnock	0	3097
Cessnock	1	84654
Charlestown	0	2736
Charlestown	1	73250
Clarence	0	3416
Clarence	1	74268
Coffs Harbour	0	3297
Coffs Harbour	1	75458
Coogee	0	3680
Coogee	1	78970
Cootamundra	0	3400
Cootamundra	1	69037
Cronulla	0	2283
Cronulla	1	76104
Davidson	0	1928
Davidson	1	79136
Drummoyne	0	1919
Drummoyne	1	79919
Dubbo	0	3932
Dubbo	1	78597
East Hills	0	1736
East Hills	1	81279
Epping	0	1667
Epping	1	86770
Fairfield	0	1814
Fairfield	1	91590
Gosford	0	2320
Gosford	1	76218
Goulburn	0	3306
Goulburn	1	78465
Granville	0	1705
Granville	1	102354
Hawkesbury	0	2094
Hawkesbury	1	75933
Heathcote	0	1945
Heathcote	1	75748
Heffron	0	3842
Heffron	1	113525
Holsworthy	0	1986
Holsworthy	1	88306
Hornsby	0	1826
Hornsby	1	81781
Keira	0	2553
Keira	1	79726
Kiama	0	3072
Kiama	1	75990
Kogarah	0	1794
Kogarah	1	91928
Ku-ring-gai	0	2322
Ku-ring-gai	1	84500
Lake Macquarie	0	3326
Lake Macquarie	1	76381
Lakemba	0	1843
Lakemba	1	94174
Lane Cove	0	3218
Lane Cove	1	85979
Lismore	0	2996
Lismore	1	73759
Liverpool	0	1798
Liverpool	1	95186
Londonderry	0	2401
Londonderry	1	118151
Macquarie Fields	0	2000
Macquarie Fields	1	110414
Maitland	0	2968
Maitland	1	87258
Manly	0	3062
Manly	1	80149
Maroubra	0	2438
Maroubra	1	85137
Miranda	0	1861
Miranda	1	78179
Monaro	0	3555
Monaro	1	81417
Mount Druitt	0	1625
Mount Druitt	1	92850
Mulgoa	0	1643
Mulgoa	1	85981
Murray	0	4018
Murray	1	81898
Myall Lakes	0	3561
Myall Lakes	1	72015
Newcastle	0	3896
Newcastle	1	75777
Newtown	0	3876
Newtown	1	76441
North Shore	0	3725
North Shore	1	75166
Northern Tablelands	0	3942
Northern Tablelands	1	75596
Oatley	0	1786
Oatley	1	77327
Orange	0	3482
Orange	1	77472
Oxley	0	3476
Oxley	1	74133
Parramatta	0	2404
Parramatta	1	109666
Penrith	0	2115
Penrith	1	82457
Pittwater	0	2646
Pittwater	1	72625
Port Macquarie	0	3564
Port Macquarie	1	77184
Port Stephens	0	3452
Port Stephens	1	72967
Prospect	0	1580
Prospect	1	87025
Riverstone	0	1448
Riverstone	1	120889
Rockdale	0	2129
Rockdale	1	91831
Ryde	0	2439
Ryde	1	97581
Seven Hills	0	1442
Seven Hills	1	84984
Shellharbour	0	2304
Shellharbour	1	86199
South Coast	0	4004
South Coast	1	72654
Strathfield	0	2268
Strathfield	1	99960
Summer Hill	0	2515
Summer Hill	1	78511
Swansea	0	2661
Swansea	1	71460
Sydney	0	5021
Sydney	1	88385
Tamworth	0	3159
Tamworth	1	77700
Terrigal	0	2506
Terrigal	1	75107
The Entrance	0	2113
The Entrance	1	73896
Tweed	0	3370
Tweed	1	77777
Upper Hunter	0	2788
Upper Hunter	1	76032
Vaucluse	0	3880
Vaucluse	1	76153
Wagga Wagga	0	3307
Wagga Wagga	1	79027
Wakehurst	0	2090
Wakehurst	1	81236
Wallsend	0	3353
Wallsend	1	83763
Willoughby	0	2773
Willoughby	1	84080
Wollondilly	0	2430
Wollondilly	1	80733
Wollongong	0	2837
Wollongong	1	82464
Wyong	0	2243
Wyong	1	80294
No usual address (NSW)	0	11371
Albert Park (Southern Metropolitan)	0	3645
Albert Park (Southern Metropolitan)	1	77302
Altona (Western Metropolitan)	0	1869
Altona (Western Metropolitan)	1	106664
Bass (Eastern Victoria)	0	3979
Bass (Eastern Victoria)	1	111839
Bayswater (Eastern Metropolitan)	0	1691
Bayswater (Eastern Metropolitan)	1	62990
Bellarine (Western Victoria)	0	3647
Bellarine (Western Victoria)	1	67692
Benambra (Northern Victoria)	0	3221
Benambra (Northern Victoria)	1	67177
Bendigo East (Northern Victoria)	0	2631
Bendigo East (Northern Victoria)	1	69481
Bendigo West (Northern Victoria)	0	2342
Bendigo West (Northern Victoria)	1	61416
Bentleigh (Southern Metropolitan)	0	1536
Bentleigh (Southern Metropolitan)	1	65240
Box Hill (Eastern Metropolitan)	0	1935
Box Hill (Eastern Metropolitan)	1	71508
Brighton (Southern Metropolitan)	0	2650
Brighton (Southern Metropolitan)	1	59560
Broadmeadows (Northern Metropolitan)	0	1304
Broadmeadows (Northern Metropolitan)	1	73073
Brunswick (Northern Metropolitan)	0	2805
Brunswick (Northern Metropolitan)	1	71498
Bulleen (Eastern Metropolitan)	0	1495
Bulleen (Eastern Metropolitan)	1	65617
Bundoora (Northern Metropolitan)	0	1501
Bundoora (Northern Metropolitan)	1	59432
Buninyong (Western Victoria)	0	2433
Buninyong (Western Victoria)	1	64991
Burwood (Southern Metropolitan)	0	1881
Burwood (Southern Metropolitan)	1	66987
Carrum (South-Eastern Metropolitan)	0	1989
Carrum (South-Eastern Metropolitan)	1	68849
Caulfield (Southern Metropolitan)	0	2103
Caulfield (Southern Metropolitan)	1	65680
Clarinda (South-Eastern Metropolitan)	0	1483
Clarinda (South-Eastern Metropolitan)	1	74480
Cranbourne (South-Eastern Metropolitan)	0	2229
Cranbourne (South-Eastern Metropolitan)	1	125662
Croydon (Eastern Metropolitan)	0	1790
Croydon (Eastern Metropolitan)	1	60046
Dandenong (South-Eastern Metropolitan)	0	1601
Dandenong (South-Eastern Metropolitan)	1	74732
Eildon (Northern Victoria)	0	2920
Eildon (Northern Victoria)	1	59441
Eltham (Eastern Metropolitan)	0	1703
Eltham (Eastern Metropolitan)	1	58115
Essendon (Western Metropolitan)	0	2302
Essendon (Western Metropolitan)	1	67703
Euroa (Northern Victoria)	0	2723
Euroa (Northern Victoria)	1	65663
Evelyn (Eastern Victoria)	0	1863
Evelyn (Eastern Victoria)	1	58990
Ferntree Gully (Eastern Metropolitan)	0	1260
Ferntree Gully (Eastern Metropolitan)	1	58837
Footscray (Western Metropolitan)	0	2119
Footscray (Western Metropolitan)	1	81668
Forest Hill (Eastern Metropolitan)	0	1306
Forest Hill (Eastern Metropolitan)	1	60100
Frankston (South-Eastern Metropolitan)	0	1979
Frankston (South-Eastern Metropolitan)	1	61015
Geelong (Western Victoria)	0	2472
Geelong (Western Victoria)	1	64589
Gembrook (Eastern Victoria)	0	2215
Gembrook (Eastern Victoria)	1	82097
Gippsland East (Eastern Victoria)	0	3513
Gippsland East (Eastern Victoria)	1	60387
Gippsland South (Eastern Victoria)	0	3014
Gippsland South (Eastern Victoria)	1	57205
Hastings (Eastern Victoria)	0	2352
Hastings (Eastern Victoria)	1	69786
Hawthorn (Southern Metropolitan)	0	2574
Hawthorn (Southern Metropolitan)	1	61841
Ivanhoe (Eastern Metropolitan)	0	1920
Ivanhoe (Eastern Metropolitan)	1	65719
Kew (Southern Metropolitan)	0	2070
Kew (Southern Metropolitan)	1	61956
Keysborough (South-Eastern Metropolitan)	0	1465
Keysborough (South-Eastern Metropolitan)	1	74473
Kororoit (Western Metropolitan)	0	1512
Kororoit (Western Metropolitan)	1	100261
Lara (Western Victoria)	0	2176
Lara (Western Victoria)	1	68329
Lowan (Western Victoria)	0	2595
Lowan (Western Victoria)	1	55862
Macedon (Northern Victoria)	0	2557
Macedon (Northern Victoria)	1	62485
Malvern (Southern Metropolitan)	0	2671
Malvern (Southern Metropolitan)	1	57473
Melbourne (Northern Metropolitan)	0	4817
Melbourne (Northern Metropolitan)	1	119387
Melton (Western Victoria)	0	2169
Melton (Western Victoria)	1	95511
