SED_NAME21	MotorVehicles.min	occupied_private_dwellings
Albury		555
Albury	0	2046
Albury	1	11965
Albury	2	12177
Albury	3	4118
Albury	4	2295
Auburn		912
Auburn	0	5128
Auburn	1	17329
Auburn	2	9956
Auburn	3	2848
Auburn	4	1506
Ballina		578
Ballina	0	1298
Ballina	1	11085
Ballina	2	12033
Ballina	3	3947
Ballina	4	2220
Balmain		538
Balmain	0	7121
Balmain	1	17846
Balmain	2	7729
Balmain	3	1279
Balmain	4	407
Bankstown		665
Bankstown	0	3207
Bankstown	1	10762
Bankstown	2	8651
Bankstown	3	3034
Bankstown	4	1729
Barwon		734
Barwon	0	2015
Barwon	1	9685
Barwon	2	9183
Barwon	3	3563
Barwon	4	2148
Bathurst		491
Bathurst	0	1799
Bathurst	1	10224
Bathurst	2	10842
Bathurst	3	4298
Bathurst	4	2722
Baulkham Hills		227
Baulkham Hills	0	768
Baulkham Hills	1	8735
Baulkham Hills	2	12522
Baulkham Hills	3	4027
Baulkham Hills	4	2159
Bega		544
Bega	0	1300
Bega	1	11623
Bega	2	11953
Bega	3	3849
Bega	4	1960
Blacktown		554
Blacktown	0	2803
Blacktown	1	11463
Blacktown	2	10090
Blacktown	3	3221
Blacktown	4	1634
Blue Mountains		287
Blue Mountains	0	1730
Blue Mountains	1	10732
Blue Mountains	2	10520
Blue Mountains	3	3368
Blue Mountains	4	1827
Cabramatta		482
Cabramatta	0	2400
Cabramatta	1	8168
Cabramatta	2	7606
Cabramatta	3	3488
Cabramatta	4	2266
Camden		414
Camden	0	930
Camden	1	10126
Camden	2	18155
Camden	3	6504
Camden	4	4491
Campbelltown		473
Campbelltown	0	2442
Campbelltown	1	10647
Campbelltown	2	9578
Campbelltown	3	3255
Campbelltown	4	1739
Canterbury		621
Canterbury	0	4276
Canterbury	1	14116
Canterbury	2	9348
Canterbury	3	2711
Canterbury	4	1480
Castle Hill		248
Castle Hill	0	725
Castle Hill	1	8622
Castle Hill	2	14064
Castle Hill	3	4868
Castle Hill	4	3254
Cessnock		377
Cessnock	0	1307
Cessnock	1	9379
Cessnock	2	12020
Cessnock	3	4762
Cessnock	4	3069
Charlestown		285
Charlestown	0	1639
Charlestown	1	9672
Charlestown	2	11628
Charlestown	3	3512
Charlestown	4	1911
Clarence		626
Clarence	0	1461
Clarence	1	10962
Clarence	2	10850
Clarence	3	3856
Clarence	4	1996
Coffs Harbour		520
Coffs Harbour	0	1590
Coffs Harbour	1	11034
Coffs Harbour	2	11016
Coffs Harbour	3	3611
Coffs Harbour	4	2005
Coogee		468
Coogee	0	5616
Coogee	1	16694
Coogee	2	8195
Coogee	3	1646
Coogee	4	584
Cootamundra		618
Cootamundra	0	1602
Cootamundra	1	9375
Cootamundra	2	9758
Cootamundra	3	4046
Cootamundra	4	2532
Cronulla		232
Cronulla	0	1578
Cronulla	1	9847
Cronulla	2	11503
Cronulla	3	3597
Cronulla	4	2258
Davidson		198
Davidson	0	1048
Davidson	1	8747
Davidson	2	11509
Davidson	3	3434
Davidson	4	1803
Drummoyne		350
Drummoyne	0	3078
Drummoyne	1	14420
Drummoyne	2	10385
Drummoyne	3	2492
Drummoyne	4	1194
Dubbo		561
Dubbo	0	1498
Dubbo	1	9617
Dubbo	2	11060
Dubbo	3	4112
Dubbo	4	2482
East Hills		368
East Hills	0	1998
East Hills	1	8750
East Hills	2	9737
East Hills	3	3548
East Hills	4	2000
Epping		275
Epping	0	1947
Epping	1	11235
Epping	2	11215
Epping	3	3117
Epping	4	1477
Fairfield		606
Fairfield	0	3428
Fairfield	1	9783
Fairfield	2	8333
Fairfield	3	3246
Fairfield	4	1859
Gosford		510
Gosford	0	3103
Gosford	1	13770
Gosford	2	10073
Gosford	3	2977
Gosford	4	1549
Goulburn		460
Goulburn	0	1225
Goulburn	1	9116
Goulburn	2	11224
Goulburn	3	4903
Goulburn	4	3390
Granville		805
Granville	0	4266
Granville	1	14316
Granville	2	9037
Granville	3	2735
Granville	4	1644
Hawkesbury		277
Hawkesbury	0	923
Hawkesbury	1	6527
Hawkesbury	2	9540
Hawkesbury	3	4465
Hawkesbury	4	4521
Heathcote		223
Heathcote	0	1263
Heathcote	1	8721
Heathcote	2	11290
Heathcote	3	3584
Heathcote	4	2303
Heffron		732
Heffron	0	11587
Heffron	1	25652
Heffron	2	9119
Heffron	3	1692
Heffron	4	662
Holsworthy		370
Holsworthy	0	1368
Holsworthy	1	7722
Holsworthy	2	10766
Holsworthy	3	4146
Holsworthy	4	2428
Hornsby		234
Hornsby	0	1882
Hornsby	1	10998
Hornsby	2	10606
Hornsby	3	3251
Hornsby	4	1987
Keira		318
Keira	0	2062
Keira	1	10058
Keira	2	11672
Keira	3	3680
Keira	4	2182
Kiama		332
Kiama	0	1070
Kiama	1	9041
Kiama	2	11732
Kiama	3	4035
Kiama	4	2680
Kogarah		574
Kogarah	0	5017
Kogarah	1	14341
Kogarah	2	8540
Kogarah	3	2517
Kogarah	4	1173
Ku-ring-gai		248
Ku-ring-gai	0	1924
Ku-ring-gai	1	12175
Ku-ring-gai	2	11237
Ku-ring-gai	3	3111
Ku-ring-gai	4	1410
Lake Macquarie		378
Lake Macquarie	0	1367
Lake Macquarie	1	10016
Lake Macquarie	2	11526
Lake Macquarie	3	4199
Lake Macquarie	4	2630
Lakemba		698
Lakemba	0	3759
Lakemba	1	11337
Lakemba	2	8160
Lakemba	3	2870
Lakemba	4	1794
Lane Cove		313
Lane Cove	0	3586
Lane Cove	1	15283
Lane Cove	2	10818
Lane Cove	3	2713
Lane Cove	4	1392
Lismore		564
Lismore	0	1514
Lismore	1	10944
Lismore	2	10825
Lismore	3	3823
Lismore	4	2100
Liverpool		685
Liverpool	0	3642
Liverpool	1	10652
Liverpool	2	8930
Liverpool	3	3617
Liverpool	4	2286
Londonderry		667
Londonderry	0	2784
Londonderry	1	13453
Londonderry	2	14059
Londonderry	3	4355
Londonderry	4	2658
Macquarie Fields		495
Macquarie Fields	0	2116
Macquarie Fields	1	12396
Macquarie Fields	2	13310
Macquarie Fields	3	4212
Macquarie Fields	4	2278
Maitland		345
Maitland	0	1484
Maitland	1	10088
Maitland	2	13278
Maitland	3	4737
Maitland	4	2716
Manly		274
Manly	0	2620
Manly	1	13585
Manly	2	10832
Manly	3	2610
Manly	4	1295
Maroubra		498
Maroubra	0	4065
Maroubra	1	13680
Maroubra	2	10247
Maroubra	3	2644
Maroubra	4	1261
Miranda		302
Miranda	0	1936
Miranda	1	10191
Miranda	2	11149
Miranda	3	3368
Miranda	4	2030
Monaro		378
Monaro	0	1113
Monaro	1	9580
Monaro	2	12083
Monaro	3	4768
Monaro	4	3220
Mount Druitt		503
Mount Druitt	0	2094
Mount Druitt	1	9344
Mount Druitt	2	9772
Mount Druitt	3	3657
Mount Druitt	4	2011
Mulgoa		281
Mulgoa	0	548
Mulgoa	1	5856
Mulgoa	2	10872
Mulgoa	3	4860
Mulgoa	4	3799
Murray		759
Murray	0	1462
Murray	1	9825
Murray	2	11583
Murray	3	4548
Murray	4	2788
Myall Lakes		751
Myall Lakes	0	1736
Myall Lakes	1	12349
Myall Lakes	2	10680
Myall Lakes	3	3466
Myall Lakes	4	1890
Newcastle		408
Newcastle	0	3199
Newcastle	1	13723
Newcastle	2	11698
Newcastle	3	2968
Newcastle	4	1378
Newtown		557
Newtown	0	12038
Newtown	1	16274
Newtown	2	4886
Newtown	3	847
Newtown	4	334
North Shore		341
North Shore	0	6298
North Shore	1	19027
North Shore	2	8005
North Shore	3	1459
North Shore	4	612
Northern Tablelands		665
Northern Tablelands	0	1877
Northern Tablelands	1	10397
Northern Tablelands	2	10158
Northern Tablelands	3	3790
Northern Tablelands	4	2224
Oatley		316
Oatley	0	2418
Oatley	1	10206
Oatley	2	9451
Oatley	3	3143
Oatley	4	1687
Orange		536
Orange	0	1632
Orange	1	10078
Orange	2	11376
Orange	3	4068
Orange	4	2371
Oxley		608
Oxley	0	1440
Oxley	1	10995
Oxley	2	10651
Oxley	3	3818
Oxley	4	2183
Parramatta		706
Parramatta	0	6072
Parramatta	1	18339
Parramatta	2	11133
Parramatta	3	2807
Parramatta	4	1329
Penrith		424
Penrith	0	2789
Penrith	1	12127
Penrith	2	10618
Penrith	3	3483
Penrith	4	1998
Pittwater		243
Pittwater	0	1155
Pittwater	1	8509
Pittwater	2	11119
Pittwater	3	3643
Pittwater	4	2313
Port Macquarie		786
Port Macquarie	0	1789
Port Macquarie	1	13057
Port Macquarie	2	11839
Port Macquarie	3	3627
Port Macquarie	4	1889
Port Stephens		395
Port Stephens	0	1157
Port Stephens	1	10643
Port Stephens	2	11199
Port Stephens	3	3774
Port Stephens	4	2398
Prospect		401
Prospect	0	1838
Prospect	1	9723
Prospect	2	10068
Prospect	3	3519
Prospect	4	2023
Riverstone		367
Riverstone	0	980
Riverstone	1	12360
Riverstone	2	15753
Riverstone	3	4606
Riverstone	4	2250
Rockdale		611
Rockdale	0	4872
Rockdale	1	16300
Rockdale	2	9315
Rockdale	3	2527
Rockdale	4	1427
Ryde		453
Ryde	0	5059
Ryde	1	18478
Ryde	2	10399
Ryde	3	2498
Ryde	4	1109
Seven Hills		410
Seven Hills	0	2424
Seven Hills	1	11615
Seven Hills	2	10592
Seven Hills	3	3127
Seven Hills	4	1615
Shellharbour		410
Shellharbour	0	1802
Shellharbour	1	10617
Shellharbour	2	12434
Shellharbour	3	4381
Shellharbour	4	2722
South Coast		546
South Coast	0	1340
South Coast	1	11852
South Coast	2	11457
South Coast	3	3518
South Coast	4	1876
Strathfield		685
Strathfield	0	6438
Strathfield	1	16255
Strathfield	2	9039
Strathfield	3	2468
Strathfield	4	1256
Summer Hill		396
Summer Hill	0	6223
Summer Hill	1	16627
Summer Hill	2	7132
Summer Hill	3	1589
Summer Hill	4	714
Swansea		376
Swansea	0	1484
Swansea	1	10649
Swansea	2	10959
Swansea	3	3623
Swansea	4	2136
Sydney		815
Sydney	0	18754
Sydney	1	18615
Sydney	2	4406
Sydney	3	599
Sydney	4	259
Tamworth		547
Tamworth	0	1722
Tamworth	1	10353
Tamworth	2	11138
Tamworth	3	4005
Tamworth	4	2487
Terrigal		331
Terrigal	0	1264
Terrigal	1	9461
Terrigal	2	11310
Terrigal	3	3859
Terrigal	4	2346
The Entrance		388
The Entrance	0	1784
The Entrance	1	10449
The Entrance	2	10584
The Entrance	3	3385
The Entrance	4	2068
Tweed		527
Tweed	0	1882
Tweed	1	12361
Tweed	2	11506
Tweed	3	3472
Tweed	4	1872
Upper Hunter		456
Upper Hunter	0	1172
Upper Hunter	1	8723
Upper Hunter	2	11054
Upper Hunter	3	4536
Upper Hunter	4	2956
Vaucluse		423
Vaucluse	0	4897
Vaucluse	1	14642
Vaucluse	2	9186
Vaucluse	3	1999
Vaucluse	4	1000
Wagga Wagga		480
Wagga Wagga	0	1776
Wagga Wagga	1	10315
Wagga Wagga	2	11398
Wagga Wagga	3	4094
Wagga Wagga	4	2293
Wakehurst		329
Wakehurst	0	2139
Wakehurst	1	10378
Wakehurst	2	10865
Wakehurst	3	3502
Wakehurst	4	1998
Wallsend		394
Wallsend	0	2146
Wallsend	1	11496
Wallsend	2	12320
Wallsend	3	3804
Wallsend	4	2054
Willoughby		306
Willoughby	0	4305
Willoughby	1	16250
Willoughby	2	9321
Willoughby	3	1989
Willoughby	4	731
Wollondilly		342
Wollondilly	0	829
Wollondilly	1	7762
Wollondilly	2	10948
Wollondilly	3	4674
Wollondilly	4	4149
Wollongong		502
Wollongong	0	3972
Wollongong	1	13918
Wollongong	2	10551
Wollongong	3	3394
Wollongong	4	1822
Wyong		486
Wyong	0	1764
Wyong	1	10518
Wyong	2	10807
Wyong	3	3803
Wyong	4	2384
Albert Park (Southern Metropolitan)		492
Albert Park (Southern Metropolitan)	0	9587
Albert Park (Southern Metropolitan)	1	20538
Albert Park (Southern Metropolitan)	2	7176
Albert Park (Southern Metropolitan)	3	1063
Albert Park (Southern Metropolitan)	4	399
Altona (Western Metropolitan)		481
Altona (Western Metropolitan)	0	1563
Altona (Western Metropolitan)	1	13188
Altona (Western Metropolitan)	2	15197
Altona (Western Metropolitan)	3	4012
Altona (Western Metropolitan)	4	1804
Bass (Eastern Victoria)		650
Bass (Eastern Victoria)	0	1303
Bass (Eastern Victoria)	1	13209
Bass (Eastern Victoria)	2	17468
Bass (Eastern Victoria)	3	5347
Bass (Eastern Victoria)	4	2751
Bayswater (Eastern Metropolitan)		293
Bayswater (Eastern Metropolitan)	0	1085
Bayswater (Eastern Metropolitan)	1	8680
Bayswater (Eastern Metropolitan)	2	9929
Bayswater (Eastern Metropolitan)	3	2969
Bayswater (Eastern Metropolitan)	4	1490
Bellarine (Western Victoria)		333
Bellarine (Western Victoria)	0	677
Bellarine (Western Victoria)	1	9263
Bellarine (Western Victoria)	2	11861
Bellarine (Western Victoria)	3	3588
Bellarine (Western Victoria)	4	1920
Benambra (Northern Victoria)		565
Benambra (Northern Victoria)	0	1043
Benambra (Northern Victoria)	1	8333
Benambra (Northern Victoria)	2	10621
Benambra (Northern Victoria)	3	3823
Benambra (Northern Victoria)	4	2352
Bendigo East (Northern Victoria)		309
Bendigo East (Northern Victoria)	0	1144
Bendigo East (Northern Victoria)	1	8725
Bendigo East (Northern Victoria)	2	10695
Bendigo East (Northern Victoria)	3	3798
Bendigo East (Northern Victoria)	4	2341
Bendigo West (Northern Victoria)		386
Bendigo West (Northern Victoria)	0	1443
Bendigo West (Northern Victoria)	1	9388
Bendigo West (Northern Victoria)	2	9052
Bendigo West (Northern Victoria)	3	3278
Bendigo West (Northern Victoria)	4	1972
Bentleigh (Southern Metropolitan)		239
Bentleigh (Southern Metropolitan)	0	1559
Bentleigh (Southern Metropolitan)	1	9410
Bentleigh (Southern Metropolitan)	2	9922
Bentleigh (Southern Metropolitan)	3	2431
Bentleigh (Southern Metropolitan)	4	1043
Box Hill (Eastern Metropolitan)		366
Box Hill (Eastern Metropolitan)	0	2864
Box Hill (Eastern Metropolitan)	1	11887
Box Hill (Eastern Metropolitan)	2	9555
Box Hill (Eastern Metropolitan)	3	2329
Box Hill (Eastern Metropolitan)	4	1064
Brighton (Southern Metropolitan)		233
Brighton (Southern Metropolitan)	0	1632
Brighton (Southern Metropolitan)	1	10310
Brighton (Southern Metropolitan)	2	9080
Brighton (Southern Metropolitan)	3	2272
Brighton (Southern Metropolitan)	4	1073
Broadmeadows (Northern Metropolitan)		529
Broadmeadows (Northern Metropolitan)	0	2142
Broadmeadows (Northern Metropolitan)	1	8609
Broadmeadows (Northern Metropolitan)	2	7501
Broadmeadows (Northern Metropolitan)	3	2670
Broadmeadows (Northern Metropolitan)	4	1567
Brunswick (Northern Metropolitan)		343
Brunswick (Northern Metropolitan)	0	5638
Brunswick (Northern Metropolitan)	1	16561
Brunswick (Northern Metropolitan)	2	7309
Brunswick (Northern Metropolitan)	3	1733
Brunswick (Northern Metropolitan)	4	725
Bulleen (Eastern Metropolitan)		246
Bulleen (Eastern Metropolitan)	0	1290
Bulleen (Eastern Metropolitan)	1	8863
Bulleen (Eastern Metropolitan)	2	10082
Bulleen (Eastern Metropolitan)	3	2871
Bulleen (Eastern Metropolitan)	4	1517
Bundoora (Northern Metropolitan)		294
Bundoora (Northern Metropolitan)	0	1456
Bundoora (Northern Metropolitan)	1	7947
Bundoora (Northern Metropolitan)	2	8698
Bundoora (Northern Metropolitan)	3	2629
Bundoora (Northern Metropolitan)	4	1367
Buninyong (Western Victoria)		344
Buninyong (Western Victoria)	0	1068
Buninyong (Western Victoria)	1	7835
Buninyong (Western Victoria)	2	9423
Buninyong (Western Victoria)	3	3856
Buninyong (Western Victoria)	4	2683
Burwood (Southern Metropolitan)		289
Burwood (Southern Metropolitan)	0	1753
Burwood (Southern Metropolitan)	1	9256
Burwood (Southern Metropolitan)	2	9722
Burwood (Southern Metropolitan)	3	2543
Burwood (Southern Metropolitan)	4	1172
Carrum (South-Eastern Metropolitan)		374
Carrum (South-Eastern Metropolitan)	0	1411
Carrum (South-Eastern Metropolitan)	1	9847
Carrum (South-Eastern Metropolitan)	2	11123
Carrum (South-Eastern Metropolitan)	3	3215
Carrum (South-Eastern Metropolitan)	4	1547
Caulfield (Southern Metropolitan)		321
Caulfield (Southern Metropolitan)	0	3066
Caulfield (Southern Metropolitan)	1	12658
Caulfield (Southern Metropolitan)	2	8885
Caulfield (Southern Metropolitan)	3	1759
Caulfield (Southern Metropolitan)	4	814
Clarinda (South-Eastern Metropolitan)		414
Clarinda (South-Eastern Metropolitan)	0	2230
Clarinda (South-Eastern Metropolitan)	1	10346
Clarinda (South-Eastern Metropolitan)	2	9610
Clarinda (South-Eastern Metropolitan)	3	2757
Clarinda (South-Eastern Metropolitan)	4	1338
Cranbourne (South-Eastern Metropolitan)		524
Cranbourne (South-Eastern Metropolitan)	0	1068
Cranbourne (South-Eastern Metropolitan)	1	11133
Cranbourne (South-Eastern Metropolitan)	2	17810
Cranbourne (South-Eastern Metropolitan)	3	5709
Cranbourne (South-Eastern Metropolitan)	4	2731
Croydon (Eastern Metropolitan)		219
Croydon (Eastern Metropolitan)	0	1080
Croydon (Eastern Metropolitan)	1	8397
Croydon (Eastern Metropolitan)	2	9760
Croydon (Eastern Metropolitan)	3	2633
Croydon (Eastern Metropolitan)	4	1514
Dandenong (South-Eastern Metropolitan)		572
Dandenong (South-Eastern Metropolitan)	0	2245
Dandenong (South-Eastern Metropolitan)	1	9619
Dandenong (South-Eastern Metropolitan)	2	8575
Dandenong (South-Eastern Metropolitan)	3	2851
Dandenong (South-Eastern Metropolitan)	4	1558
Eildon (Northern Victoria)		342
Eildon (Northern Victoria)	0	601
Eildon (Northern Victoria)	1	6454
Eildon (Northern Victoria)	2	8807
Eildon (Northern Victoria)	3	3952
Eildon (Northern Victoria)	4	2968
Eltham (Eastern Metropolitan)		146
Eltham (Eastern Metropolitan)	0	482
Eltham (Eastern Metropolitan)	1	5878
Eltham (Eastern Metropolitan)	2	9619
Eltham (Eastern Metropolitan)	3	3064
Eltham (Eastern Metropolitan)	4	1966
Essendon (Western Metropolitan)		371
Essendon (Western Metropolitan)	0	3537
Essendon (Western Metropolitan)	1	12907
Essendon (Western Metropolitan)	2	8465
Essendon (Western Metropolitan)	3	2122
Essendon (Western Metropolitan)	4	1073
Euroa (Northern Victoria)		596
Euroa (Northern Victoria)	0	1052
Euroa (Northern Victoria)	1	8088
Euroa (Northern Victoria)	2	9629
Euroa (Northern Victoria)	3	4297
Euroa (Northern Victoria)	4	2988
Evelyn (Eastern Victoria)		178
Evelyn (Eastern Victoria)	0	621
Evelyn (Eastern Victoria)	1	5722
Evelyn (Eastern Victoria)	2	9044
Evelyn (Eastern Victoria)	3	3485
Evelyn (Eastern Victoria)	4	2470
Ferntree Gully (Eastern Metropolitan)		208
Ferntree Gully (Eastern Metropolitan)	0	930
Ferntree Gully (Eastern Metropolitan)	1	6853
Ferntree Gully (Eastern Metropolitan)	2	9342
Ferntree Gully (Eastern Metropolitan)	3	2918
Ferntree Gully (Eastern Metropolitan)	4	1539
Footscray (Western Metropolitan)		513
Footscray (Western Metropolitan)	0	3859
Footscray (Western Metropolitan)	1	14588
Footscray (Western Metropolitan)	2	9288
Footscray (Western Metropolitan)	3	2536
Footscray (Western Metropolitan)	4	1110
Forest Hill (Eastern Metropolitan)		239
Forest Hill (Eastern Metropolitan)	0	1274
Forest Hill (Eastern Metropolitan)	1	7514
Forest Hill (Eastern Metropolitan)	2	9274
Forest Hill (Eastern Metropolitan)	3	2506
Forest Hill (Eastern Metropolitan)	4	1223
Frankston (South-Eastern Metropolitan)		371
Frankston (South-Eastern Metropolitan)	0	1927
Frankston (South-Eastern Metropolitan)	1	9579
Frankston (South-Eastern Metropolitan)	2	9043
Frankston (South-Eastern Metropolitan)	3	2575
Frankston (South-Eastern Metropolitan)	4	1204
Geelong (Western Victoria)		351
Geelong (Western Victoria)	0	2218
Geelong (Western Victoria)	1	11583
Geelong (Western Victoria)	2	9982
Geelong (Western Victoria)	3	2554
Geelong (Western Victoria)	4	1236
Gembrook (Eastern Victoria)		306
Gembrook (Eastern Victoria)	0	713
Gembrook (Eastern Victoria)	1	8023
Gembrook (Eastern Victoria)	2	12329
Gembrook (Eastern Victoria)	3	4350
Gembrook (Eastern Victoria)	4	2927
Gippsland East (Eastern Victoria)		540
Gippsland East (Eastern Victoria)	0	1011
Gippsland East (Eastern Victoria)	1	8261
Gippsland East (Eastern Victoria)	2	9707
Gippsland East (Eastern Victoria)	3	3772
Gippsland East (Eastern Victoria)	4	2263
Gippsland South (Eastern Victoria)		423
Gippsland South (Eastern Victoria)	0	967
Gippsland South (Eastern Victoria)	1	7706
Gippsland South (Eastern Victoria)	2	8785
Gippsland South (Eastern Victoria)	3	3393
Gippsland South (Eastern Victoria)	4	2246
Hastings (Eastern Victoria)		289
Hastings (Eastern Victoria)	0	796
Hastings (Eastern Victoria)	1	7614
Hastings (Eastern Victoria)	2	10254
Hastings (Eastern Victoria)	3	4097
Hastings (Eastern Victoria)	4	3054
Hawthorn (Southern Metropolitan)		229
Hawthorn (Southern Metropolitan)	0	2590
Hawthorn (Southern Metropolitan)	1	11813
Hawthorn (Southern Metropolitan)	2	8326
Hawthorn (Southern Metropolitan)	3	2031
Hawthorn (Southern Metropolitan)	4	955
Ivanhoe (Eastern Metropolitan)		268
Ivanhoe (Eastern Metropolitan)	0	1843
Ivanhoe (Eastern Metropolitan)	1	10380
Ivanhoe (Eastern Metropolitan)	2	9812
Ivanhoe (Eastern Metropolitan)	3	2475
Ivanhoe (Eastern Metropolitan)	4	1095
Kew (Southern Metropolitan)		207
Kew (Southern Metropolitan)	0	1167
Kew (Southern Metropolitan)	1	8227
Kew (Southern Metropolitan)	2	9155
Kew (Southern Metropolitan)	3	2651
Kew (Southern Metropolitan)	4	1314
Keysborough (South-Eastern Metropolitan)		338
Keysborough (South-Eastern Metropolitan)	0	1351
Keysborough (South-Eastern Metropolitan)	1	7159
Keysborough (South-Eastern Metropolitan)	2	9544
Keysborough (South-Eastern Metropolitan)	3	3688
Keysborough (South-Eastern Metropolitan)	4	1956
Kororoit (Western Metropolitan)		461
Kororoit (Western Metropolitan)	0	1135
Kororoit (Western Metropolitan)	1	8708
Kororoit (Western Metropolitan)	2	12916
Kororoit (Western Metropolitan)	3	4501
Kororoit (Western Metropolitan)	4	2343
Lara (Western Victoria)		431
Lara (Western Victoria)	0	1850
Lara (Western Victoria)	1	9449
Lara (Western Victoria)	2	9442
