SED_NAME16	BornAust	Sex	persons
Albury	0	F	4598
Albury	0	M	4424
Albury	1	F	35865
Albury	1	M	34332
Auburn	0	F	33053
Auburn	0	M	36365
Auburn	1	F	19523
Auburn	1	M	21218
Ballina	0	F	7407
Ballina	0	M	6409
Ballina	1	F	32096
Ballina	1	M	30056
Balmain	0	F	14665
Balmain	0	M	13548
Balmain	1	F	26409
Balmain	1	M	24614
Bankstown	0	F	22290
Bankstown	0	M	21971
Bankstown	1	F	21562
Bankstown	1	M	21637
Barwon	0	F	2031
Barwon	0	M	1816
Barwon	1	F	30082
Barwon	1	M	30114
Bathurst	0	F	3869
Bathurst	0	M	3907
Bathurst	1	F	33415
Bathurst	1	M	33817
Baulkham Hills	0	F	20061
Baulkham Hills	0	M	18460
Baulkham Hills	1	F	23947
Baulkham Hills	1	M	24284
Bega	0	F	5287
Bega	0	M	4662
Bega	1	F	30691
Bega	1	M	29809
Blacktown	0	F	21837
Blacktown	0	M	21650
Blacktown	1	F	21320
Blacktown	1	M	21964
Blue Mountains	0	F	6713
Blue Mountains	0	M	6034
Blue Mountains	1	F	29290
Blue Mountains	1	M	27725
Cabramatta	0	F	25181
Cabramatta	0	M	22233
Cabramatta	1	F	15603
Cabramatta	1	M	17089
Camden	0	F	15702
Camden	0	M	15153
Camden	1	F	48795
Camden	1	M	47468
Campbelltown	0	F	12506
Campbelltown	0	M	11648
Campbelltown	1	F	27663
Campbelltown	1	M	26880
Canterbury	0	F	22731
Canterbury	0	M	22068
Canterbury	1	F	21708
Canterbury	1	M	22444
Castle Hill	0	F	21403
Castle Hill	0	M	20087
Castle Hill	1	F	30231
Castle Hill	1	M	30058
Cessnock	0	F	3570
Cessnock	0	M	3494
Cessnock	1	F	38433
Cessnock	1	M	38309
Charlestown	0	F	4531
Charlestown	0	M	4050
Charlestown	1	F	33190
Charlestown	1	M	31661
Clarence	0	F	3143
Clarence	0	M	2746
Clarence	1	F	32699
Clarence	1	M	32651
Coffs Harbour	0	F	6560
Coffs Harbour	0	M	5698
Coffs Harbour	1	F	31789
Coffs Harbour	1	M	29991
Coogee	0	F	17115
Coogee	0	M	14634
