SED_NAME21	medianTotalPersonalIncome
Albury	38948
Auburn	35776
Ballina	38948
Balmain	69472
Bankstown	27664
Barwon	34788
Bathurst	38168
Baulkham Hills	51584
Bega	32760
Blacktown	39000
Blue Mountains	41704
Cabramatta	25428
Camden	50440
Campbelltown	36764
Canterbury	37336
Castle Hill	54860
Cessnock	38012
Charlestown	43836
Clarence	30524
Coffs Harbour	35776
Coogee	73892
Cootamundra	33748
Cronulla	56732
Davidson	56108
Drummoyne	58708
Dubbo	41756
East Hills	38116
Epping	48620
Fairfield	24544
Gosford	38012
Goulburn	41756
Granville	35308
Hawkesbury	45032
Heathcote	51636
Heffron	59696
Holsworthy	39780
Hornsby	49452
Keira	41392
Kiama	39780
Kogarah	38376
Ku-ring-gai	56160
Lake Macquarie	37284
Lakemba	27248
Lane Cove	66456
Lismore	32500
Liverpool	30524
Londonderry	42588
Macquarie Fields	40924
Maitland	41704
Manly	69524
Maroubra	51220
Miranda	50284
Monaro	55380
Mount Druitt	37128
Mulgoa	46644
Murray	38688
Myall Lakes	29588
Newcastle	48724
Newtown	62192
North Shore	82056
Northern Tablelands	34788
Oatley	44252
Orange	40820
Oxley	29328
Parramatta	45188
Penrith	44616
Pittwater	54392
Port Macquarie	33280
Port Stephens	34216
Prospect	35880
Riverstone	55068
Rockdale	45136
Ryde	47216
Seven Hills	45344
Shellharbour	36972
South Coast	31824
Strathfield	42900
Summer Hill	54340
Swansea	35464
Sydney	67444
Tamworth	39000
Terrigal	41756
The Entrance	38064
Tweed	34944
Upper Hunter	38324
Vaucluse	78884
Wagga Wagga	41964
Wakehurst	52260
Wallsend	39208
Willoughby	63596
Wollondilly	43888
Wollongong	36608
Wyong	36244
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	85748
Albert Park (Southern Metropolitan)	65572
Altona (Western Metropolitan)	46540
Bass (Eastern Victoria)	39416
Bayswater (Eastern Metropolitan)	42536
Bellarine (Western Victoria)	39208
Benambra (Northern Victoria)	40664
Bendigo East (Northern Victoria)	40092
Bendigo West (Northern Victoria)	36452
Bentleigh (Southern Metropolitan)	49140
Box Hill (Eastern Metropolitan)	42328
Brighton (Southern Metropolitan)	63544
Broadmeadows (Northern Metropolitan)	25272
Brunswick (Northern Metropolitan)	55224
Bulleen (Eastern Metropolitan)	38740
Bundoora (Northern Metropolitan)	38948
Buninyong (Western Victoria)	38064
Burwood (Southern Metropolitan)	45032
Carrum (South-Eastern Metropolitan)	44356
Caulfield (Southern Metropolitan)	57928
Clarinda (South-Eastern Metropolitan)	36400
Cranbourne (South-Eastern Metropolitan)	42224
Croydon (Eastern Metropolitan)	43264
Dandenong (South-Eastern Metropolitan)	31512
Eildon (Northern Victoria)	37076
Eltham (Eastern Metropolitan)	50076
Essendon (Western Metropolitan)	54860
Euroa (Northern Victoria)	34996
Evelyn (Eastern Victoria)	42900
Ferntree Gully (Eastern Metropolitan)	39832
Footscray (Western Metropolitan)	41652
Forest Hill (Eastern Metropolitan)	37492
Frankston (South-Eastern Metropolitan)	39208
Geelong (Western Victoria)	42640
Gembrook (Eastern Victoria)	45292
Gippsland East (Eastern Victoria)	32032
Gippsland South (Eastern Victoria)	33904
Hastings (Eastern Victoria)	41340
Hawthorn (Southern Metropolitan)	61724
Ivanhoe (Eastern Metropolitan)	49608
Kew (Southern Metropolitan)	51532
Keysborough (South-Eastern Metropolitan)	35100
Kororoit (Western Metropolitan)	37492
Lara (Western Victoria)	35204
Lowan (Western Victoria)	36920
Macedon (Northern Victoria)	42744
Malvern (Southern Metropolitan)	63596
Melbourne (Northern Metropolitan)	46696
Melton (Western Victoria)	37804
Mildura (Northern Victoria)	35672
Mill Park (Northern Metropolitan)	39156
Monbulk (Eastern Victoria)	44928
Mordialloc (South-Eastern Metropolitan)	48828
Mornington (Eastern Victoria)	42744
Morwell (Eastern Victoria)	35204
Mount Waverley (Eastern Metropolitan)	39468
Mulgrave (South-Eastern Metropolitan)	36036
Murray Plains (Northern Victoria)	35152
Narracan (Eastern Victoria)	36608
Narre Warren North (South-Eastern Metropolitan)	37284
Narre Warren South (South-Eastern Metropolitan)	39364
Nepean (Eastern Victoria)	37284
Niddrie (Western Metropolitan)	41860
Northcote (Northern Metropolitan)	57252
Oakleigh (Southern Metropolitan)	44616
Ovens Valley (Northern Victoria)	36192
Pascoe Vale (Northern Metropolitan)	45968
Polwarth (Western Victoria)	38740
Prahran (Southern Metropolitan)	69160
Preston (Northern Metropolitan)	40352
Richmond (Northern Metropolitan)	70096
Ringwood (Eastern Metropolitan)	45188
Ripon (Western Victoria)	32500
Rowville (South-Eastern Metropolitan)	43576
Sandringham (Southern Metropolitan)	54756
Shepparton (Northern Victoria)	36504
South Barwon (Western Victoria)	46072
South-West Coast (Western Victoria)	38116
St Albans (Western Metropolitan)	28496
Sunbury (Western Metropolitan)	42588
Sydenham (Western Metropolitan)	40560
Tarneit (Western Metropolitan)	43056
Thomastown (Northern Metropolitan)	32812
Warrandyte (Eastern Metropolitan)	40768
Wendouree (Western Victoria)	38740
Werribee (Western Metropolitan)	40768
Williamstown (Western Metropolitan)	57980
Yan Yean (Northern Victoria)	46436
Yuroke (Northern Metropolitan)	37128
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	114400
Algester	41756
Aspley	48048
Bancroft	39260
Barron River	44408
Bonney	35932
Broadwater	39936
Buderim	41288
Bulimba	62504
Bundaberg	31356
Bundamba	38740
Burdekin	45656
Burleigh	43576
Burnett	30680
Cairns	40300
Callide	35932
Caloundra	38324
Capalaba	42484
Chatsworth	53196
Clayfield	59852
Condamine	39988
Cook	34320
Coomera	44616
Cooper	59384
Currumbin	40560
Everton	53040
Ferny Grove	53300
Gaven	39208
