SED_NAME21	Age	Sex	persons
Albury	0-4	F	2498
Albury	0-4	M	2603
Albury	5-14	F	5135
Albury	5-14	M	5453
Albury	15-19	F	2484
Albury	15-19	M	2547
Albury	20-24	F	2295
Albury	20-24	M	2330
Albury	25-34	F	4997
Albury	25-34	M	4898
Albury	35-44	F	5088
Albury	35-44	M	4723
Albury	45-54	F	5243
Albury	45-54	M	4946
Albury	55-64	F	5748
Albury	55-64	M	5481
Albury	65-74	F	5262
Albury	65-74	M	5108
Albury	75-84	F	3171
Albury	75-84	M	2780
Albury	85+	F	1350
Albury	85+	M	858
Auburn	0-4	F	3638
Auburn	0-4	M	3969
Auburn	5-14	F	6207
Auburn	5-14	M	6304
Auburn	15-19	F	2604
Auburn	15-19	M	2769
Auburn	20-24	F	4824
Auburn	20-24	M	5719
Auburn	25-34	F	12685
Auburn	25-34	M	14938
Auburn	35-44	F	8277
Auburn	35-44	M	10011
Auburn	45-54	F	6021
Auburn	45-54	M	6531
Auburn	55-64	F	5726
Auburn	55-64	M	5682
Auburn	65-74	F	3655
Auburn	65-74	M	3623
Auburn	75-84	F	1710
Auburn	75-84	M	1666
Auburn	85+	F	725
Auburn	85+	M	554
Ballina	0-4	F	1915
Ballina	0-4	M	2024
Ballina	5-14	F	4568
Ballina	5-14	M	4845
Ballina	15-19	F	1984
Ballina	15-19	M	2137
Ballina	20-24	F	1737
Ballina	20-24	M	1627
Ballina	25-34	F	4902
Ballina	25-34	M	4232
Ballina	35-44	F	5444
Ballina	35-44	M	4952
Ballina	45-54	F	5925
Ballina	45-54	M	5174
Ballina	55-64	F	6151
Ballina	55-64	M	5555
Ballina	65-74	F	5701
Ballina	65-74	M	5507
Ballina	75-84	F	2970
Ballina	75-84	M	2631
Ballina	85+	F	1520
Ballina	85+	M	900
Balmain	0-4	F	2173
Balmain	0-4	M	2252
Balmain	5-14	F	3928
Balmain	5-14	M	4085
Balmain	15-19	F	1612
Balmain	15-19	M	1664
Balmain	20-24	F	3002
Balmain	20-24	M	2546
Balmain	25-34	F	8018
Balmain	25-34	M	7403
Balmain	35-44	F	7285
Balmain	35-44	M	7035
Balmain	45-54	F	6156
Balmain	45-54	M	5795
Balmain	55-64	F	4711
Balmain	55-64	M	4345
Balmain	65-74	F	3758
Balmain	65-74	M	3192
Balmain	75-84	F	1760
Balmain	75-84	M	1475
Balmain	85+	F	650
Balmain	85+	M	426
Bankstown	0-4	F	3556
Bankstown	0-4	M	3604
Bankstown	5-14	F	6470
Bankstown	5-14	M	6844
Bankstown	15-19	F	2973
Bankstown	15-19	M	3227
Bankstown	20-24	F	3299
Bankstown	20-24	M	3483
Bankstown	25-34	F	7332
Bankstown	25-34	M	7316
Bankstown	35-44	F	6198
Bankstown	35-44	M	6203
Bankstown	45-54	F	5611
Bankstown	45-54	M	5376
Bankstown	55-64	F	5156
Bankstown	55-64	M	5187
Bankstown	65-74	F	3658
Bankstown	65-74	M	3498
Bankstown	75-84	F	1958
Bankstown	75-84	M	1802
Bankstown	85+	F	1173
Bankstown	85+	M	746
Barwon	0-4	F	2175
Barwon	0-4	M	2322
Barwon	5-14	F	4659
Barwon	5-14	M	4853
Barwon	15-19	F	1980
Barwon	15-19	M	2089
Barwon	20-24	F	1715
Barwon	20-24	M	1872
Barwon	25-34	F	4616
Barwon	25-34	M	4201
Barwon	35-44	F	3984
Barwon	35-44	M	3778
Barwon	45-54	F	4452
Barwon	45-54	M	4387
Barwon	55-64	F	5308
Barwon	55-64	M	5413
Barwon	65-74	F	4223
Barwon	65-74	M	4674
Barwon	75-84	F	2698
Barwon	75-84	M	2498
Barwon	85+	F	1264
Barwon	85+	M	772
Bathurst	0-4	F	2059
Bathurst	0-4	M	2215
Bathurst	5-14	F	5006
Bathurst	5-14	M	5227
Bathurst	15-19	F	2303
Bathurst	15-19	M	2582
Bathurst	20-24	F	2121
Bathurst	20-24	M	2440
Bathurst	25-34	F	4617
Bathurst	25-34	M	4877
Bathurst	35-44	F	4356
Bathurst	35-44	M	4553
Bathurst	45-54	F	5163
Bathurst	45-54	M	4983
Bathurst	55-64	F	5486
Bathurst	55-64	M	5454
Bathurst	65-74	F	4787
Bathurst	65-74	M	4870
Bathurst	75-84	F	2784
Bathurst	75-84	M	2657
Bathurst	85+	F	1230
Bathurst	85+	M	715
Baulkham Hills	0-4	F	2302
Baulkham Hills	0-4	M	2419
Baulkham Hills	5-14	F	6290
Baulkham Hills	5-14	M	6746
Baulkham Hills	15-19	F	2560
Baulkham Hills	15-19	M	2814
Baulkham Hills	20-24	F	2438
Baulkham Hills	20-24	M	2711
Baulkham Hills	25-34	F	4392
Baulkham Hills	25-34	M	4195
Baulkham Hills	35-44	F	7289
Baulkham Hills	35-44	M	6667
Baulkham Hills	45-54	F	6168
Baulkham Hills	45-54	M	5835
Baulkham Hills	55-64	F	5379
Baulkham Hills	55-64	M	5040
Baulkham Hills	65-74	F	4700
Baulkham Hills	65-74	M	4191
Baulkham Hills	75-84	F	2502
Baulkham Hills	75-84	M	2417
Baulkham Hills	85+	F	925
Baulkham Hills	85+	M	627
Bega	0-4	F	1534
Bega	0-4	M	1630
Bega	5-14	F	3824
Bega	5-14	M	4064
Bega	15-19	F	1712
Bega	15-19	M	1947
Bega	20-24	F	1243
Bega	20-24	M	1384
Bega	25-34	F	3181
Bega	25-34	M	3023
Bega	35-44	F	3614
Bega	35-44	M	3279
Bega	45-54	F	4763
Bega	45-54	M	4348
Bega	55-64	F	7035
Bega	55-64	M	6229
Bega	65-74	F	6951
Bega	65-74	M	7095
Bega	75-84	F	3615
Bega	75-84	M	3490
Bega	85+	F	1532
Bega	85+	M	1047
Blacktown	0-4	F	3082
Blacktown	0-4	M	3226
Blacktown	5-14	F	5675
Blacktown	5-14	M	6048
Blacktown	15-19	F	2408
Blacktown	15-19	M	2674
Blacktown	20-24	F	3177
Blacktown	20-24	M	3666
Blacktown	25-34	F	7599
Blacktown	25-34	M	7798
Blacktown	35-44	F	7097
Blacktown	35-44	M	7368
Blacktown	45-54	F	5316
Blacktown	45-54	M	5336
Blacktown	55-64	F	4836
Blacktown	55-64	M	4757
Blacktown	65-74	F	3812
Blacktown	65-74	M	3442
Blacktown	75-84	F	1926
Blacktown	75-84	M	1623
Blacktown	85+	F	885
Blacktown	85+	M	514
Blue Mountains	0-4	F	1770
Blue Mountains	0-4	M	1831
Blue Mountains	5-14	F	4386
Blue Mountains	5-14	M	4578
Blue Mountains	15-19	F	1999
Blue Mountains	15-19	M	2245
Blue Mountains	20-24	F	1439
Blue Mountains	20-24	M	1667
Blue Mountains	25-34	F	3414
Blue Mountains	25-34	M	3285
Blue Mountains	35-44	F	4653
Blue Mountains	35-44	M	4256
Blue Mountains	45-54	F	5233
Blue Mountains	45-54	M	4834
Blue Mountains	55-64	F	5516
Blue Mountains	55-64	M	4826
Blue Mountains	65-74	F	5153
Blue Mountains	65-74	M	4651
Blue Mountains	75-84	F	2704
Blue Mountains	75-84	M	2178
Blue Mountains	85+	F	1034
Blue Mountains	85+	M	610
Cabramatta	0-4	F	2057
Cabramatta	0-4	M	2148
Cabramatta	5-14	F	4907
Cabramatta	5-14	M	5506
Cabramatta	15-19	F	2884
Cabramatta	15-19	M	3023
Cabramatta	20-24	F	3043
Cabramatta	20-24	M	3155
Cabramatta	25-34	F	5445
Cabramatta	25-34	M	5655
Cabramatta	35-44	F	5410
Cabramatta	35-44	M	4616
Cabramatta	45-54	F	5943
Cabramatta	45-54	M	5257
Cabramatta	55-64	F	5866
Cabramatta	55-64	M	5815
Cabramatta	65-74	F	4292
Cabramatta	65-74	M	3980
Cabramatta	75-84	F	1963
Cabramatta	75-84	M	1730
Cabramatta	85+	F	1071
Cabramatta	85+	M	671
Camden	0-4	F	5806
Camden	0-4	M	6232
Camden	5-14	F	10083
Camden	5-14	M	10548
Camden	15-19	F	4098
Camden	15-19	M	4201
Camden	20-24	F	3919
Camden	20-24	M	3841
Camden	25-34	F	11198
Camden	25-34	M	9979
Camden	35-44	F	10344
Camden	35-44	M	10141
Camden	45-54	F	7907
Camden	45-54	M	7868
Camden	55-64	F	6016
Camden	55-64	M	5524
Camden	65-74	F	4280
Camden	65-74	M	3902
Camden	75-84	F	2054
Camden	75-84	M	1868
Camden	85+	F	870
Camden	85+	M	573
Campbelltown	0-4	F	2956
Campbelltown	0-4	M	2965
Campbelltown	5-14	F	5696
Campbelltown	5-14	M	6107
Campbelltown	15-19	F	2645
Campbelltown	15-19	M	2750
Campbelltown	20-24	F	2798
Campbelltown	20-24	M	2931
Campbelltown	25-34	F	6359
Campbelltown	25-34	M	5865
Campbelltown	35-44	F	5889
Campbelltown	35-44	M	5751
Campbelltown	45-54	F	4925
Campbelltown	45-54	M	4662
Campbelltown	55-64	F	4881
Campbelltown	55-64	M	4422
Campbelltown	65-74	F	4097
Campbelltown	65-74	M	3557
Campbelltown	75-84	F	1935
Campbelltown	75-84	M	1729
Campbelltown	85+	F	621
Campbelltown	85+	M	341
Canterbury	0-4	F	2448
Canterbury	0-4	M	2686
Canterbury	5-14	F	4704
Canterbury	5-14	M	5161
Canterbury	15-19	F	2266
Canterbury	15-19	M	2508
Canterbury	20-24	F	3044
Canterbury	20-24	M	3358
Canterbury	25-34	F	7262
Canterbury	25-34	M	7808
Canterbury	35-44	F	6789
Canterbury	35-44	M	6868
Canterbury	45-54	F	6563
Canterbury	45-54	M	6318
Canterbury	55-64	F	5599
Canterbury	55-64	M	5429
Canterbury	65-74	F	4138
Canterbury	65-74	M	3614
Canterbury	75-84	F	2774
Canterbury	75-84	M	2373
Canterbury	85+	F	1342
Canterbury	85+	M	1009
Castle Hill	0-4	F	3134
Castle Hill	0-4	M	3254
Castle Hill	5-14	F	7981
Castle Hill	5-14	M	8540
Castle Hill	15-19	F	3696
Castle Hill	15-19	M	3848
