SED_NAME16	Age	MaritalStatus	Registered	adults
Albury	15-19	Married	0	85
Albury	15-19	Never married		4390
Albury	20-24	Married	0	911
Albury	20-24	Married	1	108
Albury	20-24	Never married		3010
Albury	25-34	Married	0	2343
Albury	25-34	Married	1	3011
Albury	25-34	Never married		3552
Albury	35-44	Married	0	1366
Albury	35-44	Married	1	5067
Albury	35-44	Never married		2461
Albury	45-54	Married	0	1150
Albury	45-54	Married	1	5271
Albury	45-54	Never married		2871
Albury	55-64	Married	0	905
Albury	55-64	Married	1	5998
Albury	55-64	Never married		3179
Albury	65-74	Married	0	455
Albury	65-74	Married	1	5628
Albury	65-74	Never married		2958
Albury	75-84	Married	0	151
Albury	75-84	Married	1	2859
Albury	75-84	Never married		2120
Albury	85+	Married	0	16
Albury	85+	Married	1	533
Albury	85+	Never married		1010
Auburn	15-19	Married	0	18
Auburn	15-19	Married	1	15
Auburn	15-19	Never married		4961
Auburn	20-24	Married	0	667
Auburn	20-24	Married	1	837
Auburn	20-24	Never married		8109
Auburn	25-34	Married	0	3153
Auburn	25-34	Married	1	9866
Auburn	25-34	Never married		12173
Auburn	35-44	Married	0	1157
Auburn	35-44	Married	1	10071
Auburn	35-44	Never married		5291
Auburn	45-54	Married	0	523
Auburn	45-54	Married	1	6973
Auburn	45-54	Never married		3968
Auburn	55-64	Married	0	368
Auburn	55-64	Married	1	6563
Auburn	55-64	Never married		3665
Auburn	65-74	Married	0	151
Auburn	65-74	Married	1	4247
Auburn	65-74	Never married		2343
Auburn	75-84	Married	0	43
Auburn	75-84	Married	1	1798
Auburn	75-84	Never married		1220
Auburn	85+	Married	0	8
Auburn	85+	Married	1	344
Auburn	85+	Never married		662
Ballina	15-19	Married	0	47
Ballina	15-19	Never married		3677
Ballina	20-24	Married	0	405
Ballina	20-24	Married	1	58
Ballina	20-24	Never married		2386
Ballina	25-34	Married	0	2263
Ballina	25-34	Married	1	1668
Ballina	25-34	Never married		3997
Ballina	35-44	Married	0	2024
Ballina	35-44	Married	1	4277
Ballina	35-44	Never married		2937
Ballina	45-54	Married	0	1688
Ballina	45-54	Married	1	4962
Ballina	45-54	Never married		3321
Ballina	55-64	Married	0	1362
Ballina	55-64	Married	1	5340
Ballina	55-64	Never married		3689
Ballina	65-74	Married	0	852
Ballina	65-74	Married	1	5603
Ballina	65-74	Never married		3510
Ballina	75-84	Married	0	193
Ballina	75-84	Married	1	2781
Ballina	75-84	Never married		2019
Ballina	85+	Married	0	18
Ballina	85+	Married	1	592
Ballina	85+	Never married		1091
Balmain	15-19	Married	0	5
Balmain	15-19	Never married		2914
Balmain	20-24	Married	0	607
Balmain	20-24	Married	1	32
Balmain	20-24	Never married		3924
Balmain	25-34	Married	0	4637
Balmain	25-34	Married	1	2723
Balmain	25-34	Never married		6240
Balmain	35-44	Married	0	2765
Balmain	35-44	Married	1	6881
Balmain	35-44	Never married		3483
Balmain	45-54	Married	0	1806
Balmain	45-54	Married	1	5864
Balmain	45-54	Never married		3314
Balmain	55-64	Married	0	1150
Balmain	55-64	Married	1	3896
Balmain	55-64	Never married		3170
Balmain	65-74	Married	0	624
Balmain	65-74	Married	1	2958
Balmain	65-74	Never married		2661
Balmain	75-84	Married	0	168
Balmain	75-84	Married	1	1232
Balmain	75-84	Never married		1439
Balmain	85+	Married	0	9
Balmain	85+	Married	1	236
Balmain	85+	Never married		534
Bankstown	15-19	Married	0	11
Bankstown	15-19	Married	1	14
Bankstown	15-19	Never married		5704
Bankstown	20-24	Married	0	244
Bankstown	20-24	Married	1	527
Bankstown	20-24	Never married		5352
Bankstown	25-34	Married	0	1051
Bankstown	25-34	Married	1	5560
Bankstown	25-34	Never married		6587
Bankstown	35-44	Married	0	618
Bankstown	35-44	Married	1	7071
Bankstown	35-44	Never married		3438
Bankstown	45-54	Married	0	544
Bankstown	45-54	Married	1	6089
Bankstown	45-54	Never married		3365
Bankstown	55-64	Married	0	355
Bankstown	55-64	Married	1	5691
Bankstown	55-64	Never married		3560
Bankstown	65-74	Married	0	157
Bankstown	65-74	Married	1	3838
Bankstown	65-74	Never married		2525
Bankstown	75-84	Married	0	51
Bankstown	75-84	Married	1	1852
Bankstown	75-84	Never married		1386
Bankstown	85+	Married	0	12
Bankstown	85+	Married	1	469
Bankstown	85+	Never married		877
Barwon	15-19	Married	0	128
Barwon	15-19	Married	1	4
Barwon	15-19	Never married		3171
Barwon	20-24	Married	0	704
Barwon	20-24	Married	1	70
Barwon	20-24	Never married		2066
Barwon	25-34	Married	0	2133
