SED_NAME16	MaxSchoolingCompleted	adults
Albury	Did not go to school	480
Albury	Year 8	3261
Albury	Year 9	5446
Albury	Year 10	17867
Albury	Year 11	7840
Albury	Year 12	29081
Auburn	Did not go to school	3846
Auburn	Year 8	4926
Auburn	Year 9	3294
Auburn	Year 10	8928
Auburn	Year 11	3611
Auburn	Year 12	64211
Ballina	Did not go to school	167
Ballina	Year 8	2042
Ballina	Year 9	3874
Ballina	Year 10	15716
Ballina	Year 11	4722
Ballina	Year 12	36676
Balmain	Did not go to school	398
Balmain	Year 8	1298
Balmain	Year 9	1632
Balmain	Year 10	5744
Balmain	Year 11	2563
Balmain	Year 12	55085
Bankstown	Did not go to school	2659
Bankstown	Year 8	4609
Bankstown	Year 9	3489
Bankstown	Year 10	10615
Bankstown	Year 11	3679
Bankstown	Year 12	41898
Barwon	Did not go to school	280
Barwon	Year 8	4029
Barwon	Year 9	5899
Barwon	Year 10	17770
Barwon	Year 11	4350
Barwon	Year 12	19027
Bathurst	Did not go to school	226
Bathurst	Year 8	2947
Bathurst	Year 9	5399
Bathurst	Year 10	19497
Bathurst	Year 11	4681
Bathurst	Year 12	27075
Baulkham Hills	Did not go to school	445
Baulkham Hills	Year 8	1373
Baulkham Hills	Year 9	2491
Baulkham Hills	Year 10	9353
Baulkham Hills	Year 11	3124
Baulkham Hills	Year 12	51902
Bega	Did not go to school	183
Bega	Year 8	2919
Bega	Year 9	5104
Bega	Year 10	18558
Bega	Year 11	5575
Bega	Year 12	27527
Blacktown	Did not go to school	1204
Blacktown	Year 8	3196
Blacktown	Year 9	3635
Blacktown	Year 10	12276
Blacktown	Year 11	3683
Blacktown	Year 12	44821
Blue Mountains	Did not go to school	146
Blue Mountains	Year 8	1309
Blue Mountains	Year 9	3032
Blue Mountains	Year 10	13482
Blue Mountains	Year 11	3741
Blue Mountains	Year 12	35541
Cabramatta	Did not go to school	5589
Cabramatta	Year 8	6271
Cabramatta	Year 9	3793
Cabramatta	Year 10	9965
Cabramatta	Year 11	3740
Cabramatta	Year 12	35692
Camden	Did not go to school	854
Camden	Year 8	3149
Camden	Year 9	5712
Camden	Year 10	24286
Camden	Year 11	6627
Camden	Year 12	53794
Campbelltown	Did not go to school	687
Campbelltown	Year 8	2741
Campbelltown	Year 9	4876
Campbelltown	Year 10	16130
Campbelltown	Year 11	4763
Campbelltown	Year 12	32167
Canterbury	Did not go to school	2328
Canterbury	Year 8	5078
Canterbury	Year 9	3035
Canterbury	Year 10	9727
Canterbury	Year 11	3301
Canterbury	Year 12	49831
Castle Hill	Did not go to school	366
Castle Hill	Year 8	1526
Castle Hill	Year 9	3029
Castle Hill	Year 10	11908
Castle Hill	Year 11	3843
Castle Hill	Year 12	58024
Cessnock	Did not go to school	249
Cessnock	Year 8	3210
Cessnock	Year 9	7017
Cessnock	Year 10	23689
Cessnock	Year 11	5680
Cessnock	Year 12	24460
Charlestown	Did not go to school	182
Charlestown	Year 8	2070
Charlestown	Year 9	4631
Charlestown	Year 10	16406
Charlestown	Year 11	4035
Charlestown	Year 12	31525
Clarence	Did not go to school	197
Clarence	Year 8	3562
Clarence	Year 9	6309
Clarence	Year 10	21668
Clarence	Year 11	4799
Clarence	Year 12	21201
Coffs Harbour	Did not go to school	525
Coffs Harbour	Year 8	2833
Coffs Harbour	Year 9	5048
Coffs Harbour	Year 10	18255
Coffs Harbour	Year 11	5002
