SED_NAME16	PrivateDwelling	Sex	persons
Albury	0	F	3391
Albury	0	M	3526
Albury	1	F	39596
Albury	1	M	37814
Auburn	0	F	3415
Auburn	0	M	5058
Auburn	1	F	52493
Auburn	1	M	56642
Ballina	0	F	4164
Ballina	0	M	3892
Ballina	1	F	38911
Ballina	1	M	35897
Balmain	0	F	2796
Balmain	0	M	2929
Balmain	1	F	39481
Balmain	1	M	36663
Bankstown	0	F	3670
Bankstown	0	M	4077
Bankstown	1	F	43652
Bankstown	1	M	43150
Barwon	0	F	6202
Barwon	0	M	6999
Barwon	1	F	31787
Barwon	1	M	31565
Bathurst	0	F	3257
Bathurst	0	M	5013
Bathurst	1	F	36633
Bathurst	1	M	35804
Baulkham Hills	0	F	1459
Baulkham Hills	0	M	1163
Baulkham Hills	1	F	43579
Baulkham Hills	1	M	42377
Bega	0	F	4069
Bega	0	M	4148
Bega	1	F	35378
Bega	1	M	33870
Blacktown	0	F	2847
Blacktown	0	M	2828
Blacktown	1	F	42994
Blacktown	1	M	43559
Blue Mountains	0	F	1747
Blue Mountains	0	M	1593
Blue Mountains	1	F	35495
Blue Mountains	1	M	33299
Cabramatta	0	F	2060
Cabramatta	0	M	1984
Cabramatta	1	F	40527
Cabramatta	1	M	39279
Camden	0	F	2294
Camden	0	M	2135
Camden	1	F	64159
Camden	1	M	62242
Campbelltown	0	F	2737
Campbelltown	0	M	2542
Campbelltown	1	F	40020
Campbelltown	1	M	38512
Canterbury	0	F	2586
Canterbury	0	M	2582
Canterbury	1	F	43995
Canterbury	1	M	44230
Castle Hill	0	F	1118
Castle Hill	0	M	1127
Castle Hill	1	F	51473
Castle Hill	1	M	49772
Cessnock	0	F	2208
Cessnock	0	M	3619
Cessnock	1	F	41602
Cessnock	1	M	39929
Charlestown	0	F	1589
Charlestown	0	M	1380
Charlestown	1	F	37102
Charlestown	1	M	35046
Clarence	0	F	4036
Clarence	0	M	4990
Clarence	1	F	35520
Clarence	1	M	34182
Coffs Harbour	0	F	3400
Coffs Harbour	0	M	3200
Coffs Harbour	1	F	37840
Coffs Harbour	1	M	35158
Coogee	0	F	3175
Coogee	0	M	2951
Coogee	1	F	39638
Coogee	1	M	35887
Cootamundra	0	F	3130
Cootamundra	0	M	4451
Cootamundra	1	F	32885
Cootamundra	1	M	32083
Cronulla	0	F	1240
Cronulla	0	M	1157
Cronulla	1	F	38250
Cronulla	1	M	36823
Davidson	0	F	1112
Davidson	0	M	844
Davidson	1	F	40214
Davidson	1	M	38096
Drummoyne	0	F	2072
Drummoyne	0	M	1827
Drummoyne	1	F	40706
Drummoyne	1	M	37332
Dubbo	0	F	4125
Dubbo	0	M	4810
Dubbo	1	F	37583
Dubbo	1	M	36127
East Hills	0	F	1936
East Hills	0	M	1798
East Hills	1	F	39912
East Hills	1	M	38781
Epping	0	F	1650
Epping	0	M	1092
Epping	1	F	43673
Epping	1	M	41355
Fairfield	0	F	2852
Fairfield	0	M	2826
Fairfield	1	F	44003
Fairfield	1	M	43163
Gosford	0	F	2763
Gosford	0	M	2444
Gosford	1	F	37868
Gosford	1	M	35746
Goulburn	0	F	3451
Goulburn	0	M	4467
Goulburn	1	F	37930
Goulburn	1	M	36787
Granville	0	F	3568
Granville	0	M	4027
Granville	1	F	46980
Granville	1	M	49151
Hawkesbury	0	F	1920
Hawkesbury	0	M	1928
Hawkesbury	1	F	37060
Hawkesbury	1	M	36897
Heathcote	0	F	1265
Heathcote	0	M	968
Heathcote	1	F	38014
Heathcote	1	M	36622
Heffron	0	F	4168
Heffron	0	M	4888
Heffron	1	F	52859
Heffron	1	M	55309
Holsworthy	0	F	2513
Holsworthy	0	M	2906
Holsworthy	1	F	42816
Holsworthy	1	M	41852
Hornsby	0	F	1161
