SED_NAME16	Age	MaxSchoolingCompleted	Sex	adults
Albury	15-19		F	143
Albury	15-19		M	154
Albury	15-19	Did not go to school	M	3
Albury	15-19	Year 8 or below	F	5
Albury	15-19	Year 8 or below	M	19
Albury	15-19	Year 9	F	44
Albury	15-19	Year 9	M	90
Albury	15-19	Year 10	F	183
Albury	15-19	Year 10	M	340
Albury	15-19	Year 11	F	133
Albury	15-19	Year 11	M	200
Albury	15-19	Year 12	F	489
Albury	15-19	Year 12	M	391
Albury	20-24		F	146
Albury	20-24		M	182
Albury	20-24	Did not go to school	F	8
Albury	20-24	Did not go to school	M	4
Albury	20-24	Year 8 or below	F	15
Albury	20-24	Year 8 or below	M	9
Albury	20-24	Year 9	F	43
Albury	20-24	Year 9	M	58
Albury	20-24	Year 10	F	222
Albury	20-24	Year 10	M	437
Albury	20-24	Year 11	F	230
Albury	20-24	Year 11	M	334
Albury	20-24	Year 12	F	1626
Albury	20-24	Year 12	M	1299
Albury	25-34		F	305
Albury	25-34		M	387
Albury	25-34	Did not go to school	F	19
Albury	25-34	Did not go to school	M	30
Albury	25-34	Year 8 or below	F	53
Albury	25-34	Year 8 or below	M	60
Albury	25-34	Year 9	F	90
Albury	25-34	Year 9	M	151
Albury	25-34	Year 10	F	646
Albury	25-34	Year 10	M	1038
Albury	25-34	Year 11	F	389
Albury	25-34	Year 11	M	537
Albury	25-34	Year 12	F	3488
Albury	25-34	Year 12	M	2682
Albury	35-44		F	316
Albury	35-44		M	382
Albury	35-44	Did not go to school	F	37
Albury	35-44	Did not go to school	M	25
Albury	35-44	Year 8 or below	F	89
Albury	35-44	Year 8 or below	M	101
Albury	35-44	Year 9	F	111
Albury	35-44	Year 9	M	187
Albury	35-44	Year 10	F	724
Albury	35-44	Year 10	M	1050
Albury	35-44	Year 11	F	386
Albury	35-44	Year 11	M	474
Albury	35-44	Year 12	F	3425
Albury	35-44	Year 12	M	2507
Albury	45-54		F	299
Albury	45-54		M	391
Albury	45-54	Did not go to school	F	62
Albury	45-54	Did not go to school	M	49
Albury	45-54	Year 8 or below	F	75
Albury	45-54	Year 8 or below	M	110
Albury	45-54	Year 9	F	194
Albury	45-54	Year 9	M	249
Albury	45-54	Year 10	F	1265
Albury	45-54	Year 10	M	1459
Albury	45-54	Year 11	F	654
Albury	45-54	Year 11	M	670
Albury	45-54	Year 12	F	2694
Albury	45-54	Year 12	M	2002
Albury	55-64		F	370
Albury	55-64		M	390
Albury	55-64	Did not go to school	F	43
Albury	55-64	Did not go to school	M	43
Albury	55-64	Year 8 or below	F	146
Albury	55-64	Year 8 or below	M	251
Albury	55-64	Year 9	F	387
Albury	55-64	Year 9	M	491
Albury	55-64	Year 10	F	1993
Albury	55-64	Year 10	M	2068
Albury	55-64	Year 11	F	780
Albury	55-64	Year 11	M	657
Albury	55-64	Year 12	F	2025
Albury	55-64	Year 12	M	1578
Albury	65-74		F	385
Albury	65-74		M	398
Albury	65-74	Did not go to school	F	25
Albury	65-74	Did not go to school	M	39
Albury	65-74	Year 8 or below	F	322
Albury	65-74	Year 8 or below	M	428
Albury	65-74	Year 9	F	645
Albury	65-74	Year 9	M	662
Albury	65-74	Year 10	F	1800
Albury	65-74	Year 10	M	1572
Albury	65-74	Year 11	F	591
Albury	65-74	Year 11	M	487
Albury	65-74	Year 12	F	1479
Albury	65-74	Year 12	M	1519
Albury	75-84		F	398
Albury	75-84		M	273
Albury	75-84	Did not go to school	F	31
Albury	75-84	Did not go to school	M	29
Albury	75-84	Year 8 or below	F	378
Albury	75-84	Year 8 or below	M	401
Albury	75-84	Year 9	F	429
Albury	75-84	Year 9	M	450
Albury	75-84	Year 10	F	1030
Albury	75-84	Year 10	M	758
Albury	75-84	Year 11	F	252
Albury	75-84	Year 11	M	219
Albury	75-84	Year 12	F	647
Albury	75-84	Year 12	M	644
Albury	85+		F	207
Albury	85+		M	132
Albury	85+	Did not go to school	F	13
Albury	85+	Did not go to school	M	9
Albury	85+	Year 8 or below	F	303
Albury	85+	Year 8 or below	M	194
Albury	85+	Year 9	F	220
Albury	85+	Year 9	M	136
Albury	85+	Year 10	F	355
Albury	85+	Year 10	M	150
Albury	85+	Year 11	F	62
Albury	85+	Year 11	M	50
Albury	85+	Year 12	F	193
Albury	85+	Year 12	M	177
Auburn	15-19		F	166
Auburn	15-19		M	208
Auburn	15-19	Did not go to school	F	4
Auburn	15-19	Did not go to school	M	5
Auburn	15-19	Year 8 or below	F	10
Auburn	15-19	Year 8 or below	M	7
Auburn	15-19	Year 9	F	13
Auburn	15-19	Year 9	M	33
Auburn	15-19	Year 10	F	90
Auburn	15-19	Year 10	M	159
Auburn	15-19	Year 11	F	62
Auburn	15-19	Year 11	M	112
Auburn	15-19	Year 12	F	837
Auburn	15-19	Year 12	M	771
Auburn	20-24		F	382
Auburn	20-24		M	579
Auburn	20-24	Did not go to school	F	36
Auburn	20-24	Did not go to school	M	55
Auburn	20-24	Year 8 or below	F	30
Auburn	20-24	Year 8 or below	M	37
Auburn	20-24	Year 9	F	17
Auburn	20-24	Year 9	M	60
Auburn	20-24	Year 10	F	121
Auburn	20-24	Year 10	M	228
Auburn	20-24	Year 11	F	112
Auburn	20-24	Year 11	M	209
Auburn	20-24	Year 12	F	4087
Auburn	20-24	Year 12	M	4510
Auburn	25-34		F	977
Auburn	25-34		M	1605
Auburn	25-34	Did not go to school	F	204
Auburn	25-34	Did not go to school	M	384
Auburn	25-34	Year 8 or below	F	121
Auburn	25-34	Year 8 or below	M	262
Auburn	25-34	Year 9	F	122
Auburn	25-34	Year 9	M	265
Auburn	25-34	Year 10	F	393
Auburn	25-34	Year 10	M	759
Auburn	25-34	Year 11	F	323
