SED_NAME21	OnlyEnglishSpokenHome	persons
Albury	0	5488
Albury	1	74011
Auburn	0	83260
Auburn	1	24451
Ballina	0	5663
Ballina	1	70544
Balmain	0	17417
Balmain	1	61602
Bankstown	0	61824
Bankstown	1	24415
Barwon	0	2289
Barwon	1	62320
Bathurst	0	3746
Bathurst	1	70515
Baulkham Hills	0	39091
Baulkham Hills	1	47203
Bega	0	2817
Bega	1	68271
Blacktown	0	45664
Blacktown	1	40552
Blue Mountains	0	4737
Blue Mountains	1	64968
Cabramatta	0	60493
Cabramatta	1	18486
Camden	0	30723
Camden	1	95460
Campbelltown	0	22592
Campbelltown	1	55566
Canterbury	0	54853
Canterbury	1	33092
Castle Hill	0	38968
Castle Hill	1	62212
Cessnock	0	3584
Cessnock	1	78727
Charlestown	0	4785
Charlestown	1	68523
Clarence	0	2049
Clarence	1	68764
Coffs Harbour	0	7229
Coffs Harbour	1	66787
Coogee	0	15896
Coogee	1	62126
Cootamundra	0	2681
Cootamundra	1	63705
Cronulla	0	7517
Cronulla	1	68263
Davidson	0	24297
Davidson	1	54806
Drummoyne	0	30923
Drummoyne	1	47544
Dubbo	0	5005
Dubbo	1	69659
East Hills	0	36877
East Hills	1	41845
Epping	0	45767
Epping	1	39875
Fairfield	0	66216
Fairfield	1	19759
Gosford	0	8394
Gosford	1	65852
Goulburn	0	4284
Goulburn	1	71838
Granville	0	66056
Granville	1	28867
Hawkesbury	0	6124
Hawkesbury	1	68511
Heathcote	0	7630
Heathcote	1	67660
Heffron	0	49044
Heffron	1	61618
Holsworthy	0	41227
Holsworthy	1	43737
Hornsby	0	25035
Hornsby	1	56366
Keira	0	10347
Keira	1	68661
Kiama	0	3906
Kiama	1	70713
Kogarah	0	60635
Kogarah	1	28145
Ku-ring-gai	0	31411
Ku-ring-gai	1	52862
Lake Macquarie	0	3690
Lake Macquarie	1	72588
Lakemba	0	65325
Lakemba	1	22912
Lane Cove	0	27272
Lane Cove	1	58178
Lismore	0	3568
Lismore	1	66769
Liverpool	0	57851
Liverpool	1	31659
Londonderry	0	36115
Londonderry	1	74835
Macquarie Fields	0	51884
Macquarie Fields	1	53956
Maitland	0	4969
Maitland	1	81723
Manly	0	12718
Manly	1	67626
Maroubra	0	27685
Maroubra	1	54014
Miranda	0	16533
Miranda	1	60509
Monaro	0	9881
Monaro	1	70142
Mount Druitt	0	43544
Mount Druitt	1	43833
Mulgoa	0	26742
Mulgoa	1	57367
Murray	0	9328
Murray	1	68829
Myall Lakes	0	2595
Myall Lakes	1	67767
Newcastle	0	6421
Newcastle	1	69343
Newtown	0	19658
Newtown	1	55576
North Shore	0	17621
North Shore	1	57878
Northern Tablelands	0	4544
Northern Tablelands	1	65953
Oatley	0	33371
Oatley	1	42299
Orange	0	4116
Orange	1	71592
Oxley	0	2325
Oxley	1	68855
Parramatta	0	65323
Parramatta	1	40323
Penrith	0	11365
Penrith	1	68073
Pittwater	0	6692
Pittwater	1	65550
Port Macquarie	0	3342
Port Macquarie	1	73647
Port Stephens	0	3053
Port Stephens	1	69358
Prospect	0	50058
Prospect	1	33413
Riverstone	0	58343
Riverstone	1	58185
Rockdale	0	49540
Rockdale	1	38269
Ryde	0	54881
Ryde	1	40907
Seven Hills	0	36086
Seven Hills	1	46260
Shellharbour	0	9219
Shellharbour	1	75300
South Coast	0	3972
South Coast	1	67856
Strathfield	0	62834
Strathfield	1	33821
Summer Hill	0	28532
Summer Hill	1	48829
Swansea	0	2502
Swansea	1	68448
Sydney	0	31835
Sydney	1	54481
Tamworth	0	4138
Tamworth	1	70710
Terrigal	0	4664
Terrigal	1	69605
The Entrance	0	4820
The Entrance	1	67297
Tweed	0	4122
Tweed	1	71915
Upper Hunter	0	2470
Upper Hunter	1	70820
Vaucluse	0	15281
Vaucluse	1	60420
Wagga Wagga	0	6778
Wagga Wagga	1	70677
Wakehurst	0	17917
Wakehurst	1	62606
Wallsend	0	10970
Wallsend	1	71937
Willoughby	0	31022
Willoughby	1	52899
Wollondilly	0	5356
Wollondilly	1	73888
Wollongong	0	19707
Wollongong	1	60971
Wyong	0	5824
Wyong	1	72005
No usual address (NSW)	0	1150
No usual address (NSW)	1	6417
Albert Park (Southern Metropolitan)	0	23045
Albert Park (Southern Metropolitan)	1	52980
Altona (Western Metropolitan)	0	46944
Altona (Western Metropolitan)	1	56453
Bass (Eastern Victoria)	0	28337
Bass (Eastern Victoria)	1	81160
Bayswater (Eastern Metropolitan)	0	13888
Bayswater (Eastern Metropolitan)	1	48066
Bellarine (Western Victoria)	0	3374
Bellarine (Western Victoria)	1	64516
Benambra (Northern Victoria)	0	3761
Benambra (Northern Victoria)	1	62617
Bendigo East (Northern Victoria)	0	4705
Bendigo East (Northern Victoria)	1	63791
Bendigo West (Northern Victoria)	0	3598
