SED_NAME21	BornAust	persons
Albury	0	9022
Albury	1	70199
Auburn	0	69419
Auburn	1	40742
Ballina	0	13825
Ballina	1	62152
Balmain	0	28215
Balmain	1	51020
Bankstown	0	44255
Bankstown	1	43204
Barwon	0	3847
Barwon	1	60197
Bathurst	0	7781
Bathurst	1	67239
Baulkham Hills	0	38520
Baulkham Hills	1	48233
Bega	0	9947
Bega	1	60502
Blacktown	0	43487
Blacktown	1	43283
Blue Mountains	0	12751
Blue Mountains	1	57008
Cabramatta	0	47412
Cabramatta	1	32694
Camden	0	30856
Camden	1	96259
Campbelltown	0	24155
Campbelltown	1	54542
Canterbury	0	44802
Canterbury	1	44151
Castle Hill	0	41492
Castle Hill	1	60289
Cessnock	0	7067
Cessnock	1	76744
Charlestown	0	8579
Charlestown	1	64849
Clarence	0	5889
Clarence	1	65353
Coffs Harbour	0	12260
Coffs Harbour	1	61784
Coogee	0	31749
Coogee	1	46908
Cootamundra	0	4855
Cootamundra	1	61708
Cronulla	0	12836
Cronulla	1	63232
Davidson	0	32375
Davidson	1	46948
Drummoyne	0	31451
Drummoyne	1	47326
Dubbo	0	7229
Dubbo	1	68002
East Hills	0	28486
East Hills	1	50744
Epping	0	45039
Epping	1	41474
Fairfield	0	53117
Fairfield	1	34270
Gosford	0	15843
Gosford	1	58350
Goulburn	0	9780
Goulburn	1	66506
Granville	0	54855
Granville	1	41101
Hawkesbury	0	10854
Hawkesbury	1	63862
Heathcote	0	12829
Heathcote	1	63122
Heffron	0	59113
Heffron	1	52031
Holsworthy	0	33653
Holsworthy	1	52298
Hornsby	0	30345
Hornsby	1	51417
Keira	0	15459
Keira	1	63901
Kiama	0	10878
Kiama	1	64569
Kogarah	0	51970
Kogarah	1	38118
Ku-ring-gai	0	38140
Ku-ring-gai	1	46700
Lake Macquarie	0	8990
Lake Macquarie	1	67529
Lakemba	0	47389
Lakemba	1	41796
Lane Cove	0	33453
Lane Cove	1	52880
Lismore	0	8220
Lismore	1	61775
Liverpool	0	46598
Liverpool	1	43922
Londonderry	0	37066
Londonderry	1	75577
Macquarie Fields	0	47050
Macquarie Fields	1	60161
Maitland	0	8290
Maitland	1	78446
Manly	0	28380
Manly	1	52245
Maroubra	0	33765
Maroubra	1	49531
Miranda	0	19417
Miranda	1	58018
Monaro	0	14581
Monaro	1	65639
Mount Druitt	0	40870
Mount Druitt	1	47248
Mulgoa	0	24826
Mulgoa	1	59799
Murray	0	10833
Murray	1	66785
Myall Lakes	0	7563
Myall Lakes	1	62347
Newcastle	0	10911
Newcastle	1	65041
Newtown	0	29417
Newtown	1	46035
North Shore	0	31176
North Shore	1	44579
Northern Tablelands	0	7618
Northern Tablelands	1	62545
Oatley	0	28614
Oatley	1	47666
Orange	0	6644
Orange	1	68652
Oxley	0	7114
Oxley	1	64020
Parramatta	0	61616
Parramatta	1	44702
Penrith	0	16664
Penrith	1	62995
Pittwater	0	18031
Pittwater	1	54616
Port Macquarie	0	10352
Port Macquarie	1	66284
Port Stephens	0	9410
Port Stephens	1	62975
Prospect	0	43555
Prospect	1	41071
Riverstone	0	56735
Riverstone	1	61673
Rockdale	0	44106
Rockdale	1	44682
Ryde	0	53256
Ryde	1	43162
Seven Hills	0	35859
Seven Hills	1	46883
Shellharbour	0	15151
Shellharbour	1	69560
South Coast	0	10229
South Coast	1	61121
Strathfield	0	58023
Strathfield	1	39244
Summer Hill	0	30589
Summer Hill	1	47134
Swansea	0	7518
Swansea	1	63333
Sydney	0	46342
Sydney	1	40664
Tamworth	0	6220
Tamworth	1	68397
Terrigal	0	13937
Terrigal	1	60686
The Entrance	0	10958
The Entrance	1	61353
Tweed	0	12921
Tweed	1	63069
Upper Hunter	0	6199
Upper Hunter	1	66920
Vaucluse	0	31494
Vaucluse	1	44646
Wagga Wagga	0	8867
Wagga Wagga	1	68456
Wakehurst	0	26884
Wakehurst	1	54053
Wallsend	0	13777
Wallsend	1	69467
Willoughby	0	37760
Willoughby	1	46494
Wollondilly	0	11629
Wollondilly	1	67560
Wollongong	0	22195
Wollongong	1	58666
Wyong	0	11545
Wyong	1	66544
No usual address (NSW)	0	1908
No usual address (NSW)	1	5912
Albert Park (Southern Metropolitan)	0	32763
Albert Park (Southern Metropolitan)	1	43384
Altona (Western Metropolitan)	0	49057
Altona (Western Metropolitan)	1	54820
Bass (Eastern Victoria)	0	33461
Bass (Eastern Victoria)	1	76052
Bayswater (Eastern Metropolitan)	0	17409
Bayswater (Eastern Metropolitan)	1	44943
Bellarine (Western Victoria)	0	9531
Bellarine (Western Victoria)	1	58303
Benambra (Northern Victoria)	0	7444
Benambra (Northern Victoria)	1	58804
Bendigo East (Northern Victoria)	0	6761
Bendigo East (Northern Victoria)	1	61612
Bendigo West (Northern Victoria)	0	6739
Bendigo West (Northern Victoria)	1	53092
Bentleigh (Southern Metropolitan)	0	23897
