SED_NAME21	DwellingStructure	DwellingSubtype	NumberBedrooms.min	occupied_private_dwellings
Albury				19
Albury			1	12
Albury			2	13
Albury			3	22
Albury			4	18
Albury			5	5
Albury			6	5
Albury		1 storey		97
Albury		1 storey	0	10
Albury		1 storey	1	497
Albury		1 storey	2	2805
Albury		1 storey	3	626
Albury		1 storey	4	42
Albury		1 storey	5	5
Albury		1 storey	6	5
Albury		2 storeys or more		7
Albury		2 storeys or more	1	126
Albury		2 storeys or more	2	181
Albury		2 storeys or more	3	96
Albury		2 storeys or more	4	16
Albury		2 storeys or more	5	10
Albury	(Other)			15
Albury	(Other)		0	9
Albury	(Other)		1	42
Albury	(Other)		2	41
Albury	(Other)		3	31
Albury	(Other)		4	8
Albury	Flat/apartment	1 or 2 storey block		8
Albury	Flat/apartment	1 or 2 storey block	1	98
Albury	Flat/apartment	1 or 2 storey block	2	115
Albury	Flat/apartment	1 or 2 storey block	3	21
Albury	Flat/apartment	3 storey block	0	4
Albury	Flat/apartment	3 storey block	1	8
Albury	Flat/apartment	3 storey block	2	64
Albury	Flat/apartment	4-8 storey block	2	22
Albury	Flat/apartment	4-8 storey block	3	4
Albury	Flat/apartment	Attached to a house	1	5
Albury	Flat/apartment	Attached to a house	3	3
Albury	Flat/apartment	Attached to a house	4	3
Albury	Separate house			403
Albury	Separate house		0	43
Albury	Separate house		1	283
Albury	Separate house		2	3104
Albury	Separate house		3	13158
Albury	Separate house		4	9318
Albury	Separate house		5	1434
Albury	Separate house		6	288
Auburn				13
Auburn			1	38
Auburn			2	80
Auburn			3	22
Auburn			4	9
Auburn			5	3
Auburn		1 storey		21
Auburn		1 storey	0	31
Auburn		1 storey	1	197
Auburn		1 storey	2	227
Auburn		1 storey	3	149
Auburn		1 storey	4	28
Auburn		2 storeys or more		67
Auburn		2 storeys or more	0	6
Auburn		2 storeys or more	1	193
Auburn		2 storeys or more	2	513
Auburn		2 storeys or more	3	2004
Auburn		2 storeys or more	4	582
Auburn		2 storeys or more	5	69
Auburn		2 storeys or more	6	11
Auburn	(Other)			3
Auburn	(Other)		0	6
Auburn	(Other)		1	11
