SED_NAME21	Age5yr	Indigenous	persons
Albury	0-4		314
Albury	0-4	0	4382
Albury	0-4	1	398
Albury	5-9		348
Albury	5-9	0	4604
Albury	5-9	1	390
Albury	10-14		333
Albury	10-14	0	4581
Albury	10-14	1	337
Albury	15-19		298
Albury	15-19	0	4415
Albury	15-19	1	317
Albury	20-24		285
Albury	20-24	0	4069
Albury	20-24	1	265
Albury	25-29		312
Albury	25-29	0	4518
Albury	25-29	1	206
Albury	30-34		277
Albury	30-34	0	4404
Albury	30-34	1	171
Albury	35-39		310
Albury	35-39	0	4512
Albury	35-39	1	166
Albury	40-44		281
Albury	40-44	0	4407
Albury	40-44	1	140
Albury	45-49		297
Albury	45-49	0	4510
Albury	45-49	1	121
Albury	50-54		293
Albury	50-54	0	4821
Albury	50-54	1	152
Albury	55-59		332
Albury	55-59	0	4977
Albury	55-59	1	109
Albury	60-64		307
Albury	60-64	0	5396
Albury	60-64	1	106
Albury	65+		1057
Albury	65+	0	17272
Albury	65+	1	194
Auburn	0-4		409
Auburn	0-4	0	7146
Auburn	0-4	1	44
Auburn	5-9		432
Auburn	5-9	0	6243
Auburn	5-9	1	52
Auburn	10-14		374
Auburn	10-14	0	5380
Auburn	10-14	1	33
Auburn	15-19		330
Auburn	15-19	0	4992
Auburn	15-19	1	45
Auburn	20-24		612
Auburn	20-24	0	9825
Auburn	20-24	1	100
Auburn	25-29		805
Auburn	25-29	0	12818
Auburn	25-29	1	118
Auburn	30-34		755
Auburn	30-34	0	13026
Auburn	30-34	1	97
Auburn	35-39		632
Auburn	35-39	0	9996
Auburn	35-39	1	85
Auburn	40-44		482
Auburn	40-44	0	7042
Auburn	40-44	1	64
Auburn	45-49		371
Auburn	45-49	0	5909
Auburn	45-49	1	52
Auburn	50-54		329
Auburn	50-54	0	5856
Auburn	50-54	1	39
Auburn	55-59		329
Auburn	55-59	0	5657
Auburn	55-59	1	27
Auburn	60-64		287
Auburn	60-64	0	5091
Auburn	60-64	1	13
Auburn	65+		708
Auburn	65+	0	11187
Auburn	65+	1	47
Ballina	0-4		285
Ballina	0-4	0	3453
Ballina	0-4	1	200
Ballina	5-9		351
Ballina	5-9	0	3924
Ballina	5-9	1	248
Ballina	10-14		349
Ballina	10-14	0	4258
Ballina	10-14	1	296
Ballina	15-19		266
Ballina	15-19	0	3607
Ballina	15-19	1	249
Ballina	20-24		279
Ballina	20-24	0	2877
Ballina	20-24	1	210
Ballina	25-29		347
Ballina	25-29	0	3577
Ballina	25-29	1	149
Ballina	30-34		403
Ballina	30-34	0	4508
Ballina	30-34	1	163
Ballina	35-39		418
Ballina	35-39	0	4686
Ballina	35-39	1	137
Ballina	40-44		383
Ballina	40-44	0	4650
Ballina	40-44	1	120
Ballina	45-49		401
Ballina	45-49	0	5016
Ballina	45-49	1	171
Ballina	50-54		363
Ballina	50-54	0	4999
Ballina	50-54	1	157
Ballina	55-59		354
Ballina	55-59	0	5156
Ballina	55-59	1	113
Ballina	60-64		400
Ballina	60-64	0	5570
Ballina	60-64	1	104
Ballina	65+		1175
Ballina	65+	0	17874
Ballina	65+	1	183
Balmain	0-4		139
Balmain	0-4	0	4205
Balmain	0-4	1	78
Balmain	5-9		159
Balmain	5-9	0	3962
Balmain	5-9	1	85
Balmain	10-14		125
Balmain	10-14	0	3591
Balmain	10-14	1	79
Balmain	15-19		141
Balmain	15-19	0	3062
Balmain	15-19	1	72
Balmain	20-24		327
Balmain	20-24	0	5100
Balmain	20-24	1	119
Balmain	25-29		436
Balmain	25-29	0	6942
Balmain	25-29	1	115
Balmain	30-34		375
Balmain	30-34	0	7475
Balmain	30-34	1	83
Balmain	35-39		341
Balmain	35-39	0	7136
Balmain	35-39	1	75
Balmain	40-44		313
Balmain	40-44	0	6381
Balmain	40-44	1	75
Balmain	45-49		270
Balmain	45-49	0	5959
Balmain	45-49	1	69
Balmain	50-54		241
Balmain	50-54	0	5346
Balmain	50-54	1	73
Balmain	55-59		231
Balmain	55-59	0	4618
Balmain	55-59	1	60
Balmain	60-64		196
Balmain	60-64	0	3900
Balmain	60-64	1	55
Balmain	65+		611
Balmain	65+	0	10548
Balmain	65+	1	105
Bankstown	0-4		489
Bankstown	0-4	0	6616
Bankstown	0-4	1	56
Bankstown	5-9		549
Bankstown	5-9	0	6222
Bankstown	5-9	1	49
Bankstown	10-14		526
Bankstown	10-14	0	5910
Bankstown	10-14	1	56
Bankstown	15-19		427
Bankstown	15-19	0	5735
Bankstown	15-19	1	41
Bankstown	20-24		501
Bankstown	20-24	0	6222
Bankstown	20-24	1	60
Bankstown	25-29		509
Bankstown	25-29	0	6804
Bankstown	25-29	1	50
Bankstown	30-34		510
Bankstown	30-34	0	6749
Bankstown	30-34	1	28
Bankstown	35-39		530
Bankstown	35-39	0	6117
Bankstown	35-39	1	38
Bankstown	40-44		424
Bankstown	40-44	0	5263
Bankstown	40-44	1	25
Bankstown	45-49		422
Bankstown	45-49	0	5221
Bankstown	45-49	1	28
Bankstown	50-54		338
Bankstown	50-54	0	4959
Bankstown	50-54	1	30
Bankstown	55-59		323
Bankstown	55-59	0	5006
Bankstown	55-59	1	37
Bankstown	60-64		258
Bankstown	60-64	0	4701
Bankstown	60-64	1	26
Bankstown	65+		946
Bankstown	65+	0	11834
Bankstown	65+	1	57
Barwon	0-4		527
Barwon	0-4	0	2738
Barwon	0-4	1	1245
Barwon	5-9		646
Barwon	5-9	0	2732
Barwon	5-9	1	1345
Barwon	10-14		637
Barwon	10-14	0	2840
Barwon	10-14	1	1311
Barwon	15-19		507
Barwon	15-19	0	2408
Barwon	15-19	1	1153
Barwon	20-24		472
Barwon	20-24	0	2260
Barwon	20-24	1	863
Barwon	25-29		505
Barwon	25-29	0	3010
Barwon	25-29	1	815
Barwon	30-34		557
Barwon	30-34	0	3192
Barwon	30-34	1	730
Barwon	35-39		539
Barwon	35-39	0	2914
Barwon	35-39	1	613
Barwon	40-44		482
Barwon	40-44	0	2696
Barwon	40-44	1	517
Barwon	45-49		487
Barwon	45-49	0	2962
Barwon	45-49	1	671
Barwon	50-54		602
Barwon	50-54	0	3424
Barwon	50-54	1	698
Barwon	55-59		631
Barwon	55-59	0	3981
Barwon	55-59	1	622
Barwon	60-64		587
Barwon	60-64	0	4316
Barwon	60-64	1	581
Barwon	65+		1842
Barwon	65+	0	13258
Barwon	65+	1	1039
Bathurst	0-4		219
Bathurst	0-4	0	3431
Bathurst	0-4	1	623
Bathurst	5-9		323
Bathurst	5-9	0	3982
Bathurst	5-9	1	630
Bathurst	10-14		340
Bathurst	10-14	0	4320
Bathurst	10-14	1	634
Bathurst	15-19		283
Bathurst	15-19	0	4070
Bathurst	15-19	1	531
Bathurst	20-24		279
Bathurst	20-24	0	3767
Bathurst	20-24	1	513
Bathurst	25-29		244
Bathurst	25-29	0	3887
Bathurst	25-29	1	444
Bathurst	30-34		270
Bathurst	30-34	0	4231
Bathurst	30-34	1	410
Bathurst	35-39		260
Bathurst	35-39	0	4024
Bathurst	35-39	1	286
Bathurst	40-44		282
Bathurst	40-44	0	3762
Bathurst	40-44	1	289
Bathurst	45-49		289
Bathurst	45-49	0	4330
Bathurst	45-49	1	306
Bathurst	50-54		328
Bathurst	50-54	0	4630
Bathurst	50-54	1	273
Bathurst	55-59		301
Bathurst	55-59	0	4923
Bathurst	55-59	1	218
Bathurst	60-64		319
Bathurst	60-64	0	5030
Bathurst	60-64	1	165
Bathurst	65+		1026
Bathurst	65+	0	15669
Bathurst	65+	1	345
Baulkham Hills	0-4		102
Baulkham Hills	0-4	0	4588
Baulkham Hills	0-4	1	27
Baulkham Hills	5-9		130
Baulkham Hills	5-9	0	6520
Baulkham Hills	5-9	1	35
Baulkham Hills	10-14		105
Baulkham Hills	10-14	0	6194
Baulkham Hills	10-14	1	46
Baulkham Hills	15-19		87
