SED_NAME16	Age	MaritalStatus	Sex	responses
Albury	15-19	Divorced	F	4
Albury	15-19	Married	M	5
Albury	15-19	Widowed	F	5
Albury	20-24	Married	F	91
Albury	20-24	Married	M	45
Albury	20-24	Separated	F	12
Albury	20-24	Separated	M	4
Albury	25-34	Divorced	F	137
Albury	25-34	Divorced	M	74
Albury	25-34	Married	F	1869
Albury	25-34	Married	M	1452
Albury	25-34	Separated	F	140
Albury	25-34	Separated	M	74
Albury	25-34	Widowed	F	8
Albury	25-34	Widowed	M	3
Albury	35-44	Divorced	F	429
Albury	35-44	Divorced	M	268
Albury	35-44	Married	F	2912
Albury	35-44	Married	M	2637
Albury	35-44	Separated	F	289
Albury	35-44	Separated	M	213
Albury	35-44	Widowed	F	48
Albury	35-44	Widowed	M	9
Albury	45-54	Divorced	F	831
Albury	45-54	Divorced	M	593
Albury	45-54	Married	F	2949
Albury	45-54	Married	M	2806
Albury	45-54	Separated	F	356
Albury	45-54	Separated	M	315
Albury	45-54	Widowed	F	99
Albury	45-54	Widowed	M	34
Albury	55-64	Divorced	F	1147
Albury	55-64	Divorced	M	818
Albury	55-64	Married	F	3424
Albury	55-64	Married	M	3364
Albury	55-64	Separated	F	304
Albury	55-64	Separated	M	311
Albury	55-64	Widowed	F	275
Albury	55-64	Widowed	M	111
Albury	65-74	Divorced	F	944
Albury	65-74	Divorced	M	786
Albury	65-74	Married	F	3116
Albury	65-74	Married	M	3372
Albury	65-74	Separated	F	227
Albury	65-74	Separated	M	257
Albury	65-74	Widowed	F	717
Albury	65-74	Widowed	M	253
Albury	75-84	Divorced	F	389
Albury	75-84	Divorced	M	302
Albury	75-84	Married	F	1419
Albury	75-84	Married	M	1873
Albury	75-84	Separated	F	64
Albury	75-84	Separated	M	89
Albury	75-84	Widowed	F	1187
Albury	75-84	Widowed	M	372
Albury	85+	Divorced	F	69
Albury	85+	Divorced	M	55
Albury	85+	Married	F	245
Albury	85+	Married	M	465
Albury	85+	Separated	F	6
Albury	85+	Separated	M	12
