SED_NAME16	EduInstitutionType	Sex	students
Albury		F	3005
Albury		M	3205
Albury	Infants/Primary	F	3337
Albury	Infants/Primary	M	3487
Albury	Pre-school	F	876
Albury	Pre-school	M	942
Albury	Secondary	F	2681
Albury	Secondary	M	2599
Albury	Technical or Further Educational Institution	F	1307
Albury	Technical or Further Educational Institution	M	1031
Albury	University or other tertiary	F	1447
Albury	University or other tertiary	M	658
Auburn		F	5164
Auburn		M	7210
Auburn	Infants/Primary	F	4034
Auburn	Infants/Primary	M	4038
Auburn	Pre-school	F	922
Auburn	Pre-school	M	999
Auburn	Secondary	F	2946
Auburn	Secondary	M	2961
Auburn	Technical or Further Educational Institution	F	2135
Auburn	Technical or Further Educational Institution	M	2091
Auburn	University or other tertiary	F	4222
Auburn	University or other tertiary	M	3926
Ballina		F	3577
Ballina		M	3284
Ballina	Infants/Primary	F	2861
Ballina	Infants/Primary	M	3036
Ballina	Pre-school	F	697
Ballina	Pre-school	M	760
Ballina	Secondary	F	2282
Ballina	Secondary	M	2418
Ballina	Technical or Further Educational Institution	F	1157
Ballina	Technical or Further Educational Institution	M	898
Ballina	University or other tertiary	F	1503
Ballina	University or other tertiary	M	712
Balmain		F	2553
Balmain		M	2535
Balmain	Infants/Primary	F	2677
Balmain	Infants/Primary	M	2781
Balmain	Pre-school	F	770
Balmain	Pre-school	M	849
Balmain	Secondary	F	1901
Balmain	Secondary	M	1947
Balmain	Technical or Further Educational Institution	F	1080
Balmain	Technical or Further Educational Institution	M	860
Balmain	University or other tertiary	F	3943
Balmain	University or other tertiary	M	2994
Bankstown		F	4615
Bankstown		M	5064
Bankstown	Infants/Primary	F	4016
Bankstown	Infants/Primary	M	4176
Bankstown	Pre-school	F	883
Bankstown	Pre-school	M	1011
Bankstown	Secondary	F	3374
Bankstown	Secondary	M	3418
Bankstown	Technical or Further Educational Institution	F	1323
Bankstown	Technical or Further Educational Institution	M	1136
Bankstown	University or other tertiary	F	2485
Bankstown	University or other tertiary	M	2287
Barwon		F	4952
Barwon		M	4871
Barwon	Infants/Primary	F	2808
Barwon	Infants/Primary	M	2910
Barwon	Pre-school	F	703
Barwon	Pre-school	M	775
Barwon	Secondary	F	2009
Barwon	Secondary	M	1898
Barwon	Technical or Further Educational Institution	F	881
Barwon	Technical or Further Educational Institution	M	575
Barwon	University or other tertiary	F	792
Barwon	University or other tertiary	M	269
Bathurst		F	2709
Bathurst		M	4105
Bathurst	Infants/Primary	F	3149
Bathurst	Infants/Primary	M	3307
Bathurst	Pre-school	F	766
Bathurst	Pre-school	M	847
Bathurst	Secondary	F	2598
Bathurst	Secondary	M	2686
Bathurst	Technical or Further Educational Institution	F	1149
Bathurst	Technical or Further Educational Institution	M	885
Bathurst	University or other tertiary	F	1468
Bathurst	University or other tertiary	M	787
Baulkham Hills		F	1493
Baulkham Hills		M	1323
Baulkham Hills	Infants/Primary	F	4307
Baulkham Hills	Infants/Primary	M	4674
Baulkham Hills	Pre-school	F	1000
Baulkham Hills	Pre-school	M	1072
Baulkham Hills	Secondary	F	3249
Baulkham Hills	Secondary	M	3381
Baulkham Hills	Technical or Further Educational Institution	F	1105
Baulkham Hills	Technical or Further Educational Institution	M	850
Baulkham Hills	University or other tertiary	F	2644
Baulkham Hills	University or other tertiary	M	2474
Bega		F	3030
Bega		M	2950
Bega	Infants/Primary	F	2384
Bega	Infants/Primary	M	2534
Bega	Pre-school	F	527
Bega	Pre-school	M	585
Bega	Secondary	F	1948
Bega	Secondary	M	2012
Bega	Technical or Further Educational Institution	F	845
Bega	Technical or Further Educational Institution	M	692
Bega	University or other tertiary	F	831
Bega	University or other tertiary	M	315
Blacktown		F	3535
Blacktown		M	3707
Blacktown	Infants/Primary	F	3707
Blacktown	Infants/Primary	M	3829
Blacktown	Pre-school	F	874
Blacktown	Pre-school	M	964
Blacktown	Secondary	F	2716
Blacktown	Secondary	M	3008
Blacktown	Technical or Further Educational Institution	F	1567
Blacktown	Technical or Further Educational Institution	M	1338
Blacktown	University or other tertiary	F	2640
Blacktown	University or other tertiary	M	2067
Blue Mountains		F	1604
Blue Mountains		M	1394
Blue Mountains	Infants/Primary	F	2834
Blue Mountains	Infants/Primary	M	2983
Blue Mountains	Pre-school	F	723
Blue Mountains	Pre-school	M	774
Blue Mountains	Secondary	F	2428
Blue Mountains	Secondary	M	2535
Blue Mountains	Technical or Further Educational Institution	F	1051
Blue Mountains	Technical or Further Educational Institution	M	850
Blue Mountains	University or other tertiary	F	1817
Blue Mountains	University or other tertiary	M	1141
Cabramatta		F	3154
Cabramatta		M	3004
Cabramatta	Infants/Primary	F	3049
Cabramatta	Infants/Primary	M	3342
Cabramatta	Pre-school	F	520
Cabramatta	Pre-school	M	622
Cabramatta	Secondary	F	3126
Cabramatta	Secondary	M	3254
Cabramatta	Technical or Further Educational Institution	F	1058
Cabramatta	Technical or Further Educational Institution	M	952
Cabramatta	University or other tertiary	F	2251
Cabramatta	University or other tertiary	M	1830
Camden		F	2983
Camden		M	2853
Camden	Infants/Primary	F	6921
Camden	Infants/Primary	M	6953
Camden	Pre-school	F	1893
Camden	Pre-school	M	2136
Camden	Secondary	F	4688
Camden	Secondary	M	4879
Camden	Technical or Further Educational Institution	F	1693
Camden	Technical or Further Educational Institution	M	1585
Camden	University or other tertiary	F	3110
Camden	University or other tertiary	M	1785
Campbelltown		F	3121
Campbelltown		M	3002
Campbelltown	Infants/Primary	F	3607
Campbelltown	Infants/Primary	M	3809
Campbelltown	Pre-school	F	864
Campbelltown	Pre-school	M	907
Campbelltown	Secondary	F	2877
Campbelltown	Secondary	M	2987
Campbelltown	Technical or Further Educational Institution	F	1188
Campbelltown	Technical or Further Educational Institution	M	907
Campbelltown	University or other tertiary	F	1762
Campbelltown	University or other tertiary	M	1181
Canterbury		F	3647
Canterbury		M	3677
Canterbury	Infants/Primary	F	2982
Canterbury	Infants/Primary	M	3334
Canterbury	Pre-school	F	806
Canterbury	Pre-school	M	844
Canterbury	Secondary	F	2687
Canterbury	Secondary	M	2849
Canterbury	Technical or Further Educational Institution	F	1360
Canterbury	Technical or Further Educational Institution	M	1320
Canterbury	University or other tertiary	F	2799
Canterbury	University or other tertiary	M	2401
Castle Hill		F	1645
Castle Hill		M	1647
Castle Hill	Infants/Primary	F	5391
Castle Hill	Infants/Primary	M	5688
Castle Hill	Pre-school	F	1281
Castle Hill	Pre-school	M	1333
Castle Hill	Secondary	F	4490
Castle Hill	Secondary	M	4703
Castle Hill	Technical or Further Educational Institution	F	1252
Castle Hill	Technical or Further Educational Institution	M	1053
Castle Hill	University or other tertiary	F	3347
Castle Hill	University or other tertiary	M	2723
Cessnock		F	2281
Cessnock		M	3778
Cessnock	Infants/Primary	F	3857
Cessnock	Infants/Primary	M	4004
Cessnock	Pre-school	F	1081
Cessnock	Pre-school	M	1192
Cessnock	Secondary	F	2776
Cessnock	Secondary	M	2756
Cessnock	Technical or Further Educational Institution	F	1386
Cessnock	Technical or Further Educational Institution	M	1022
Cessnock	University or other tertiary	F	1457
Cessnock	University or other tertiary	M	665
Charlestown		F	1643
Charlestown		M	1561
Charlestown	Infants/Primary	F	3247
Charlestown	Infants/Primary	M	3490
Charlestown	Pre-school	F	888
Charlestown	Pre-school	M	1046
Charlestown	Secondary	F	2485
Charlestown	Secondary	M	2617
Charlestown	Technical or Further Educational Institution	F	884
Charlestown	Technical or Further Educational Institution	M	939
Charlestown	University or other tertiary	F	1925
Charlestown	University or other tertiary	M	1368
Clarence		F	3317
Clarence		M	4186
Clarence	Infants/Primary	F	2745
Clarence	Infants/Primary	M	2930
Clarence	Pre-school	F	668
Clarence	Pre-school	M	701
Clarence	Secondary	F	2180
Clarence	Secondary	M	2219
Clarence	Technical or Further Educational Institution	F	1001
Clarence	Technical or Further Educational Institution	M	669
Clarence	University or other tertiary	F	800
Clarence	University or other tertiary	M	332
Coffs Harbour		F	2800
Coffs Harbour		M	2563
Coffs Harbour	Infants/Primary	F	3124
Coffs Harbour	Infants/Primary	M	3255
Coffs Harbour	Pre-school	F	795
Coffs Harbour	Pre-school	M	833
Coffs Harbour	Secondary	F	2488
Coffs Harbour	Secondary	M	2447
Coffs Harbour	Technical or Further Educational Institution	F	1256
Coffs Harbour	Technical or Further Educational Institution	M	1007
Coffs Harbour	University or other tertiary	F	1268
Coffs Harbour	University or other tertiary	M	617
Coogee		F	2980
Coogee		M	2597
Coogee	Infants/Primary	F	2749
Coogee	Infants/Primary	M	2904
Coogee	Pre-school	F	804
Coogee	Pre-school	M	852
Coogee	Secondary	F	2177
Coogee	Secondary	M	2152
Coogee	Technical or Further Educational Institution	F	1137
Coogee	Technical or Further Educational Institution	M	836
Coogee	University or other tertiary	F	2966
Coogee	University or other tertiary	M	2157
Cootamundra		F	2854
Cootamundra		M	3701
Cootamundra	Infants/Primary	F	2792
Cootamundra	Infants/Primary	M	2923
Cootamundra	Pre-school	F	724
Cootamundra	Pre-school	M	753
Cootamundra	Secondary	F	2222
Cootamundra	Secondary	M	2192
Cootamundra	Technical or Further Educational Institution	F	896
Cootamundra	Technical or Further Educational Institution	M	609
Cootamundra	University or other tertiary	F	741
Cootamundra	University or other tertiary	M	281
Cronulla		F	1570
Cronulla		M	1419
Cronulla	Infants/Primary	F	3036
Cronulla	Infants/Primary	M	3306
Cronulla	Pre-school	F	890
Cronulla	Pre-school	M	940
Cronulla	Secondary	F	2708
Cronulla	Secondary	M	2875
Cronulla	Technical or Further Educational Institution	F	855
Cronulla	Technical or Further Educational Institution	M	1088
Cronulla	University or other tertiary	F	2039
Cronulla	University or other tertiary	M	1359
Davidson		F	1313
Davidson		M	1081
Davidson	Infants/Primary	F	4026
Davidson	Infants/Primary	M	4403
Davidson	Pre-school	F	893
Davidson	Pre-school	M	948
Davidson	Secondary	F	3749
Davidson	Secondary	M	3994
Davidson	Technical or Further Educational Institution	F	737
Davidson	Technical or Further Educational Institution	M	614
Davidson	University or other tertiary	F	2719
Davidson	University or other tertiary	M	2325
Drummoyne		F	2251
Drummoyne		M	1892
Drummoyne	Infants/Primary	F	2878
Drummoyne	Infants/Primary	M	2861
Drummoyne	Pre-school	F	753
Drummoyne	Pre-school	M	852
Drummoyne	Secondary	F	2385
Drummoyne	Secondary	M	2357
Drummoyne	Technical or Further Educational Institution	F	980
Drummoyne	Technical or Further Educational Institution	M	749
Drummoyne	University or other tertiary	F	2569
Drummoyne	University or other tertiary	M	2070
Dubbo		F	3827
Dubbo		M	4552
Dubbo	Infants/Primary	F	3555
Dubbo	Infants/Primary	M	3733
Dubbo	Pre-school	F	966
Dubbo	Pre-school	M	1007
Dubbo	Secondary	F	2514
Dubbo	Secondary	M	2534
Dubbo	Technical or Further Educational Institution	F	1179
Dubbo	Technical or Further Educational Institution	M	904
Dubbo	University or other tertiary	F	1103
Dubbo	University or other tertiary	M	458
East Hills		F	2640
East Hills		M	2443
East Hills	Infants/Primary	F	3572
East Hills	Infants/Primary	M	3746
East Hills	Pre-school	F	834
East Hills	Pre-school	M	944
East Hills	Secondary	F	3014
East Hills	Secondary	M	3100
East Hills	Technical or Further Educational Institution	F	931
East Hills	Technical or Further Educational Institution	M	937
East Hills	University or other tertiary	F	2225
East Hills	University or other tertiary	M	1738
Epping		F	1928
Epping		M	1577
Epping	Infants/Primary	F	4091
Epping	Infants/Primary	M	4285
Epping	Pre-school	F	793
Epping	Pre-school	M	885
Epping	Secondary	F	3576
Epping	Secondary	M	3748
Epping	Technical or Further Educational Institution	F	1089
Epping	Technical or Further Educational Institution	M	760
Epping	University or other tertiary	F	3163
Epping	University or other tertiary	M	2934
Fairfield		F	4359
Fairfield		M	4084
Fairfield	Infants/Primary	F	3665
Fairfield	Infants/Primary	M	3807
Fairfield	Pre-school	F	632
Fairfield	Pre-school	M	692
Fairfield	Secondary	F	3602
Fairfield	Secondary	M	3660
Fairfield	Technical or Further Educational Institution	F	1410
Fairfield	Technical or Further Educational Institution	M	1150
Fairfield	University or other tertiary	F	2256
Fairfield	University or other tertiary	M	1824
Gosford		F	2573
Gosford		M	2366
Gosford	Infants/Primary	F	2667
Gosford	Infants/Primary	M	2994
Gosford	Pre-school	F	781
Gosford	Pre-school	M	868
Gosford	Secondary	F	2122
Gosford	Secondary	M	2154
Gosford	Technical or Further Educational Institution	F	1182
Gosford	Technical or Further Educational Institution	M	893
Gosford	University or other tertiary	F	1591
Gosford	University or other tertiary	M	984
Goulburn		F	2843
Goulburn		M	3353
Goulburn	Infants/Primary	F	3156
Goulburn	Infants/Primary	M	3449
Goulburn	Pre-school	F	795
Goulburn	Pre-school	M	800
Goulburn	Secondary	F	2520
Goulburn	Secondary	M	2532
Goulburn	Technical or Further Educational Institution	F	1112
Goulburn	Technical or Further Educational Institution	M	964
Goulburn	University or other tertiary	F	1321
Goulburn	University or other tertiary	M	678
Granville		F	4689
Granville		M	5479
Granville	Infants/Primary	F	4157
Granville	Infants/Primary	M	4388
Granville	Pre-school	F	954
Granville	Pre-school	M	1088
Granville	Secondary	F	3079
Granville	Secondary	M	3141
Granville	Technical or Further Educational Institution	F	1746
Granville	Technical or Further Educational Institution	M	1537
Granville	University or other tertiary	F	3072
Granville	University or other tertiary	M	2810
Hawkesbury		F	1921
Hawkesbury		M	1949
Hawkesbury	Infants/Primary	F	3231
Hawkesbury	Infants/Primary	M	3465
Hawkesbury	Pre-school	F	851
Hawkesbury	Pre-school	M	925
Hawkesbury	Secondary	F	2616
Hawkesbury	Secondary	M	2718
Hawkesbury	Technical or Further Educational Institution	F	1120
Hawkesbury	Technical or Further Educational Institution	M	1116
Hawkesbury	University or other tertiary	F	1660
Hawkesbury	University or other tertiary	M	866
Heathcote		F	1529
Heathcote		M	1252
Heathcote	Infants/Primary	F	3294
Heathcote	Infants/Primary	M	3588
Heathcote	Pre-school	F	999
Heathcote	Pre-school	M	1088
Heathcote	Secondary	F	2763
Heathcote	Secondary	M	2785
Heathcote	Technical or Further Educational Institution	F	1054
Heathcote	Technical or Further Educational Institution	M	1106
Heathcote	University or other tertiary	F	1947
Heathcote	University or other tertiary	M	1263
Heffron		F	4251
Heffron		M	4544
Heffron	Infants/Primary	F	2465
Heffron	Infants/Primary	M	2553
Heffron	Pre-school	F	805
Heffron	Pre-school	M	918
Heffron	Secondary	F	1709
Heffron	Secondary	M	1766
Heffron	Technical or Further Educational Institution	F	2115
Heffron	Technical or Further Educational Institution	M	1865
Heffron	University or other tertiary	F	6559
Heffron	University or other tertiary	M	6583
Holsworthy		F	2986
Holsworthy		M	2895
Holsworthy	Infants/Primary	F	4399
Holsworthy	Infants/Primary	M	4454
Holsworthy	Pre-school	F	958
Holsworthy	Pre-school	M	1042
Holsworthy	Secondary	F	3467
Holsworthy	Secondary	M	3664
Holsworthy	Technical or Further Educational Institution	F	1068
Holsworthy	Technical or Further Educational Institution	M	996
Holsworthy	University or other tertiary	F	2507
Holsworthy	University or other tertiary	M	1883
Hornsby		F	1381
Hornsby		M	1328
Hornsby	Infants/Primary	F	3704
Hornsby	Infants/Primary	M	4125
Hornsby	Pre-school	F	918
Hornsby	Pre-school	M	974
Hornsby	Secondary	F	3247
Hornsby	Secondary	M	3298
Hornsby	Technical or Further Educational Institution	F	1181
Hornsby	Technical or Further Educational Institution	M	1020
Hornsby	University or other tertiary	F	2633
Hornsby	University or other tertiary	M	2144
Keira		F	1998
Keira		M	1759
Keira	Infants/Primary	F	3402
Keira	Infants/Primary	M	3654
Keira	Pre-school	F	974
Keira	Pre-school	M	1037
Keira	Secondary	F	2899
Keira	Secondary	M	2883
Keira	Technical or Further Educational Institution	F	1034
Keira	Technical or Further Educational Institution	M	1064
Keira	University or other tertiary	F	3014
Keira	University or other tertiary	M	2355
Kiama		F	2169
Kiama		M	2837
Kiama	Infants/Primary	F	3084
Kiama	Infants/Primary	M	3212
Kiama	Pre-school	F	869
Kiama	Pre-school	M	1026
Kiama	Secondary	F	2391
Kiama	Secondary	M	2364
Kiama	Technical or Further Educational Institution	F	1066
Kiama	Technical or Further Educational Institution	M	942
Kiama	University or other tertiary	F	1419
Kiama	University or other tertiary	M	740
Kogarah		F	3169
Kogarah		M	3171
Kogarah	Infants/Primary	F	2983
Kogarah	Infants/Primary	M	3198
Kogarah	Pre-school	F	755
Kogarah	Pre-school	M	838
Kogarah	Secondary	F	2413
Kogarah	Secondary	M	2562
Kogarah	Technical or Further Educational Institution	F	1561
Kogarah	Technical or Further Educational Institution	M	1588
Kogarah	University or other tertiary	F	3437
Kogarah	University or other tertiary	M	3280
Ku-ring-gai		F	1612
Ku-ring-gai		M	1395
Ku-ring-gai	Infants/Primary	F	4038
Ku-ring-gai	Infants/Primary	M	4155
Ku-ring-gai	Pre-school	F	908
Ku-ring-gai	Pre-school	M	1020
