SED_NAME21	Ancestry	FatherBornAus	MotherBornAus	responses
Albury				4950
Albury		0	0	146
Albury		0	1	30
Albury		1	0	16
Albury		1	1	751
Albury	Australian			322
Albury	Australian		1	29112
Albury	Australian	0	0	418
Albury	Australian	0	1	2290
Albury	Australian	1	0	1575
Albury	Australian Aboriginal			35
Albury	Australian Aboriginal	0	0	10
Albury	Australian Aboriginal	0	1	98
Albury	Australian Aboriginal	1	0	50
Albury	Australian Aboriginal	1	1	2736
Albury	Chinese			3
Albury	Chinese	0	0	396
Albury	Chinese	0	1	17
Albury	Chinese	1	0	34
Albury	Chinese	1	1	129
Albury	Croatian			4
Albury	Croatian	0	0	133
Albury	Croatian	0	1	46
Albury	Croatian	1	0	18
Albury	Croatian	1	1	80
Albury	Dutch			13
Albury	Dutch	0	0	546
Albury	Dutch	0	1	202
Albury	Dutch	1	0	127
Albury	Dutch	1	1	511
Albury	English			442
Albury	English	0	0	3017
Albury	English	0	1	2075
Albury	English	1	0	1458
Albury	English	1	1	27086
Albury	Filipino			10
Albury	Filipino	0	0	569
Albury	Filipino	0	1	23
Albury	Filipino	1	0	103
Albury	Filipino	1	1	30
Albury	French			3
Albury	French	0	0	80
Albury	French	0	1	26
Albury	French	1	0	14
Albury	French	1	1	212
Albury	German			52
Albury	German	0	0	711
Albury	German	0	1	317
Albury	German	1	0	215
Albury	German	1	1	4789
Albury	Greek			4
Albury	Greek	0	0	167
Albury	Greek	0	1	47
Albury	Greek	1	0	19
Albury	Greek	1	1	189
Albury	Hungarian			6
Albury	Hungarian	0	0	112
Albury	Hungarian	0	1	37
Albury	Hungarian	1	0	16
Albury	Hungarian	1	1	74
Albury	Indian	0	0	907
Albury	Indian	0	1	34
Albury	Indian	1	0	21
Albury	Indian	1	1	21
Albury	Irish			89
Albury	Irish	0	0	587
Albury	Irish	0	1	521
Albury	Irish	1	0	323
Albury	Irish	1	1	9545
Albury	Italian			9
Albury	Italian	0	0	410
Albury	Italian	0	1	219
Albury	Italian	1	0	75
Albury	Italian	1	1	1271
Albury	Korean	0	0	57
Albury	Korean	0	1	6
Albury	Korean	1	0	13
Albury	Korean	1	1	7
Albury	Lebanese	0	0	45
Albury	Lebanese	0	1	26
Albury	Lebanese	1	0	15
Albury	Lebanese	1	1	110
Albury	Macedonian	0	0	11
Albury	Macedonian	0	1	3
Albury	Macedonian	1	1	7
Albury	Maltese			3
Albury	Maltese	0	0	73
Albury	Maltese	0	1	34
Albury	Maltese	1	0	13
Albury	Maltese	1	1	124
Albury	Maori			4
Albury	Maori	0	0	131
Albury	Maori	0	1	45
Albury	Maori	1	0	19
Albury	Maori	1	1	36
Albury	NZ			4
Albury	NZ	0	0	151
Albury	NZ	0	1	94
Albury	NZ	1	0	80
Albury	NZ	1	1	80
Albury	(Other)			62
Albury	(Other)	0	0	3550
Albury	(Other)	0	1	459
Albury	(Other)	1	0	339
Albury	(Other)	1	1	1026
Albury	Polish	0	0	214
Albury	Polish	0	1	54
Albury	Polish	1	0	33
Albury	Polish	1	1	177
Albury	Russian	0	0	66
Albury	Russian	0	1	13
Albury	Russian	1	0	15
Albury	Russian	1	1	32
Albury	Samoan	0	0	25
Albury	Samoan	0	1	15
Albury	Samoan	1	0	12
Albury	Samoan	1	1	3
Albury	Scottish			72
Albury	Scottish	0	0	815
Albury	Scottish	0	1	519
Albury	Scottish	1	0	381
Albury	Scottish	1	1	7674
Albury	Serbian	0	0	95
Albury	Serbian	0	1	18
Albury	Serbian	1	1	34
Albury	South African	0	0	104
Albury	South African	0	1	28
