SED_NAME21	medianRent
Albury	13520
Auburn	23920
Ballina	23400
Balmain	28600
Bankstown	20800
Barwon	10400
Bathurst	15600
Baulkham Hills	29640
Bega	16640
Blacktown	20280
Blue Mountains	20800
Cabramatta	19240
Camden	26000
Campbelltown	19500
Canterbury	21840
Castle Hill	31200
Cessnock	18200
Charlestown	20020
Clarence	15600
Coffs Harbour	19500
Coogee	31720
Cootamundra	11960
Cronulla	26988
Davidson	36400
Drummoyne	29900
Dubbo	15600
East Hills	24960
Epping	27560
Fairfield	20072
Gosford	20540
Goulburn	17160
Granville	21060
Hawkesbury	20800
Heathcote	24960
Heffron	29120
Holsworthy	23400
Hornsby	24700
Keira	20280
Kiama	20800
Kogarah	23920
Ku-ring-gai	28080
Lake Macquarie	19240
Lakemba	18720
Lane Cove	26780
Lismore	15600
Liverpool	18720
Londonderry	19500
Macquarie Fields	20800
Maitland	19240
Manly	33800
Maroubra	27040
Miranda	26000
Monaro	18200
Mount Druitt	19240
Mulgoa	24440
Murray	13000
Myall Lakes	16640
Newcastle	21320
Newtown	26520
North Shore	30680
Northern Tablelands	13000
Oatley	22360
Orange	15080
Oxley	16120
Parramatta	21840
Penrith	20020
Pittwater	33800
Port Macquarie	19760
Port Stephens	18720
Prospect	22360
Riverstone	27560
Rockdale	26000
Ryde	23400
Seven Hills	21840
Shellharbour	21060
South Coast	18200
Strathfield	24440
Summer Hill	23400
Swansea	19240
Sydney	30160
Tamworth	15600
Terrigal	23920
The Entrance	20280
Tweed	21840
Upper Hunter	15600
Vaucluse	35360
Wagga Wagga	15080
Wakehurst	30160
Wallsend	19760
Willoughby	30680
Wollondilly	22360
Wollongong	19760
Wyong	20280
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Albert Park (Southern Metropolitan)	22360
Altona (Western Metropolitan)	20124
Bass (Eastern Victoria)	18512
Bayswater (Eastern Metropolitan)	19552
Bellarine (Western Victoria)	19760
Benambra (Northern Victoria)	14560
Bendigo East (Northern Victoria)	15600
Bendigo West (Northern Victoria)	14820
Bentleigh (Southern Metropolitan)	25012
Box Hill (Eastern Metropolitan)	21372
Brighton (Southern Metropolitan)	24960
Broadmeadows (Northern Metropolitan)	17992
Brunswick (Northern Metropolitan)	21372
Bulleen (Eastern Metropolitan)	24024
Bundoora (Northern Metropolitan)	19812
Buninyong (Western Victoria)	15080
Burwood (Southern Metropolitan)	22672
Carrum (South-Eastern Metropolitan)	19760
Caulfield (Southern Metropolitan)	21840
Clarinda (South-Eastern Metropolitan)	20592
Cranbourne (South-Eastern Metropolitan)	19916
