SED_NAME21	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
Albury	15-19		F	207
Albury	15-19		M	221
Albury	15-19	0	F	2149
Albury	15-19	0	M	2221
Albury	15-19	1	F	128
Albury	15-19	1	M	105
Albury	20-24		F	159
Albury	20-24		M	199
Albury	20-24	0	F	1955
Albury	20-24	0	M	2007
Albury	20-24	1	F	183
Albury	20-24	1	M	118
Albury	25-34		F	335
Albury	25-34		M	419
Albury	25-34	0	F	4069
Albury	25-34	0	M	4137
Albury	25-34	1	F	591
Albury	25-34	1	M	340
Albury	35-44		F	347
Albury	35-44		M	396
Albury	35-44	0	F	3829
Albury	35-44	0	M	3800
Albury	35-44	1	F	918
Albury	35-44	1	M	534
Albury	45-54		F	303
Albury	45-54		M	395
Albury	45-54	0	F	3807
Albury	45-54	0	M	3872
Albury	45-54	1	F	1145
Albury	45-54	1	M	676
Albury	55-64		F	346
Albury	55-64		M	380
Albury	55-64	0	F	4020
Albury	55-64	0	M	4280
Albury	55-64	1	F	1384
Albury	55-64	1	M	817
Albury	65-74		F	321
Albury	65-74		M	339
Albury	65-74	0	F	4032
Albury	65-74	0	M	4189
Albury	65-74	1	F	913
Albury	65-74	1	M	577
Albury	75-84		F	338
Albury	75-84		M	237
Albury	75-84	0	F	2469
Albury	75-84	0	M	2233
Albury	75-84	1	F	363
Albury	75-84	1	M	305
Albury	85+		F	158
Albury	85+		M	103
Albury	85+	0	F	1120
Albury	85+	0	M	670
Albury	85+	1	F	74
Albury	85+	1	M	84
Auburn	15-19		F	206
Auburn	15-19		M	254
Auburn	15-19	0	F	2253
Auburn	15-19	0	M	2393
Auburn	15-19	1	F	146
Auburn	15-19	1	M	123
Auburn	20-24		F	446
Auburn	20-24		M	679
Auburn	20-24	0	F	4130
Auburn	20-24	0	M	4837
Auburn	20-24	1	F	251
Auburn	20-24	1	M	208
Auburn	25-34		F	1098
Auburn	25-34		M	1788
Auburn	25-34	0	F	10711
Auburn	25-34	0	M	12510
Auburn	25-34	1	F	874
Auburn	25-34	1	M	633
Auburn	35-44		F	720
Auburn	35-44		M	1288
Auburn	35-44	0	F	6584
Auburn	35-44	0	M	8034
Auburn	35-44	1	F	980
Auburn	35-44	1	M	689
Auburn	45-54		F	460
Auburn	45-54		M	776
Auburn	45-54	0	F	4654
Auburn	45-54	0	M	5132
Auburn	45-54	1	F	911
Auburn	45-54	1	M	621
Auburn	55-64		F	404
Auburn	55-64		M	511
Auburn	55-64	0	F	4467
Auburn	55-64	0	M	4602
Auburn	55-64	1	F	852
Auburn	55-64	1	M	565
Auburn	65-74		F	244
Auburn	65-74		M	289
Auburn	65-74	0	F	2951
Auburn	65-74	0	M	3004
Auburn	65-74	1	F	461
Auburn	65-74	1	M	330
Auburn	75-84		F	127
Auburn	75-84		M	162
Auburn	75-84	0	F	1412
Auburn	75-84	0	M	1357
Auburn	75-84	1	F	166
Auburn	75-84	1	M	147
Auburn	85+		F	89
Auburn	85+		M	108
Auburn	85+	0	F	611
Auburn	85+	0	M	404
Auburn	85+	1	F	25
Auburn	85+	1	M	41
Ballina	15-19		F	166
Ballina	15-19		M	215
Ballina	15-19	0	F	1699
Ballina	15-19	0	M	1820
Ballina	15-19	1	F	116
Ballina	15-19	1	M	100
Ballina	20-24		F	174
Ballina	20-24		M	145
Ballina	20-24	0	F	1447
Ballina	20-24	0	M	1406
Ballina	20-24	1	F	118
Ballina	20-24	1	M	76
Ballina	25-34		F	477
Ballina	25-34		M	456
Ballina	25-34	0	F	4080
Ballina	25-34	0	M	3522
Ballina	25-34	1	F	348
Ballina	25-34	1	M	255
Ballina	35-44		F	456
Ballina	35-44		M	469
Ballina	35-44	0	F	4266
Ballina	35-44	0	M	4082
Ballina	35-44	1	F	723
Ballina	35-44	1	M	401
Ballina	45-54		F	438
Ballina	45-54		M	405
Ballina	45-54	0	F	4314
Ballina	45-54	0	M	4099
Ballina	45-54	1	F	1177
Ballina	45-54	1	M	670
Ballina	55-64		F	414
Ballina	55-64		M	422
Ballina	55-64	0	F	4319
Ballina	55-64	0	M	4299
Ballina	55-64	1	F	1416
Ballina	55-64	1	M	840
Ballina	65-74		F	365
Ballina	65-74		M	399
Ballina	65-74	0	F	4375
Ballina	65-74	0	M	4483
Ballina	65-74	1	F	957
Ballina	65-74	1	M	628
Ballina	75-84		F	244
Ballina	75-84		M	190
Ballina	75-84	0	F	2354
Ballina	75-84	0	M	2154
Ballina	75-84	1	F	373
Ballina	75-84	1	M	287
Ballina	85+		F	238
Ballina	85+		M	107
Ballina	85+	0	F	1206
Ballina	85+	0	M	700
Ballina	85+	1	F	74
Ballina	85+	1	M	99
Balmain	15-19		F	93
Balmain	15-19		M	88
Balmain	15-19	0	F	1449
Balmain	15-19	0	M	1518
Balmain	15-19	1	F	71
Balmain	15-19	1	M	59
Balmain	20-24		F	186
Balmain	20-24		M	195
Balmain	20-24	0	F	2678
Balmain	20-24	0	M	2247
Balmain	20-24	1	F	144
Balmain	20-24	1	M	103
Balmain	25-34		F	491
Balmain	25-34		M	461
Balmain	25-34	0	F	7088
Balmain	25-34	0	M	6646
Balmain	25-34	1	F	442
Balmain	25-34	1	M	299
Balmain	35-44		F	357
Balmain	35-44		M	401
Balmain	35-44	0	F	6229
Balmain	35-44	0	M	6170
Balmain	35-44	1	F	705
Balmain	35-44	1	M	470
Balmain	45-54		F	268
Balmain	45-54		M	312
Balmain	45-54	0	F	4865
Balmain	45-54	0	M	4820
Balmain	45-54	1	F	1021
Balmain	45-54	1	M	655
Balmain	55-64		F	222
Balmain	55-64		M	258
Balmain	55-64	0	F	3544
Balmain	55-64	0	M	3504
Balmain	55-64	1	F	944
Balmain	55-64	1	M	585
Balmain	65-74		F	168
Balmain	65-74		M	182
Balmain	65-74	0	F	3003
Balmain	65-74	0	M	2655
Balmain	65-74	1	F	586
Balmain	65-74	1	M	358
Balmain	75-84		F	115
Balmain	75-84		M	113
Balmain	75-84	0	F	1483
Balmain	75-84	0	M	1229
Balmain	75-84	1	F	161
Balmain	75-84	1	M	131
Balmain	85+		F	106
Balmain	85+		M	64
Balmain	85+	0	F	517
Balmain	85+	0	M	329
Balmain	85+	1	F	29
Balmain	85+	1	M	34
Bankstown	15-19		F	275
Bankstown	15-19		M	322
Bankstown	15-19	0	F	2545
Bankstown	15-19	0	M	2769
Bankstown	15-19	1	F	158
Bankstown	15-19	1	M	136
Bankstown	20-24		F	302
Bankstown	20-24		M	430
Bankstown	20-24	0	F	2775
Bankstown	20-24	0	M	2866
Bankstown	20-24	1	F	220
Bankstown	20-24	1	M	192
Bankstown	25-34		F	724
Bankstown	25-34		M	913
Bankstown	25-34	0	F	5851
Bankstown	25-34	0	M	5938
Bankstown	25-34	1	F	755
Bankstown	25-34	1	M	465
Bankstown	35-44		F	657
Bankstown	35-44		M	800
Bankstown	35-44	0	F	4532
Bankstown	35-44	0	M	4799
Bankstown	35-44	1	F	1004
Bankstown	35-44	1	M	611
