SED_NAME16	Age	ProvidedUnpaidChildcare	ForOwnChild	ForOtherChild	Sex	adults
Albury	15-19				F	196
Albury	15-19				M	221
Albury	15-19	0			F	2045
Albury	15-19	0			M	2227
Albury	15-19	1	0	1	F	214
Albury	15-19	1	0	1	M	90
Albury	15-19	1	1	0	F	26
Albury	15-19	1	1	0	M	15
Albury	15-19	1	1	1	F	3
Albury	20-24				F	149
Albury	20-24				M	194
Albury	20-24	0			F	1738
Albury	20-24	0			M	1953
Albury	20-24	1	0	1	F	159
Albury	20-24	1	0	1	M	66
Albury	20-24	1	1	0	F	235
Albury	20-24	1	1	0	M	111
Albury	20-24	1	1	1	F	12
Albury	20-24	1	1	1	M	5
Albury	25-34				F	319
Albury	25-34				M	399
Albury	25-34	0			F	2246
Albury	25-34	0			M	2913
Albury	25-34	1	0	1	F	215
Albury	25-34	1	0	1	M	144
Albury	25-34	1	1	0	F	2107
Albury	25-34	1	1	0	M	1405
Albury	25-34	1	1	1	F	108
Albury	25-34	1	1	1	M	34
Albury	35-44				F	329
Albury	35-44				M	382
Albury	35-44	0			F	1334
Albury	35-44	0			M	1667
Albury	35-44	1	0	1	F	180
Albury	35-44	1	0	1	M	93
Albury	35-44	1	1	0	F	3068
Albury	35-44	1	1	0	M	2488
Albury	35-44	1	1	1	F	187
Albury	35-44	1	1	1	M	100
Albury	45-54				F	290
Albury	45-54				M	388
Albury	45-54	0			F	3064
Albury	45-54	0			M	2927
Albury	45-54	1	0	1	F	454
Albury	45-54	1	0	1	M	161
Albury	45-54	1	1	0	F	1375
Albury	45-54	1	1	0	M	1427
Albury	45-54	1	1	1	F	66
Albury	45-54	1	1	1	M	39
Albury	55-64				F	329
Albury	55-64				M	368
Albury	55-64	0			F	4150
Albury	55-64	0			M	4348
Albury	55-64	1	0	1	F	1133
Albury	55-64	1	0	1	M	461
Albury	55-64	1	1	0	F	124
Albury	55-64	1	1	0	M	299
Albury	55-64	1	1	1	F	11
Albury	55-64	1	1	1	M	7
Albury	65-74				F	317
Albury	65-74				M	346
Albury	65-74	0			F	4084
Albury	65-74	0			M	4218
Albury	65-74	1	0	1	F	828
Albury	65-74	1	0	1	M	502
Albury	65-74	1	1	0	F	30
Albury	65-74	1	1	0	M	42
Albury	65-74	1	1	1	F	9
Albury	75-84				F	317
Albury	75-84				M	229
Albury	75-84	0			F	2698
Albury	75-84	0			M	2408
Albury	75-84	1	0	1	F	145
Albury	75-84	1	0	1	M	136
Albury	75-84	1	1	0	F	7
Albury	75-84	1	1	0	M	3
Albury	85+				F	157
Albury	85+				M	100
Albury	85+	0			F	1179
Albury	85+	0			M	754
Albury	85+	1	0	1	F	7
Albury	85+	1	0	1	M	3
Albury	85+	1	1	0	F	4
Auburn	15-19				F	197
Auburn	15-19				M	245
Auburn	15-19	0			F	2265
