SED_NAME21	persons
Albury	84989
Auburn	117822
Ballina	82405
Balmain	83273
Bankstown	94669
Barwon	73947
Bathurst	80490
Baulkham Hills	88614
Bega	76529
Blacktown	92258
Blue Mountains	72271
Cabramatta	84426
Camden	131265
Campbelltown	83881
Canterbury	94065
Castle Hill	103905
Cessnock	87750
Charlestown	75991
Clarence	77685
Coffs Harbour	78759
Coogee	82648
Cootamundra	72435
Cronulla	78388
Davidson	81071
Drummoyne	81835
Dubbo	82525
East Hills	83017
Epping	88444
Fairfield	93405
Gosford	78537
Goulburn	81771
Granville	104062
Hawkesbury	78025
Heathcote	77692
Heffron	117359
Holsworthy	90295
Hornsby	83609
Keira	82275
Kiama	79058
Kogarah	93723
Ku-ring-gai	86822
Lake Macquarie	79707
Lakemba	96008
Lane Cove	89194
Lismore	76751
Liverpool	96982
Londonderry	120554
Macquarie Fields	112411
Maitland	90226
Manly	83208
Maroubra	87573
Miranda	80039
Monaro	84972
Mount Druitt	94476
Mulgoa	87629
Murray	85919
Myall Lakes	75579
Newcastle	79670
Newtown	80313
North Shore	78893
Northern Tablelands	79541
Oatley	79109
Orange	80956
Oxley	77605
Parramatta	112070
Penrith	84578
Pittwater	75271
Port Macquarie	80749
Port Stephens	76424
Prospect	88607
Riverstone	122335
Rockdale	93963
Ryde	100021
Seven Hills	86432
Shellharbour	88503
South Coast	76660
Strathfield	102224
Summer Hill	81026
Swansea	74124
Sydney	93401
Tamworth	80856
Terrigal	77613
The Entrance	76009
Tweed	81148
Upper Hunter	78827
Vaucluse	80036
Wagga Wagga	82326
Wakehurst	83325
Wallsend	87111
Willoughby	86851
Wollondilly	83158
Wollongong	85299
Wyong	82534
No usual address (NSW)	11371
Albert Park (Southern Metropolitan)	80946
Altona (Western Metropolitan)	108534
Bass (Eastern Victoria)	115817
Bayswater (Eastern Metropolitan)	64685
Bellarine (Western Victoria)	71339
Benambra (Northern Victoria)	70404
Bendigo East (Northern Victoria)	72117
Bendigo West (Northern Victoria)	63757
Bentleigh (Southern Metropolitan)	66780
Box Hill (Eastern Metropolitan)	73444
Brighton (Southern Metropolitan)	62206
Broadmeadows (Northern Metropolitan)	74380
Brunswick (Northern Metropolitan)	74300
Bulleen (Eastern Metropolitan)	67111
Bundoora (Northern Metropolitan)	60935
Buninyong (Western Victoria)	67425
Burwood (Southern Metropolitan)	68864
Carrum (South-Eastern Metropolitan)	70841
Caulfield (Southern Metropolitan)	67787
Clarinda (South-Eastern Metropolitan)	75965
Cranbourne (South-Eastern Metropolitan)	127892
Croydon (Eastern Metropolitan)	61836
Dandenong (South-Eastern Metropolitan)	76335
Eildon (Northern Victoria)	62365
Eltham (Eastern Metropolitan)	59815
Essendon (Western Metropolitan)	70008
Euroa (Northern Victoria)	68383
Evelyn (Eastern Victoria)	60851
Ferntree Gully (Eastern Metropolitan)	60096
Footscray (Western Metropolitan)	83789
Forest Hill (Eastern Metropolitan)	61409
Frankston (South-Eastern Metropolitan)	62994
Geelong (Western Victoria)	67063
Gembrook (Eastern Victoria)	84305
Gippsland East (Eastern Victoria)	63901
Gippsland South (Eastern Victoria)	60218
Hastings (Eastern Victoria)	72135
Hawthorn (Southern Metropolitan)	64418
Ivanhoe (Eastern Metropolitan)	67639
Kew (Southern Metropolitan)	64029
Keysborough (South-Eastern Metropolitan)	75941
Kororoit (Western Metropolitan)	101777
Lara (Western Victoria)	70504
Lowan (Western Victoria)	58458
Macedon (Northern Victoria)	65038
Malvern (Southern Metropolitan)	60148
Melbourne (Northern Metropolitan)	124206
Melton (Western Victoria)	97680
Mildura (Northern Victoria)	66771
Mill Park (Northern Metropolitan)	71427
Monbulk (Eastern Victoria)	58387
Mordialloc (South-Eastern Metropolitan)	65798
