SED_NAME16	Age	NeedsAssistance	Sex	persons
Albury	0-4		F	176
Albury	0-4		M	185
Albury	0-4	0	F	2289
Albury	0-4	0	M	2355
Albury	0-4	1	F	26
Albury	0-4	1	M	54
Albury	5-14		F	348
Albury	5-14		M	414
Albury	5-14	0	F	4609
Albury	5-14	0	M	4641
Albury	5-14	1	F	183
Albury	5-14	1	M	400
Albury	15-19		F	161
Albury	15-19		M	174
Albury	15-19	0	F	2248
Albury	15-19	0	M	2230
Albury	15-19	1	F	70
Albury	15-19	1	M	140
Albury	20-24		F	147
Albury	20-24		M	184
Albury	20-24	0	F	2082
Albury	20-24	0	M	2049
Albury	20-24	1	F	70
Albury	20-24	1	M	91
Albury	25-34		F	315
Albury	25-34		M	373
Albury	25-34	0	F	4552
Albury	25-34	0	M	4353
Albury	25-34	1	F	135
Albury	25-34	1	M	170
Albury	35-44		F	320
Albury	35-44		M	372
Albury	35-44	0	F	4637
Albury	35-44	0	M	4228
Albury	35-44	1	F	135
Albury	35-44	1	M	128
Albury	45-54		F	279
Albury	45-54		M	380
Albury	45-54	0	F	4731
Albury	45-54	0	M	4364
Albury	45-54	1	F	233
Albury	45-54	1	M	207
Albury	55-64		F	323
Albury	55-64		M	353
Albury	55-64	0	F	5104
Albury	55-64	0	M	4804
Albury	55-64	1	F	322
Albury	55-64	1	M	326
Albury	65-74		F	280
Albury	65-74		M	310
Albury	65-74	0	F	4510
Albury	65-74	0	M	4308
Albury	65-74	1	F	470
Albury	65-74	1	M	485
Albury	75-84		F	209
Albury	75-84		M	175
Albury	75-84	0	F	2356
Albury	75-84	0	M	2154
Albury	75-84	1	F	602
Albury	75-84	1	M	447
Albury	85+		F	94
Albury	85+		M	75
Albury	85+	0	F	548
Albury	85+	0	M	433
Albury	85+	1	F	703
Albury	85+	1	M	344
Auburn	0-4		F	289
Auburn	0-4		M	340
Auburn	0-4	0	F	3317
Auburn	0-4	0	M	3572
Auburn	0-4	1	F	27
Auburn	0-4	1	M	60
Auburn	5-14		F	501
Auburn	5-14		M	516
Auburn	5-14	0	F	5615
Auburn	5-14	0	M	5591
Auburn	5-14	1	F	99
Auburn	5-14	1	M	190
Auburn	15-19		F	188
Auburn	15-19		M	227
Auburn	15-19	0	F	2376
Auburn	15-19	0	M	2464
Auburn	15-19	1	F	40
Auburn	15-19	1	M	68
Auburn	20-24		F	375
Auburn	20-24		M	559
Auburn	20-24	0	F	4408
Auburn	20-24	0	M	5105
Auburn	20-24	1	F	39
Auburn	20-24	1	M	52
Auburn	25-34		F	947
Auburn	25-34		M	1504
Auburn	25-34	0	F	11645
Auburn	25-34	0	M	13299
Auburn	25-34	1	F	98
Auburn	25-34	1	M	132
Auburn	35-44		F	630
Auburn	35-44		M	1141
Auburn	35-44	0	F	7489
Auburn	35-44	0	M	8723
Auburn	35-44	1	F	159
Auburn	35-44	1	M	156
Auburn	45-54		F	393
Auburn	45-54		M	671
Auburn	45-54	0	F	5360
Auburn	45-54	0	M	5629
Auburn	45-54	1	F	271
Auburn	45-54	1	M	223
Auburn	55-64		F	356
Auburn	55-64		M	441
Auburn	55-64	0	F	4830
Auburn	55-64	0	M	4861
