SED_NAME16	medianMortgageRepayment
Albury	16644
Auburn	26004
Ballina	24000
Balmain	40788
Bankstown	24000
Barwon	12480
Bathurst	19500
Baulkham Hills	36000
Bega	18204
Blacktown	26004
Blue Mountains	24000
Cabramatta	23400
Camden	30000
Campbelltown	24000
Canterbury	27420
Castle Hill	36000
Cessnock	20796
Charlestown	24444
Clarence	16332
Coffs Harbour	20796
Coogee	40560
Cootamundra	14148
Cronulla	34836
Davidson	42000
Drummoyne	36000
Dubbo	18720
East Hills	30000
Epping	34416
Fairfield	24000
Gosford	24000
Goulburn	22104
Granville	25200
Hawkesbury	27600
Heathcote	31200
Heffron	31200
Holsworthy	26400
Hornsby	31200
Keira	27600
Kiama	24960
Kogarah	26568
Ku-ring-gai	36000
Lake Macquarie	22620
Lakemba	25272
Lane Cove	36000
Lismore	18204
Liverpool	24000
Londonderry	27300
Macquarie Fields	26208
Maitland	21948
Manly	40800
Maroubra	34632
Miranda	31272
Monaro	24000
Mount Druitt	25200
Mulgoa	27792
Murray	15600
Myall Lakes	18000
Newcastle	24696
Newtown	34800
North Shore	36396
Northern Tablelands	15600
Oatley	31200
Orange	18204
Oxley	17412
Parramatta	27600
Penrith	25200
Pittwater	37176
Port Macquarie	20796
Port Stephens	20796
Prospect	26160
Riverstone	31200
Rockdale	28800
Ryde	30000
Seven Hills	27600
Shellharbour	24444
South Coast	20184
Strathfield	28596
Summer Hill	31200
Swansea	22320
Sydney	36000
Tamworth	18000
Terrigal	26400
The Entrance	24000
Tweed	23400
Upper Hunter	20796
Vaucluse	42000
Wagga Wagga	18144
Wakehurst	36000
Wallsend	22200
Willoughby	39720
Wollondilly	26784
Wollongong	24000
Wyong	23136
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Albert Park (Southern Metropolitan)	26004
Altona (Western Metropolitan)	24024
Bass (Eastern Victoria)	22884
Bayswater (Eastern Metropolitan)	23400
Bellarine (Western Victoria)	20796
Benambra (Northern Victoria)	17424
Bendigo East (Northern Victoria)	17940
Bendigo West (Northern Victoria)	16428
Bentleigh (Southern Metropolitan)	30000
Box Hill (Eastern Metropolitan)	28596
Brighton (Southern Metropolitan)	36000
Broadmeadows (Northern Metropolitan)	18756
Brunswick (Northern Metropolitan)	25476
Bulleen (Eastern Metropolitan)	28800
Bundoora (Northern Metropolitan)	24000
Buninyong (Western Victoria)	18204
Burwood (Southern Metropolitan)	31200
Carrum (South-Eastern Metropolitan)	22800
Caulfield (Southern Metropolitan)	28668
Clarinda (South-Eastern Metropolitan)	24444
Cranbourne (South-Eastern Metropolitan)	23400
Croydon (Eastern Metropolitan)	24000
Dandenong (South-Eastern Metropolitan)	19800
Eildon (Northern Victoria)	20448
Eltham (Eastern Metropolitan)	26400
Essendon (Western Metropolitan)	26400
Euroa (Northern Victoria)	16800
Evelyn (Eastern Victoria)	24000
Ferntree Gully (Eastern Metropolitan)	24000
Footscray (Western Metropolitan)	23400
Forest Hill (Eastern Metropolitan)	27300
Frankston (South-Eastern Metropolitan)	21600
Geelong (Western Victoria)	20796
Gembrook (Eastern Victoria)	23400
Gippsland East (Eastern Victoria)	15600
Gippsland South (Eastern Victoria)	15600
Hastings (Eastern Victoria)	21600
Hawthorn (Southern Metropolitan)	31200
Ivanhoe (Eastern Metropolitan)	26496
Kew (Southern Metropolitan)	36120
Keysborough (South-Eastern Metropolitan)	24000
Kororoit (Western Metropolitan)	22800
Lara (Western Victoria)	18672
Lowan (Western Victoria)	12684
Macedon (Northern Victoria)	23400
Malvern (Southern Metropolitan)	33720
Melbourne (Northern Metropolitan)	24000
Melton (Western Victoria)	19764
Mildura (Northern Victoria)	14556
Mill Park (Northern Metropolitan)	21600
Monbulk (Eastern Victoria)	24000
Mordialloc (South-Eastern Metropolitan)	26004
Mornington (Eastern Victoria)	26004
Morwell (Eastern Victoria)	15240
Mount Waverley (Eastern Metropolitan)	30744
Mulgrave (South-Eastern Metropolitan)	24000
Murray Plains (Northern Victoria)	15084
Narracan (Eastern Victoria)	18984
Narre Warren North (South-Eastern Metropolitan)	21600
Narre Warren South (South-Eastern Metropolitan)	22320
Nepean (Eastern Victoria)	22800
Niddrie (Western Metropolitan)	26004
Northcote (Northern Metropolitan)	26400
Oakleigh (Southern Metropolitan)	26004
Ovens Valley (Northern Victoria)	16248
Pascoe Vale (Northern Metropolitan)	24696
Polwarth (Western Victoria)	18012
Prahran (Southern Metropolitan)	25200
Preston (Northern Metropolitan)	24000
Richmond (Northern Metropolitan)	27600
Ringwood (Eastern Metropolitan)	25200
Ripon (Western Victoria)	14304
Rowville (South-Eastern Metropolitan)	24960
Sandringham (Southern Metropolitan)	30000
Shepparton (Northern Victoria)	15600
South Barwon (Western Victoria)	22800
South-West Coast (Western Victoria)	16152
St Albans (Western Metropolitan)	19200
Sunbury (Western Metropolitan)	21600
Sydenham (Western Metropolitan)	23304
Tarneit (Western Metropolitan)	23088
Thomastown (Northern Metropolitan)	22800
Warrandyte (Eastern Metropolitan)	28800
Wendouree (Western Victoria)	17736
Werribee (Western Metropolitan)	20796
