SED_NAME21	AustCitizen	Sex	persons
Albury	0	F	4504
Albury	0	M	4742
Albury	1	F	38771
Albury	1	M	36973
Auburn	0	F	19297
Auburn	0	M	24434
Auburn	1	F	36772
Auburn	1	M	37321
Ballina	0	F	5968
Ballina	0	M	5367
Ballina	1	F	36848
Ballina	1	M	34218
Balmain	0	F	8083
Balmain	0	M	7676
Balmain	1	F	34971
Balmain	1	M	32540
Bankstown	0	F	9867
Bankstown	0	M	10531
Bankstown	1	F	37517
Bankstown	1	M	36753
Barwon	0	F	5604
Barwon	0	M	5489
Barwon	1	F	31479
Barwon	1	M	31377
Bathurst	0	F	3896
Bathurst	0	M	5199
Bathurst	1	F	36025
Bathurst	1	M	35365
Baulkham Hills	0	F	7342
Baulkham Hills	0	M	6426
Baulkham Hills	1	F	37602
Baulkham Hills	1	M	37245
Bega	0	F	3912
Bega	0	M	3816
Bega	1	F	35099
Bega	1	M	33706
Blacktown	0	F	10738
Blacktown	0	M	11255
Blacktown	1	F	35066
Blacktown	1	M	35200
Blue Mountains	0	F	3055
Blue Mountains	0	M	2779
Blue Mountains	1	F	34250
Blue Mountains	1	M	32188
Cabramatta	0	F	8193
Cabramatta	0	M	7637
Cabramatta	1	F	34681
Cabramatta	1	M	33912
Camden	0	F	6852
Camden	0	M	6566
Camden	1	F	59726
Camden	1	M	58113
Campbelltown	0	F	6611
Campbelltown	0	M	6189
Campbelltown	1	F	36183
Campbelltown	1	M	34896
Canterbury	0	F	10721
Canterbury	0	M	11883
Canterbury	1	F	36210
Canterbury	1	M	35253
Castle Hill	0	F	7979
Castle Hill	0	M	7086
Castle Hill	1	F	44745
Castle Hill	1	M	44089
Cessnock	0	F	3198
Cessnock	0	M	4632
Cessnock	1	F	40740
Cessnock	1	M	39180
Charlestown	0	F	2728
Charlestown	0	M	2638
Charlestown	1	F	36297
Charlestown	1	M	34329
Clarence	0	F	3812
Clarence	0	M	4629
Clarence	1	F	35184
Clarence	1	M	34062
Coffs Harbour	0	F	5068
Coffs Harbour	0	M	4666
Coffs Harbour	1	F	35678
Coffs Harbour	1	M	33344
Coogee	0	F	9714
Coogee	0	M	8632
Coogee	1	F	33594
Coogee	1	M	30705
Cootamundra	0	F	3445
Cootamundra	0	M	4403
Cootamundra	1	F	32679
Cootamundra	1	M	31911
Cronulla	0	F	3247
Cronulla	0	M	2925
Cronulla	1	F	36596
Cronulla	1	M	35619
Davidson	0	F	6225
Davidson	0	M	5116
Davidson	1	F	35460
Davidson	1	M	34268
Drummoyne	0	F	7898
Drummoyne	0	M	6807
Drummoyne	1	F	34837
Drummoyne	1	M	32291
Dubbo	0	F	5417
Dubbo	0	M	6247
Dubbo	1	F	36118
Dubbo	1	M	34738
East Hills	0	F	5603
East Hills	0	M	5497
East Hills	1	F	36553
East Hills	1	M	35363
Epping	0	F	9978
Epping	0	M	8783
Epping	1	F	35630
Epping	1	M	34053
Fairfield	0	F	12042
Fairfield	0	M	11907
Fairfield	1	F	35124
Fairfield	1	M	34329
Gosford	0	F	5043
Gosford	0	M	4806
Gosford	1	F	35384
Gosford	1	M	33303
Goulburn	0	F	4081
Goulburn	0	M	4638
Goulburn	1	F	36989
Goulburn	1	M	36061
Granville	0	F	15068
Granville	0	M	17814
Granville	1	F	35664
Granville	1	M	35520
Hawkesbury	0	F	3468
Hawkesbury	0	M	3515
Hawkesbury	1	F	35551
Hawkesbury	1	M	35487
Heathcote	0	F	3028
Heathcote	0	M	2585
Heathcote	1	F	36589
Heathcote	1	M	35495
Heffron	0	F	19641
Heffron	0	M	20460
Heffron	1	F	37535
Heffron	1	M	39729
Holsworthy	0	F	6260
Holsworthy	0	M	6106
Holsworthy	1	F	39174
