SED_NAME16	Age	HoursHousekeeping	Sex	adults
Albury	15-19		F	194
Albury	15-19		M	208
Albury	15-19	0	F	819
Albury	15-19	0	M	1037
Albury	15-19	<5	F	1107
Albury	15-19	<5	M	1079
Albury	15-19	5-14	F	297
Albury	15-19	5-14	M	195
Albury	15-19	15-29	F	48
Albury	15-19	15-29	M	20
Albury	15-19	30+	F	10
Albury	15-19	30+	M	16
Albury	20-24		F	158
Albury	20-24		M	198
Albury	20-24	0	F	547
Albury	20-24	0	M	904
Albury	20-24	<5	F	662
Albury	20-24	<5	M	757
Albury	20-24	5-14	F	661
Albury	20-24	5-14	M	382
Albury	20-24	15-29	F	178
Albury	20-24	15-29	M	55
Albury	20-24	30+	F	99
Albury	20-24	30+	M	30
Albury	25-34		F	315
Albury	25-34		M	411
Albury	25-34	0	F	812
Albury	25-34	0	M	1298
Albury	25-34	<5	F	714
Albury	25-34	<5	M	1343
Albury	25-34	5-14	F	1592
Albury	25-34	5-14	M	1395
Albury	25-34	15-29	F	776
Albury	25-34	15-29	M	309
Albury	25-34	30+	F	795
Albury	25-34	30+	M	135
Albury	35-44		F	335
Albury	35-44		M	392
Albury	35-44	0	F	533
Albury	35-44	0	M	916
Albury	35-44	<5	F	478
Albury	35-44	<5	M	1171
Albury	35-44	5-14	F	1569
Albury	35-44	5-14	M	1598
Albury	35-44	15-29	F	1145
Albury	35-44	15-29	M	465
Albury	35-44	30+	F	1030
Albury	35-44	30+	M	190
Albury	45-54		F	299
Albury	45-54		M	406
Albury	45-54	0	F	696
Albury	45-54	0	M	990
Albury	45-54	<5	F	564
Albury	45-54	<5	M	1348
Albury	45-54	5-14	F	1903
Albury	45-54	5-14	M	1558
Albury	45-54	15-29	F	1129
Albury	45-54	15-29	M	450
Albury	45-54	30+	F	654
Albury	45-54	30+	M	191
Albury	55-64		F	348
Albury	55-64		M	373
Albury	55-64	0	F	970
Albury	55-64	0	M	1316
Albury	55-64	<5	F	619
Albury	55-64	<5	M	1439
Albury	55-64	5-14	F	1955
Albury	55-64	5-14	M	1677
Albury	55-64	15-29	F	1106
Albury	55-64	15-29	M	453
Albury	55-64	30+	F	749
Albury	55-64	30+	M	229
Albury	65-74		F	342
Albury	65-74		M	362
Albury	65-74	0	F	1287
Albury	65-74	0	M	1588
Albury	65-74	<5	F	349
Albury	65-74	<5	M	960
Albury	65-74	5-14	F	1222
Albury	65-74	5-14	M	1342
Albury	65-74	15-29	F	1126
Albury	65-74	15-29	M	573
Albury	65-74	30+	F	931
Albury	65-74	30+	M	282
Albury	75-84		F	329
Albury	75-84		M	230
Albury	75-84	0	F	1105
Albury	75-84	0	M	1008
Albury	75-84	<5	F	238
Albury	75-84	<5	M	416
Albury	75-84	5-14	F	543
Albury	75-84	5-14	M	572
Albury	75-84	15-29	F	464
Albury	75-84	15-29	M	348
Albury	75-84	30+	F	505
Albury	75-84	30+	M	203
Albury	85+		F	158
Albury	85+		M	100
Albury	85+	0	F	689
Albury	85+	0	M	411
Albury	85+	<5	F	139
Albury	85+	<5	M	115
Albury	85+	5-14	F	176
Albury	85+	5-14	M	123
Albury	85+	15-29	F	103
Albury	85+	15-29	M	65
Albury	85+	30+	F	92
Albury	85+	30+	M	38
Auburn	15-19		F	201
Auburn	15-19		M	241
Auburn	15-19	0	F	1177
Auburn	15-19	0	M	1473
Auburn	15-19	<5	F	778
Auburn	15-19	<5	M	778
Auburn	15-19	5-14	F	356
Auburn	15-19	5-14	M	238
Auburn	15-19	15-29	F	59
Auburn	15-19	15-29	M	23
Auburn	15-19	30+	F	29
Auburn	15-19	30+	M	9
Auburn	20-24		F	432
Auburn	20-24		M	668
Auburn	20-24	0	F	2187
Auburn	20-24	0	M	3116
Auburn	20-24	<5	F	912
Auburn	20-24	<5	M	1018
Auburn	20-24	5-14	F	894
Auburn	20-24	5-14	M	697
Auburn	20-24	15-29	F	231
Auburn	20-24	15-29	M	134
Auburn	20-24	30+	F	165
Auburn	20-24	30+	M	83
Auburn	25-34		F	1077
Auburn	25-34		M	1759
Auburn	25-34	0	F	4895
Auburn	25-34	0	M	7048
Auburn	25-34	<5	F	1609
Auburn	25-34	<5	M	2566
Auburn	25-34	5-14	F	2600
Auburn	25-34	5-14	M	2604
Auburn	25-34	15-29	F	1123
Auburn	25-34	15-29	M	612
Auburn	25-34	30+	F	1377
Auburn	25-34	30+	M	347
Auburn	35-44		F	698
Auburn	35-44		M	1257
Auburn	35-44	0	F	2534
Auburn	35-44	0	M	3974
Auburn	35-44	<5	F	696
Auburn	35-44	<5	M	1670
Auburn	35-44	5-14	F	1682
Auburn	35-44	5-14	M	2099
Auburn	35-44	15-29	F	1128
Auburn	35-44	15-29	M	633
Auburn	35-44	30+	F	1548
Auburn	35-44	30+	M	387
Auburn	45-54		F	451
Auburn	45-54		M	759
Auburn	45-54	0	F	1883
Auburn	45-54	0	M	2540
Auburn	45-54	<5	F	478
Auburn	45-54	<5	M	1206
Auburn	45-54	5-14	F	1259
Auburn	45-54	5-14	M	1350
Auburn	45-54	15-29	F	928
Auburn	45-54	15-29	M	434
Auburn	45-54	30+	F	1026
Auburn	45-54	30+	M	244
Auburn	55-64		F	411
Auburn	55-64		M	496
Auburn	55-64	0	F	1906
Auburn	55-64	0	M	2245
Auburn	55-64	<5	F	449
Auburn	55-64	<5	M	1048
Auburn	55-64	5-14	F	1171
Auburn	55-64	5-14	M	1198
Auburn	55-64	15-29	F	875
Auburn	55-64	15-29	M	441
Auburn	55-64	30+	F	908
Auburn	55-64	30+	M	243
Auburn	65-74		F	244
Auburn	65-74		M	286
Auburn	65-74	0	F	1279
Auburn	65-74	0	M	1487
Auburn	65-74	<5	F	333
Auburn	65-74	<5	M	577
Auburn	65-74	5-14	F	667
Auburn	65-74	5-14	M	778
Auburn	65-74	15-29	F	571
Auburn	65-74	15-29	M	319
Auburn	65-74	30+	F	555
Auburn	65-74	30+	M	177
Auburn	75-84		F	130
Auburn	75-84		M	162
Auburn	75-84	0	F	719
Auburn	75-84	0	M	763
Auburn	75-84	<5	F	192
Auburn	75-84	<5	M	261
Auburn	75-84	5-14	F	294
Auburn	75-84	5-14	M	303
Auburn	75-84	15-29	F	183
Auburn	75-84	15-29	M	122
Auburn	75-84	30+	F	182
Auburn	75-84	30+	M	58
Auburn	85+		F	91
Auburn	85+		M	111
Auburn	85+	0	F	419
Auburn	85+	0	M	285
Auburn	85+	<5	F	66
Auburn	85+	<5	M	70
Auburn	85+	5-14	F	75
Auburn	85+	5-14	M	57
Auburn	85+	15-29	F	42
Auburn	85+	15-29	M	31
Auburn	85+	30+	F	30
Auburn	85+	30+	M	7
Ballina	15-19		F	159
Ballina	15-19		M	212
Ballina	15-19	0	F	596
Ballina	15-19	0	M	779
Ballina	15-19	<5	F	986
Ballina	15-19	<5	M	984
Ballina	15-19	5-14	F	222
Ballina	15-19	5-14	M	146
Ballina	15-19	15-29	F	8
Ballina	15-19	15-29	M	7
Ballina	15-19	30+	F	9
Ballina	15-19	30+	M	4
Ballina	20-24		F	179
Ballina	20-24		M	145
Ballina	20-24	0	F	388
Ballina	20-24	0	M	528
Ballina	20-24	<5	F	609
Ballina	20-24	<5	M	623
Ballina	20-24	5-14	F	435
Ballina	20-24	5-14	M	268
Ballina	20-24	15-29	F	72
Ballina	20-24	15-29	M	46
Ballina	20-24	30+	F	59
Ballina	20-24	30+	M	20
Ballina	25-34		F	461
Ballina	25-34		M	455
Ballina	25-34	0	F	814
Ballina	25-34	0	M	1027
Ballina	25-34	<5	F	1071
Ballina	25-34	<5	M	1270
Ballina	25-34	5-14	F	1432
Ballina	25-34	5-14	M	1157
Ballina	25-34	15-29	F	597
Ballina	25-34	15-29	M	242
Ballina	25-34	30+	F	522
Ballina	25-34	30+	M	86
Ballina	35-44		F	455
Ballina	35-44		M	462
Ballina	35-44	0	F	487
Ballina	35-44	0	M	785
Ballina	35-44	<5	F	645
Ballina	35-44	<5	M	1197
Ballina	35-44	5-14	F	1736
Ballina	35-44	5-14	M	1766
Ballina	35-44	15-29	F	1074
Ballina	35-44	15-29	M	531
Ballina	35-44	30+	F	1045
Ballina	35-44	30+	M	215
Ballina	45-54		F	431
Ballina	45-54		M	401
Ballina	45-54	0	F	537
Ballina	45-54	0	M	786
Ballina	45-54	<5	F	766
Ballina	45-54	<5	M	1222
Ballina	45-54	5-14	F	2239
Ballina	45-54	5-14	M	1974
Ballina	45-54	15-29	F	1217
Ballina	45-54	15-29	M	555
Ballina	45-54	30+	F	738
Ballina	45-54	30+	M	240
Ballina	55-64		F	419
Ballina	55-64		M	411
Ballina	55-64	0	F	762
Ballina	55-64	0	M	991
Ballina	55-64	<5	F	758
Ballina	55-64	<5	M	1301
Ballina	55-64	5-14	F	2227
Ballina	55-64	5-14	M	1904
Ballina	55-64	15-29	F	1303
Ballina	55-64	15-29	M	642
Ballina	55-64	30+	F	683
Ballina	55-64	30+	M	299
Ballina	65-74		F	357
Ballina	65-74		M	405
Ballina	65-74	0	F	1079
Ballina	65-74	0	M	1192
Ballina	65-74	<5	F	510
Ballina	65-74	<5	M	945
Ballina	65-74	5-14	F	1496
Ballina	65-74	5-14	M	1720
Ballina	65-74	15-29	F	1336
Ballina	65-74	15-29	M	843
Ballina	65-74	30+	F	912
Ballina	65-74	30+	M	405
Ballina	75-84		F	242
Ballina	75-84		M	206
Ballina	75-84	0	F	903
Ballina	75-84	0	M	776
Ballina	75-84	<5	F	254
Ballina	75-84	<5	M	411
Ballina	75-84	5-14	F	563
Ballina	75-84	5-14	M	659
Ballina	75-84	15-29	F	536
Ballina	75-84	15-29	M	343
Ballina	75-84	30+	F	472
Ballina	75-84	30+	M	230
Ballina	85+		F	245
Ballina	85+		M	109
Ballina	85+	0	F	767
Ballina	85+	0	M	414
Ballina	85+	<5	F	139
Ballina	85+	<5	M	101
Ballina	85+	5-14	F	182
Ballina	85+	5-14	M	156
Ballina	85+	15-29	F	94
Ballina	85+	15-29	M	73
Ballina	85+	30+	F	92
Ballina	85+	30+	M	41
Balmain	15-19		F	86
Balmain	15-19		M	91
Balmain	15-19	0	F	492
Balmain	15-19	0	M	554
Balmain	15-19	<5	F	820
Balmain	15-19	<5	M	871
Balmain	15-19	5-14	F	191
Balmain	15-19	5-14	M	127
Balmain	15-19	15-29	F	19
Balmain	15-19	15-29	M	14
Balmain	15-19	30+	F	13
Balmain	15-19	30+	M	4
Balmain	20-24		F	181
Balmain	20-24		M	197
Balmain	20-24	0	F	736
Balmain	20-24	0	M	836
Balmain	20-24	<5	F	1022
Balmain	20-24	<5	M	836
Balmain	20-24	5-14	F	885
Balmain	20-24	5-14	M	564
Balmain	20-24	15-29	F	133
Balmain	20-24	15-29	M	84
Balmain	20-24	30+	F	40
Balmain	20-24	30+	M	27
Balmain	25-34		F	480
Balmain	25-34		M	460
Balmain	25-34	0	F	1440
Balmain	25-34	0	M	1778
Balmain	25-34	<5	F	1895
Balmain	25-34	<5	M	2198
Balmain	25-34	5-14	F	3086
Balmain	25-34	5-14	M	2467
Balmain	25-34	15-29	F	703
Balmain	25-34	15-29	M	386
Balmain	25-34	30+	F	415
Balmain	25-34	30+	M	121
Balmain	35-44		F	345
Balmain	35-44		M	396
Balmain	35-44	0	F	808
Balmain	35-44	0	M	1103
Balmain	35-44	<5	F	1071
Balmain	35-44	<5	M	1720
Balmain	35-44	5-14	F	2667
Balmain	35-44	5-14	M	2800
Balmain	35-44	15-29	F	1421
Balmain	35-44	15-29	M	754
Balmain	35-44	30+	F	978
Balmain	35-44	30+	M	270
Balmain	45-54		F	270
Balmain	45-54		M	308
Balmain	45-54	0	F	576
Balmain	45-54	0	M	846
Balmain	45-54	<5	F	879
Balmain	45-54	<5	M	1390
Balmain	45-54	5-14	F	2420
Balmain	45-54	5-14	M	2344
Balmain	45-54	15-29	F	1373
Balmain	45-54	15-29	M	684
Balmain	45-54	30+	F	643
Balmain	45-54	30+	M	220
Balmain	55-64		F	225
Balmain	55-64		M	255
Balmain	55-64	0	F	585
Balmain	55-64	0	M	802
Balmain	55-64	<5	F	706
Balmain	55-64	<5	M	1025
Balmain	55-64	5-14	F	1874
Balmain	55-64	5-14	M	1628
Balmain	55-64	15-29	F	960
Balmain	55-64	15-29	M	479
Balmain	55-64	30+	F	369
Balmain	55-64	30+	M	154
Balmain	65-74		F	166
Balmain	65-74		M	180
Balmain	65-74	0	F	704
Balmain	65-74	0	M	724
Balmain	65-74	<5	F	475
Balmain	65-74	<5	M	609
Balmain	65-74	5-14	F	1227
Balmain	65-74	5-14	M	1144
Balmain	65-74	15-29	F	803
Balmain	65-74	15-29	M	410
Balmain	65-74	30+	F	381
Balmain	65-74	30+	M	119
Balmain	75-84		F	115
Balmain	75-84		M	108
Balmain	75-84	0	F	511
Balmain	75-84	0	M	456
Balmain	75-84	<5	F	194
Balmain	75-84	<5	M	248
Balmain	75-84	5-14	F	460
Balmain	75-84	5-14	M	454
Balmain	75-84	15-29	F	323
Balmain	75-84	15-29	M	138
Balmain	75-84	30+	F	158
Balmain	75-84	30+	M	62
Balmain	85+		F	107
Balmain	85+		M	68
Balmain	85+	0	F	281
Balmain	85+	0	M	208
Balmain	85+	<5	F	84
Balmain	85+	<5	M	58
Balmain	85+	5-14	F	99
Balmain	85+	5-14	M	65
Balmain	85+	15-29	F	49
Balmain	85+	15-29	M	20
Balmain	85+	30+	F	27
Balmain	85+	30+	M	4
Bankstown	15-19		F	268
Bankstown	15-19		M	315
