SED_NAME16	HomeCensusNight	Sex	persons
Albury	0	F	1788
Albury	0	M	2063
Albury	1	F	41488
Albury	1	M	39655
Auburn	0	F	963
Auburn	0	M	1142
Auburn	1	F	55099
Auburn	1	M	60615
Ballina	0	F	1820
Ballina	0	M	1846
Ballina	1	F	41000
Ballina	1	M	37743
Balmain	0	F	1785
Balmain	0	M	1596
Balmain	1	F	41267
Balmain	1	M	38620
Bankstown	0	F	930
Bankstown	0	M	1025
Bankstown	1	F	46455
Bankstown	1	M	46263
Barwon	0	F	1838
Barwon	0	M	2129
Barwon	1	F	35241
Barwon	1	M	34737
Bathurst	0	F	1569
Bathurst	0	M	1845
Bathurst	1	F	38351
Bathurst	1	M	38724
Baulkham Hills	0	F	826
Baulkham Hills	0	M	819
Baulkham Hills	1	F	44113
Baulkham Hills	1	M	42853
Bega	0	F	1990
Bega	0	M	2170
Bega	1	F	37018
Bega	1	M	35349
Blacktown	0	F	795
Blacktown	0	M	893
Blacktown	1	F	45012
Blacktown	1	M	45563
Blue Mountains	0	F	1082
Blue Mountains	0	M	1064
Blue Mountains	1	F	36221
Blue Mountains	1	M	33902
Cabramatta	0	F	1026
Cabramatta	0	M	1015
Cabramatta	1	F	41846
Cabramatta	1	M	40533
Camden	0	F	1142
Camden	0	M	1278
Camden	1	F	65434
Camden	1	M	63405
Campbelltown	0	F	1079
Campbelltown	0	M	1057
Campbelltown	1	F	41712
Campbelltown	1	M	40032
Canterbury	0	F	1135
Canterbury	0	M	1102
Canterbury	1	F	45799
Canterbury	1	M	46035
Castle Hill	0	F	815
Castle Hill	0	M	832
Castle Hill	1	F	51914
Castle Hill	1	M	50346
Cessnock	0	F	1445
Cessnock	0	M	1659
Cessnock	1	F	42495
Cessnock	1	M	42153
Charlestown	0	F	1222
Charlestown	0	M	1515
Charlestown	1	F	37803
Charlestown	1	M	35451
Clarence	0	F	1510
Clarence	0	M	1902
Clarence	1	F	37487
Clarence	1	M	36783
Coffs Harbour	0	F	1555
Coffs Harbour	0	M	1742
Coffs Harbour	1	F	39192
Coffs Harbour	1	M	36266
Coogee	0	F	1947
Coogee	0	M	1732
Coogee	1	F	41363
Coogee	1	M	37608
Cootamundra	0	F	1581
Cootamundra	0	M	1818
Cootamundra	1	F	34539
Cootamundra	1	M	34496
Cronulla	0	F	1066
Cronulla	0	M	1217
Cronulla	1	F	38773
Cronulla	1	M	37328
Davidson	0	F	979
Davidson	0	M	951
Davidson	1	F	40706
Davidson	1	M	38433
Drummoyne	0	F	994
Drummoyne	0	M	924
Drummoyne	1	F	41746
Drummoyne	1	M	38175
Dubbo	0	F	1619
Dubbo	0	M	2307
Dubbo	1	F	39919
Dubbo	1	M	38677
East Hills	0	F	868
East Hills	0	M	871
East Hills	1	F	41292
East Hills	1	M	39991
Epping	0	F	846
Epping	0	M	826
Epping	1	F	44759
Epping	1	M	42010
Fairfield	0	F	897
Fairfield	0	M	917
Fairfield	1	F	46273
Fairfield	1	M	45320
Gosford	0	F	1135
Gosford	0	M	1189
Gosford	1	F	39290
Gosford	1	M	36925
Goulburn	0	F	1562
Goulburn	0	M	1741
Goulburn	1	F	39510
Goulburn	1	M	38955
Granville	0	F	822
Granville	0	M	884
Granville	1	F	49910
Granville	1	M	52446
Hawkesbury	0	F	915
Hawkesbury	0	M	1173
Hawkesbury	1	F	38103
Hawkesbury	1	M	37830
Heathcote	0	F	932
Heathcote	0	M	1008
Heathcote	1	F	38679
Heathcote	1	M	37070
Heffron	0	F	1887
Heffron	0	M	1952
Heffron	1	F	55293
Heffron	1	M	58232
Holsworthy	0	F	909
Holsworthy	0	M	1078
Holsworthy	1	F	44522
Holsworthy	1	M	43786
Hornsby	0	F	919
Hornsby	0	M	911
Hornsby	1	F	41340
Hornsby	1	M	40437
Keira	0	F	1275
Keira	0	M	1281
Keira	1	F	40864
Keira	1	M	38854
Kiama	0	F	1431
Kiama	0	M	1644
Kiama	1	F	38541
Kiama	1	M	37444
Kogarah	0	F	935
Kogarah	0	M	864
Kogarah	1	F	46196
Kogarah	1	M	45736
Ku-ring-gai	0	F	1208
Ku-ring-gai	0	M	1110
Ku-ring-gai	1	F	43809
Ku-ring-gai	1	M	40694
Lake Macquarie	0	F	1613
Lake Macquarie	0	M	1713
Lake Macquarie	1	F	39113
Lake Macquarie	1	M	37267
Lakemba	0	F	865
Lakemba	0	M	971
Lakemba	1	F	45911
Lakemba	1	M	48263
Lane Cove	0	F	1680
Lane Cove	0	M	1542
Lane Cove	1	F	44119
Lane Cove	1	M	41860
Lismore	0	F	1429
Lismore	0	M	1562
Lismore	1	F	37662
Lismore	1	M	36094
Liverpool	0	F	853
Liverpool	0	M	948
Liverpool	1	F	48109
Liverpool	1	M	47080
Londonderry	0	F	1101
Londonderry	0	M	1299
Londonderry	1	F	59590
Londonderry	1	M	58562
Macquarie Fields	0	F	957
Macquarie Fields	0	M	1044
Macquarie Fields	1	F	56041
Macquarie Fields	1	M	54373
Maitland	0	F	1336
Maitland	0	M	1631
Maitland	1	F	44975
Maitland	1	M	42279
Manly	0	F	1551
Manly	0	M	1508
Manly	1	F	40942
Manly	1	M	39205
Maroubra	0	F	1146
Maroubra	0	M	1292
Maroubra	1	F	43198
Maroubra	1	M	41936
Miranda	0	F	927
Miranda	0	M	934
