SED_NAME21	MaxSchoolingCompleted	Sex	persons
Albury	Did not go to school	F	237
Albury	Did not go to school	M	239
Albury	Year 8	F	1523
Albury	Year 8	M	1738
Albury	Year 9	F	2551
Albury	Year 9	M	2892
Albury	Year 10	F	8633
Albury	Year 10	M	9232
Albury	Year 11	F	3902
Albury	Year 11	M	3937
Albury	Year 12	F	16191
Albury	Year 12	M	12891
Auburn	Did not go to school	F	1974
Auburn	Did not go to school	M	1871
Auburn	Year 8	F	2501
Auburn	Year 8	M	2432
Auburn	Year 9	F	1466
Auburn	Year 9	M	1828
Auburn	Year 10	F	4112
Auburn	Year 10	M	4817
Auburn	Year 11	F	1651
Auburn	Year 11	M	1960
Auburn	Year 12	F	31007
Auburn	Year 12	M	33204
Ballina	Did not go to school	F	79
Ballina	Did not go to school	M	90
Ballina	Year 8	F	972
Ballina	Year 8	M	1067
Ballina	Year 9	F	1948
Ballina	Year 9	M	1923
Ballina	Year 10	F	8064
Ballina	Year 10	M	7652
Ballina	Year 11	F	2355
Ballina	Year 11	M	2366
Ballina	Year 12	F	19892
Ballina	Year 12	M	16786
Balmain	Did not go to school	F	230
Balmain	Did not go to school	M	166
Balmain	Year 8	F	680
Balmain	Year 8	M	614
Balmain	Year 9	F	847
Balmain	Year 9	M	787
Balmain	Year 10	F	2926
Balmain	Year 10	M	2817
Balmain	Year 11	F	1254
Balmain	Year 11	M	1309
Balmain	Year 12	F	28966
Balmain	Year 12	M	26118
Bankstown	Did not go to school	F	1536
Bankstown	Did not go to school	M	1123
Bankstown	Year 8	F	2477
Bankstown	Year 8	M	2128
Bankstown	Year 9	F	1766
Bankstown	Year 9	M	1727
Bankstown	Year 10	F	5178
Bankstown	Year 10	M	5437
Bankstown	Year 11	F	1795
Bankstown	Year 11	M	1892
Bankstown	Year 12	F	21212
Bankstown	Year 12	M	20679
Barwon	Did not go to school	F	107
Barwon	Did not go to school	M	169
Barwon	Year 8	F	1640
Barwon	Year 8	M	2391
Barwon	Year 9	F	2819
Barwon	Year 9	M	3079
Barwon	Year 10	F	8438
Barwon	Year 10	M	9330
Barwon	Year 11	F	2215
Barwon	Year 11	M	2137
Barwon	Year 12	F	10740
Barwon	Year 12	M	8288
Bathurst	Did not go to school	F	103
Bathurst	Did not go to school	M	118
Bathurst	Year 8	F	1347
Bathurst	Year 8	M	1602
Bathurst	Year 9	F	2686
Bathurst	Year 9	M	2716
Bathurst	Year 10	F	9127
Bathurst	Year 10	M	10370
Bathurst	Year 11	F	2275
Bathurst	Year 11	M	2407
Bathurst	Year 12	F	14933
Bathurst	Year 12	M	12137
Baulkham Hills	Did not go to school	F	254
Baulkham Hills	Did not go to school	M	195
Baulkham Hills	Year 8	F	780
Baulkham Hills	Year 8	M	592
Baulkham Hills	Year 9	F	1318
Baulkham Hills	Year 9	M	1168
Baulkham Hills	Year 10	F	4974
Baulkham Hills	Year 10	M	4382
Baulkham Hills	Year 11	F	1468
Baulkham Hills	Year 11	M	1656
Baulkham Hills	Year 12	F	26406
Baulkham Hills	Year 12	M	25492
Bega	Did not go to school	F	77
Bega	Did not go to school	M	106
Bega	Year 8	F	1357
Bega	Year 8	M	1561
Bega	Year 9	F	2482
Bega	Year 9	M	2620
Bega	Year 10	F	9234
Bega	Year 10	M	9320
Bega	Year 11	F	2796
Bega	Year 11	M	2787
Bega	Year 12	F	14899
Bega	Year 12	M	12631
Blacktown	Did not go to school	F	697
Blacktown	Did not go to school	M	505
Blacktown	Year 8	F	1785
Blacktown	Year 8	M	1410
Blacktown	Year 9	F	1786
Blacktown	Year 9	M	1844
Blacktown	Year 10	F	5915
Blacktown	Year 10	M	6359
Blacktown	Year 11	F	1715
Blacktown	Year 11	M	1967
Blacktown	Year 12	F	22509
Blacktown	Year 12	M	22308
Blue Mountains	Did not go to school	F	74
Blue Mountains	Did not go to school	M	68
Blue Mountains	Year 8	F	624
Blue Mountains	Year 8	M	676
Blue Mountains	Year 9	F	1530
Blue Mountains	Year 9	M	1504
Blue Mountains	Year 10	F	6820
Blue Mountains	Year 10	M	6657
Blue Mountains	Year 11	F	1810
Blue Mountains	Year 11	M	1933
Blue Mountains	Year 12	F	18974
Blue Mountains	Year 12	M	16570
Cabramatta	Did not go to school	F	3356
Cabramatta	Did not go to school	M	2228
Cabramatta	Year 8	F	3597
Cabramatta	Year 8	M	2669
Cabramatta	Year 9	F	1975
Cabramatta	Year 9	M	1817
Cabramatta	Year 10	F	4814
Cabramatta	Year 10	M	5150
Cabramatta	Year 11	F	1711
Cabramatta	Year 11	M	2031
Cabramatta	Year 12	F	18041
Cabramatta	Year 12	M	17651
Camden	Did not go to school	F	469
Camden	Did not go to school	M	381
Camden	Year 8	F	1575
Camden	Year 8	M	1579
Camden	Year 9	F	2816
Camden	Year 9	M	2897
Camden	Year 10	F	11477
Camden	Year 10	M	12806
Camden	Year 11	F	3141
Camden	Year 11	M	3487
Camden	Year 12	F	29107
Camden	Year 12	M	24692
Campbelltown	Did not go to school	F	401
Campbelltown	Did not go to school	M	285
Campbelltown	Year 8	F	1432
Campbelltown	Year 8	M	1304
Campbelltown	Year 9	F	2535
Campbelltown	Year 9	M	2341
Campbelltown	Year 10	F	8127
Campbelltown	Year 10	M	8011
Campbelltown	Year 11	F	2321
Campbelltown	Year 11	M	2447
Campbelltown	Year 12	F	16868
Campbelltown	Year 12	M	15301
Canterbury	Did not go to school	F	1293
Canterbury	Did not go to school	M	1034
Canterbury	Year 8	F	2790
Canterbury	Year 8	M	2286
Canterbury	Year 9	F	1435
Canterbury	Year 9	M	1606
Canterbury	Year 10	F	4720
Canterbury	Year 10	M	5013
Canterbury	Year 11	F	1543
Canterbury	Year 11	M	1755
Canterbury	Year 12	F	25155
Canterbury	Year 12	M	24671
Castle Hill	Did not go to school	F	229
Castle Hill	Did not go to school	M	141
Castle Hill	Year 8	F	838
Castle Hill	Year 8	M	683
Castle Hill	Year 9	F	1531
Castle Hill	Year 9	M	1501
Castle Hill	Year 10	F	6161
Castle Hill	Year 10	M	5745
Castle Hill	Year 11	F	1862
Castle Hill	Year 11	M	1985
Castle Hill	Year 12	F	29842
Castle Hill	Year 12	M	28180
Cessnock	Did not go to school	F	110
Cessnock	Did not go to school	M	137
Cessnock	Year 8	F	1561
Cessnock	Year 8	M	1646
Cessnock	Year 9	F	3603
Cessnock	Year 9	M	3420
Cessnock	Year 10	F	11533
Cessnock	Year 10	M	12160
Cessnock	Year 11	F	2791
Cessnock	Year 11	M	2885
Cessnock	Year 12	F	13536
Cessnock	Year 12	M	10924
Charlestown	Did not go to school	F	84
Charlestown	Did not go to school	M	100
Charlestown	Year 8	F	1096
Charlestown	Year 8	M	972
Charlestown	Year 9	F	2503
Charlestown	Year 9	M	2127
Charlestown	Year 10	F	8441
Charlestown	Year 10	M	7965
Charlestown	Year 11	F	1861
Charlestown	Year 11	M	2171
Charlestown	Year 12	F	16702
Charlestown	Year 12	M	14832
Clarence	Did not go to school	F	94
Clarence	Did not go to school	M	101
Clarence	Year 8	F	1554
Clarence	Year 8	M	2005
Clarence	Year 9	F	3044
Clarence	Year 9	M	3267
Clarence	Year 10	F	10921
Clarence	Year 10	M	10741
Clarence	Year 11	F	2347
Clarence	Year 11	M	2460
Clarence	Year 12	F	11639
Clarence	Year 12	M	9568
